                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2746,                 8.5792,                 4.1947,                      0,                      0,                      0,                      0,                  5.238,                 13.351,                 3.8579,              0.0033173,              0.0033173,              0.0033173
                      2,                 4.5171,                 7.2688,                 3.8184,                0.00105,                0.00583,                0.00055,                0.00014,                 4.2286,                 9.7957,                 3.4484,              0.0066342,              0.0066342,              0.0066342
                      3,                 3.9953,                 5.9562,                 3.1172,                0.00105,                0.00583,                0.00055,                0.00014,                 5.2514,                 195.41,                 3.9522,              0.0099346,              0.0099346,              0.0099346
                      4,                 3.5439,                 4.3534,                 2.4985,                0.60949,                   0.02,                0.00714,                0.00289,                  3.704,                 4.5496,                 2.6615,              0.0099258,              0.0099258,              0.0099258
                      5,                 3.2175,                 3.3436,                 2.0729,                0.89209,                 0.1325,                0.10446,                0.04494,                  3.302,                 3.2462,                 1.9442,              0.0099258,              0.0099258,              0.0099258
                      6,                 3.0086,                 2.9644,                 1.8945,                0.66716,                 0.1625,                0.08535,                0.03825,                 3.1621,                 3.1809,                 1.8685,               0.009901,               0.009901,               0.009901
                      7,                 2.9174,                 2.7747,                 1.8225,                0.89263,                0.17112,                0.11929,                0.05266,                 3.0657,                 3.0071,                  1.856,              0.0098763,              0.0098763,              0.0098763
                      8,                 2.8751,                 2.6618,                 1.7685,                0.91126,                0.16417,                0.13551,                0.06177,                 2.9036,                 2.7246,                 1.7476,              0.0098515,              0.0098515,              0.0098515
                      9,                 2.7977,                 2.5615,                 1.7498,                0.79491,                0.18008,                  0.123,                 0.0551,                 2.8856,                 2.8436,                 1.7244,              0.0098268,              0.0098268,              0.0098268
                     10,                 2.7044,                 2.4783,                 1.7119,                0.70273,                0.16384,                0.11833,                0.04747,                 3.0037,                 2.6713,                 1.7575,               0.009802,               0.009802,               0.009802
                     11,                 2.6837,                  2.412,                 1.6872,                0.33713,                0.19942,                0.14122,                0.06742,                 2.8921,                 2.5842,                  1.704,              0.0097773,              0.0097773,              0.0097773
                     12,                 2.6465,                 2.3693,                 1.6712,                0.65514,                0.17497,                0.15221,                0.07082,                  2.785,                 2.7154,                  1.652,              0.0097525,              0.0097525,              0.0097525
                     13,                 2.6398,                 2.2893,                 1.6469,                0.62059,                0.20682,                0.16582,                0.07669,                 2.7657,                 2.3781,                 1.6327,              0.0097278,              0.0097278,              0.0097278
                     14,                  2.607,                 2.3089,                 1.6376,                0.62314,                0.21357,                0.19267,                0.08626,                 2.7305,                 2.4904,                 1.6666,               0.009703,               0.009703,               0.009703
                     15,                 2.5771,                 2.2119,                 1.6207,                 0.2412,                0.25961,                0.18973,                0.08855,                 2.7437,                 2.4523,                 1.6211,              0.0096783,              0.0096783,              0.0096783
                     16,                 2.5617,                 2.1834,                 1.6113,                0.57171,                0.22074,                0.18918,                0.08729,                 2.6825,                 2.2698,                 1.6252,              0.0096535,              0.0096535,              0.0096535
                     17,                  2.534,                 2.1257,                 1.5972,                0.21799,                0.28644,                0.21604,                0.08798,                 2.7223,                 2.2412,                 1.6383,              0.0096288,              0.0096288,              0.0096288
                     18,                 2.5047,                 2.1063,                 1.5851,                0.22638,                0.29224,                0.20393,                0.09031,                 2.7312,                 2.4221,                 1.6348,               0.009604,               0.009604,               0.009604
                     19,                  2.488,                 2.0659,                 1.5835,                0.30583,                0.27304,                0.21147,                0.09575,                 2.6543,                 2.1841,                 1.5975,              0.0095793,              0.0095793,              0.0095793
                     20,                 2.4909,                 2.0593,                 1.5847,                0.46503,                0.27091,                0.23179,                0.10784,                 2.6154,                  2.251,                 1.5771,              0.0095545,              0.0095545,              0.0095545
                     21,                 2.4562,                 2.0253,                 1.5416,                0.23153,                0.31849,                0.24062,                0.10345,                 2.6111,                 2.2369,                 1.5805,              0.0095298,              0.0095298,              0.0095298
                     22,                 2.4548,                 2.0104,                 1.5601,                0.38352,                 0.2984,                0.26255,                 0.1205,                 2.5667,                 2.1088,                  1.534,               0.009505,               0.009505,               0.009505
                     23,                  2.428,                 1.9498,                 1.5476,                0.32768,                0.31735,                0.25582,                0.11857,                 2.5643,                 2.0452,                  1.543,              0.0094803,              0.0094803,              0.0094803
                     24,                 2.4238,                 1.9469,                 1.5201,                0.30065,                0.31847,                0.27416,                0.12522,                 2.5097,                 2.2016,                 1.5268,              0.0094555,              0.0094555,              0.0094555
                     25,                 2.3788,                 1.9282,                 1.5158,                0.30464,                0.32305,                0.26495,                0.11543,                 2.5649,                 2.0124,                 1.5554,              0.0094307,              0.0094307,              0.0094307
                     26,                  2.375,                 1.8575,                 1.5049,                0.31702,                0.34249,                0.29153,                0.13296,                 2.5143,                 1.9003,                 1.5251,               0.009406,               0.009406,               0.009406
                     27,                 2.3876,                  1.843,                  1.516,                0.38093,                0.34154,                0.29779,                0.13713,                 2.4804,                 1.8435,                 1.4949,              0.0093813,              0.0093813,              0.0093813
                     28,                 2.3484,                 1.8046,                 1.4978,                0.43163,                0.31323,                0.30177,                0.14071,                 2.4753,                 1.8714,                 1.4926,              0.0093565,              0.0093565,              0.0093565
                     29,                 2.3229,                 1.7954,                 1.4873,                0.34637,                0.34954,                0.30754,                0.13472,                 2.4802,                 1.8673,                 1.5117,              0.0093317,              0.0093317,              0.0093317
                     30,                 2.3048,                 1.7638,                 1.4856,                0.35882,                0.37395,                0.31917,                0.14949,                 2.4424,                 1.8334,                 1.4858,               0.009307,               0.009307,               0.009307
                     31,                 2.3353,                 1.7746,                 1.4934,                0.40464,                0.35282,                0.31253,                0.14659,                 2.4074,                 1.8096,                 1.4729,              0.0092823,              0.0092823,              0.0092823
                     32,                 2.2958,                 1.7163,                 1.4776,                0.35082,                0.37442,                0.33886,                0.15682,                 2.3903,                 1.8346,                 1.4693,              0.0092575,              0.0092575,              0.0092575
                     33,                  2.307,                 1.7101,                 1.4729,                0.43621,                0.37224,                 0.3427,                0.16093,                 2.3895,                 1.7376,                 1.4575,              0.0092327,              0.0092327,              0.0092327
                     34,                 2.2803,                 1.7129,                 1.4822,                0.40775,                0.36516,                0.32601,                0.15392,                 2.3849,                 1.7693,                 1.4746,               0.009208,               0.009208,               0.009208
                     35,                 2.2654,                 1.6764,                 1.4622,                0.34806,                0.39053,                0.33181,                0.15585,                 2.3716,                 1.7813,                 1.4557,              0.0091833,              0.0091833,              0.0091833
                     36,                 2.2548,                 1.6627,                 1.4705,                0.42614,                0.38911,                0.36033,                0.16195,                  2.395,                 1.7695,                 1.4598,              0.0091585,              0.0091585,              0.0091585
                     37,                 2.2357,                 1.6421,                 1.4563,                0.43343,                0.38649,                0.35277,                0.16921,                 2.3523,                 1.6519,                 1.4492,              0.0091337,              0.0091337,              0.0091337
                     38,                 2.2329,                 1.6124,                 1.4406,                0.46298,                0.38172,                 0.3567,                0.16546,                 2.3254,                 1.6813,                 1.4516,               0.009109,               0.009109,               0.009109
                     39,                 2.2358,                 1.6445,                 1.4405,                0.50188,                0.37188,                0.37387,                0.17582,                 2.3205,                 1.6325,                 1.4275,              0.0090843,              0.0090843,              0.0090843
                     40,                 2.2296,                 1.6074,                 1.4507,                0.47294,                0.38705,                0.37879,                 0.1752,                 2.3437,                 1.6241,                 1.4237,              0.0090595,              0.0090595,              0.0090595
                     41,                 2.2057,                 1.6009,                 1.4342,                0.40077,                0.39643,                0.37539,                0.17891,                 2.3011,                 1.7496,                 1.4156,              0.0090347,              0.0090347,              0.0090347
                     42,                 2.1988,                 1.5632,                 1.4346,                0.50441,                0.39862,                0.39024,                0.18348,                 2.3031,                 1.5413,                 1.4202,                0.00901,                0.00901,                0.00901
                     43,                 2.1967,                  1.563,                 1.4331,                0.45901,                0.41332,                0.38182,                0.17852,                 2.3013,                 1.5776,                 1.4181,              0.0089853,              0.0089853,              0.0089853
                     44,                 2.1462,                 1.5118,                  1.417,                0.46553,                 0.4033,                0.38145,                 0.1751,                 2.3123,                 1.6491,                 1.4197,              0.0089605,              0.0089605,              0.0089605
                     45,                 2.1738,                 1.5313,                 1.4085,                0.52099,                 0.3912,                0.39856,                0.18538,                 2.3016,                 1.5807,                 1.4152,              0.0089358,              0.0089358,              0.0089358
