                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3209,                 8.3896,                 4.1429,                      0,                      0,                      0,                      0,                  5.196,                 11.002,                 3.7581,              0.0033173,              0.0033173,              0.0033173
                      2,                 4.3903,                 6.6773,                 3.4892,                0.81075,                0.02667,                0.00467,                0.00118,                 3.8536,                 14.241,                 2.8775,              0.0066342,              0.0066342,              0.0066342
                      3,                 3.5314,                 5.2001,                 2.7373,                0.00118,                0.09783,                0.00413,                0.00153,                 3.7944,                 5.3091,                 3.0183,              0.0099346,              0.0099346,              0.0099346
                      4,                 3.2006,                 3.6585,                 2.2782,                0.85947,                 0.0825,                0.05652,                0.01843,                 3.5626,                 4.0209,                 2.4253,              0.0099258,              0.0099258,              0.0099258
                      5,                 3.1156,                 3.1062,                 2.0133,                0.46816,                0.14833,                0.06733,                0.03111,                 3.3295,                   4.62,                 1.8856,              0.0099258,              0.0099258,              0.0099258
                      6,                 2.9062,                 2.8212,                 1.8338,                0.69827,                0.15824,                0.12496,                0.05388,                  3.055,                  3.527,                 1.8122,               0.009901,               0.009901,               0.009901
                      7,                 2.8329,                 2.6891,                 1.7765,                0.86506,                0.11583,                 0.0799,                0.03826,                 2.9682,                   4.05,                 1.7468,              0.0098763,              0.0098763,              0.0098763
                      8,                 2.7788,                  2.581,                 1.7343,                0.71666,                0.18196,                0.12252,                0.05958,                 2.8869,                  2.737,                 1.7287,              0.0098515,              0.0098515,              0.0098515
                      9,                 2.7468,                 2.4935,                 1.7249,                0.36807,                0.19823,                0.14016,                0.06248,                 2.8218,                 2.5758,                 1.6997,              0.0098268,              0.0098268,              0.0098268
                     10,                 2.6511,                 2.4036,                 1.6815,                0.80576,                 0.1448,                0.14643,                0.06965,                 2.9407,                 2.7134,                 1.7309,               0.009802,               0.009802,               0.009802
                     11,                 2.6386,                 2.3648,                  1.657,                0.23687,                0.22092,                0.17236,                0.07652,                 2.7823,                 2.4207,                 1.6589,              0.0097773,              0.0097773,              0.0097773
                     12,                 2.6327,                 2.3005,                 1.6652,                0.23064,                0.24347,                0.18396,                0.08299,                 2.7355,                 2.3766,                  1.621,              0.0097525,              0.0097525,              0.0097525
                     13,                 2.5803,                 2.1869,                 1.6158,                0.29254,                0.26172,                0.21762,                0.10279,                  2.725,                 2.1772,                  1.613,              0.0097278,              0.0097278,              0.0097278
                     14,                  2.565,                 2.1708,                 1.6094,                0.23868,                0.29017,                0.22257,                0.10541,                 2.6711,                 2.3152,                 1.6179,               0.009703,               0.009703,               0.009703
                     15,                 2.5297,                 2.0979,                 1.5921,                0.38414,                 0.2251,                0.23889,                0.11262,                 2.6545,                 2.2776,                 1.5896,              0.0096783,              0.0096783,              0.0096783
                     16,                 2.5264,                 2.0545,                 1.5879,                 0.2781,                0.29191,                0.23289,                0.11034,                  2.611,                 2.1085,                 1.5673,              0.0096535,              0.0096535,              0.0096535
                     17,                 2.4991,                 1.9972,                 1.5758,                0.35306,                0.29521,                0.25539,                0.11825,                 2.6169,                 2.0455,                 1.5761,              0.0096288,              0.0096288,              0.0096288
                     18,                 2.4458,                 1.9591,                 1.5597,                 0.4068,                0.29708,                0.27752,                0.12671,                 2.5069,                   1.94,                 1.5445,               0.009604,               0.009604,               0.009604
                     19,                 2.4334,                 1.9053,                 1.5487,                0.39954,                 0.3058,                0.28386,                0.12885,                 2.5726,                 1.9474,                  1.555,              0.0095793,              0.0095793,              0.0095793
                     20,                 2.4182,                  1.865,                 1.5517,                0.37225,                0.33768,                 0.2923,                0.13475,                 2.5036,                 1.8711,                 1.5337,              0.0095545,              0.0095545,              0.0095545
                     21,                 2.3834,                 1.8453,                 1.5051,                0.34084,                0.34462,                0.29718,                0.12775,                 2.5919,                 1.9606,                  1.552,              0.0095298,              0.0095298,              0.0095298
                     22,                 2.3965,                 1.8255,                 1.5273,                0.42533,                0.35228,                0.33874,                0.15331,                 2.4229,                 1.8289,                 1.4654,               0.009505,               0.009505,               0.009505
