                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8475,                 6.3882,                  4.177,                0.00039,                0.03522,                0.00027,                  6e-05,                 3.8388,                 6.8247,                 4.0418,              0.0033173,              0.0033173,              0.0033173
                      2,                 3.5899,                 5.3655,                 3.5731,                0.84046,                0.09417,                0.04092,                0.01583,                 3.5028,                 5.8032,                 3.0703,              0.0066342,              0.0066342,              0.0066342
                      3,                 3.4293,                 4.5612,                 2.8608,                0.85503,                0.11333,                0.06675,                0.02595,                 3.2663,                  7.958,                 2.6504,              0.0099346,              0.0099346,              0.0099346
                      4,                   3.18,                 3.9317,                 2.5806,                0.88036,                0.15833,                0.11817,                0.05766,                 3.2052,                 7.9868,                 2.4712,              0.0099258,              0.0099258,              0.0099258
                      5,                 3.0491,                 3.5214,                 2.4226,                0.52877,                0.15919,                0.12436,                0.04756,                 3.0147,                 3.4151,                  2.323,              0.0099258,              0.0099258,              0.0099258
                      6,                 2.9043,                 3.2576,                 2.2993,                0.34589,                 0.1746,                0.13568,                 0.0617,                 2.9495,                 3.9919,                  2.255,               0.009901,               0.009901,               0.009901
                      7,                 2.8035,                 3.1185,                 2.1993,                0.38765,                0.19166,                0.16306,                0.07475,                 2.8373,                 3.1344,                 2.1348,              0.0098763,              0.0098763,              0.0098763
                      8,                 2.7591,                 2.9888,                 2.1495,                0.42304,                0.18062,                0.14473,                0.06076,                 2.7149,                 2.8349,                 2.0792,              0.0098515,              0.0098515,              0.0098515
                      9,                 2.6855,                  2.876,                 2.1225,                 0.3858,                0.24688,                0.19645,                0.08785,                 2.6407,                 2.6917,                   2.01,              0.0098268,              0.0098268,              0.0098268
                     10,                 2.6319,                 2.7888,                  2.074,                0.33312,                0.22943,                 0.1746,                0.07534,                 2.6566,                 2.7603,                 2.0148,               0.009802,               0.009802,               0.009802
                     11,                 2.6029,                 2.7111,                 2.0465,                0.31262,                0.21974,                0.21173,                0.09437,                 2.6392,                  2.645,                 2.0049,              0.0097773,              0.0097773,              0.0097773
                     12,                 2.5907,                 2.6593,                 2.0383,                0.23388,                0.29011,                0.19909,                0.08788,                 2.6483,                 2.7185,                 1.9721,              0.0097525,              0.0097525,              0.0097525
                     13,                 2.5585,                 2.5767,                 2.0022,                0.25344,                0.31294,                0.24577,                 0.1043,                 2.5324,                 2.4234,                 1.9593,              0.0097278,              0.0097278,              0.0097278
                     14,                 2.5229,                 2.5476,                 2.0085,                0.23948,                0.30158,                 0.2307,                0.10399,                 2.6289,                 3.4544,                 2.0293,               0.009703,               0.009703,               0.009703
                     15,                 2.5042,                 2.4693,                 1.9584,                0.27801,                0.32476,                0.24764,                0.10936,                 2.5438,                  2.415,                 1.9659,              0.0096783,              0.0096783,              0.0096783
                     16,                 2.4884,                 2.4405,                 1.9702,                0.22069,                0.34799,                0.25885,                0.11387,                 2.4689,                 2.5613,                 1.8989,              0.0096535,              0.0096535,              0.0096535
                     17,                 2.4644,                 2.3731,                 1.9405,                0.33097,                0.33922,                 0.2708,                0.11591,                 2.4516,                 2.3057,                 1.8817,              0.0096288,              0.0096288,              0.0096288
                     18,                  2.452,                 2.3612,                 1.9173,                0.34167,                0.38095,                0.31295,                0.13291,                 2.4533,                 2.2243,                 1.8332,               0.009604,               0.009604,               0.009604
                     19,                 2.4056,                 2.3097,                 1.8932,                0.35302,                0.32903,                0.31351,                0.14082,                 2.4197,                 2.1901,                 1.8326,              0.0095793,              0.0095793,              0.0095793
                     20,                 2.4264,                 2.2838,                 1.9048,                0.30082,                0.37941,                0.30529,                0.13318,                 2.4093,                 2.2944,                 1.8617,              0.0095545,              0.0095545,              0.0095545
                     21,                 2.4078,                 2.2518,                 1.8721,                0.39353,                0.36598,                0.31581,                0.13592,                 2.4019,                 2.1919,                  1.804,              0.0095298,              0.0095298,              0.0095298
                     22,                 2.3901,                 2.2193,                 1.8764,                0.28934,                    0.4,                0.32336,                0.14085,                 2.3949,                 2.1478,                 1.7931,               0.009505,               0.009505,               0.009505
                     23,                 2.3761,                 2.1662,                 1.8564,                0.35535,                0.45733,                0.36547,                0.15807,                 2.3322,                 1.9625,                 1.7775,              0.0094803,              0.0094803,              0.0094803
                     24,                 2.3594,                 2.1485,                 1.8386,                0.38022,                 0.4125,                0.34922,                0.15395,                 2.3354,                 2.0588,                 1.7872,              0.0094555,              0.0094555,              0.0094555
                     25,                 2.3209,                  2.111,                 1.8149,                0.40475,                0.41658,                0.36759,                0.15528,                 2.3352,                 1.9951,                 1.7959,              0.0094307,              0.0094307,              0.0094307
                     26,                 2.3384,                 2.0749,                 1.8129,                0.40734,                0.46088,                0.38113,                0.16976,                 2.3242,                 1.9379,                   1.76,               0.009406,               0.009406,               0.009406
                     27,                 2.3374,                 2.0594,                 1.8128,                0.41095,                0.43649,                 0.3794,                0.16874,                 2.3086,                 1.8829,                  1.764,              0.0093813,              0.0093813,              0.0093813
                     28,                 2.3036,                  2.035,                 1.7964,                0.40636,                0.44801,                0.37577,                0.16271,                 2.3108,                 1.9102,                 1.7404,              0.0093565,              0.0093565,              0.0093565
                     29,                 2.2927,                 2.0112,                 1.7849,                0.40222,                 0.4474,                0.38308,                0.16194,                 2.3154,                 1.9595,                 1.7618,              0.0093317,              0.0093317,              0.0093317
                     30,                 2.2605,                 1.9765,                 1.7661,                0.45348,                0.44572,                0.40288,                 0.1783,                 2.2981,                 1.8822,                  1.745,               0.009307,               0.009307,               0.009307
                     31,                 2.2807,                 1.9762,                 1.7799,                0.43605,                 0.4361,                0.38283,                0.16151,                 2.3662,                 1.9838,                 1.7715,              0.0092823,              0.0092823,              0.0092823
                     32,                 2.2698,                 1.9357,                  1.776,                0.37749,                0.47525,                0.42216,                0.18045,                 2.2562,                  1.989,                 1.7215,              0.0092575,              0.0092575,              0.0092575
                     33,                 2.2583,                 1.9458,                 1.7443,                0.51377,                0.46812,                0.44239,                0.18908,                 2.2367,                 1.7924,                 1.6906,              0.0092327,              0.0092327,              0.0092327
                     34,                 2.2455,                 1.9305,                 1.7586,                0.43852,                 0.4904,                0.43578,                 0.1948,                 2.2351,                 1.7584,                 1.7017,               0.009208,               0.009208,               0.009208
                     35,                 2.2271,                 1.8734,                 1.7439,                0.40949,                0.46747,                0.42865,                 0.1806,                  2.278,                 1.9667,                  1.753,              0.0091833,              0.0091833,              0.0091833
                     36,                 2.2056,                  1.858,                 1.7318,                0.51792,                0.47457,                0.45719,                0.19286,                 2.2115,                 1.7194,                 1.6827,              0.0091585,              0.0091585,              0.0091585
                     37,                 2.1963,                 1.8465,                 1.7194,                0.43825,                0.49084,                0.43849,                0.18802,                 2.2178,                 1.7685,                 1.6754,              0.0091337,              0.0091337,              0.0091337
                     38,                 2.2161,                 1.8281,                 1.7097,                0.50935,                0.48244,                0.46997,                0.19996,                 2.1846,                 1.6883,                 1.6752,               0.009109,               0.009109,               0.009109
                     39,                 2.1986,                  1.831,                 1.7085,                0.47617,                0.51113,                0.47461,                0.20926,                 2.1785,                 1.6984,                 1.6531,              0.0090843,              0.0090843,              0.0090843
                     40,                 2.1844,                 1.8116,                 1.7115,                0.47665,                0.52071,                  0.482,                 0.2107,                 2.1489,                 1.7047,                 1.6563,              0.0090595,              0.0090595,              0.0090595
                     41,                 2.1846,                 1.8082,                 1.7006,                0.51907,                0.51453,                0.49343,                0.21789,                 2.1408,                 1.6384,                 1.6424,              0.0090347,              0.0090347,              0.0090347
                     42,                 2.1694,                 1.7759,                 1.6944,                0.48871,                0.52078,                0.49418,                0.21785,                 2.1497,                 1.6377,                 1.6278,                0.00901,                0.00901,                0.00901
                     43,                  2.151,                  1.757,                 1.6901,                0.48957,                0.50039,                0.47311,                0.20196,                 2.2245,                 1.6642,                 1.6753,              0.0089853,              0.0089853,              0.0089853
                     44,                 2.1334,                 1.7257,                 1.6783,                0.54201,                0.50816,                 0.5024,                0.21579,                  2.161,                 1.6773,                 1.6411,              0.0089605,              0.0089605,              0.0089605
                     45,                 2.1536,                  1.741,                 1.6743,                0.52938,                0.53515,                0.50156,                0.22147,                 2.1087,                 1.6121,                 1.6183,              0.0089358,              0.0089358,              0.0089358
                     46,                 2.1337,                 1.7326,                 1.6685,                0.51195,                0.54459,                0.51141,                0.22454,                 2.1175,                 1.6006,                 1.6185,               0.008911,               0.008911,               0.008911
                     47,                  2.135,                 1.6908,                 1.6686,                0.53709,                0.49483,                0.49826,                0.22213,                 2.1263,                 1.7057,                  1.617,              0.0088863,              0.0088863,              0.0088863
                     48,                 2.0933,                 1.6733,                 1.6419,                0.54398,                0.52506,                0.52213,                0.22581,                 2.1254,                 1.6163,                 1.6298,              0.0088615,              0.0088615,              0.0088615
                     49,                 2.1139,                 1.6679,                 1.6475,                0.56425,                0.52875,                0.54747,                 0.2443,                 2.0786,                 1.5394,                 1.5912,              0.0088368,              0.0088368,              0.0088368
                     50,                 2.0999,                 1.6578,                 1.6315,                0.57702,                0.55839,                0.55138,                0.24844,                 2.0707,                 1.5497,                 1.5868,               0.008812,               0.008812,               0.008812
                     51,                 2.0915,                 1.6456,                 1.6332,                0.59347,                0.56608,                0.56543,                0.25002,                 2.0421,                 1.5516,                 1.5715,              0.0087872,              0.0087872,              0.0087872
