                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.1811,                  8.501,                 4.2298,                      0,                      0,                      0,                      0,                 5.2567,                 12.992,                 3.9051,              0.0033173,              0.0033173,              0.0033173
                      2,                 4.1139,                 6.8435,                 3.5598,                0.88711,                0.08417,                0.07385,                0.02402,                 3.9368,                 11.589,                 3.0012,              0.0066342,              0.0066342,              0.0066342
                      3,                 3.1145,                 4.4668,                 2.4695,                  1e-05,                0.00083,                  1e-05,                  1e-05,                 5.2705,                 6.4306,                 4.0925,              0.0099346,              0.0099346,              0.0099346
                      4,                 2.9937,                 3.3796,                 2.1322,                0.85043,                0.14917,                0.05323,                0.02098,                 3.2702,                 18.971,                  2.172,              0.0099258,              0.0099258,              0.0099258
                      5,                 2.9986,                 3.0916,                 1.9782,                0.90672,                0.14586,                0.11698,                0.05074,                 3.1607,                 3.5032,                  1.899,              0.0099258,              0.0099258,              0.0099258
                      6,                 2.8522,                 2.8067,                 1.8289,                0.89372,                   0.12,                0.09124,                0.03929,                 3.0589,                 3.0432,                 1.8213,               0.009901,               0.009901,               0.009901
                      7,                 2.8048,                 2.7468,                  1.769,                0.01368,                0.31719,                0.10638,                0.04949,                 3.2388,                 3.3025,                 1.8795,              0.0098763,              0.0098763,              0.0098763
                      8,                 2.8064,                  2.641,                 1.7494,                0.75353,                0.15054,                0.11813,                0.05176,                 2.8918,                 2.7281,                 1.7481,              0.0098515,              0.0098515,              0.0098515
                      9,                 2.7539,                 2.5808,                 1.7311,                0.35883,                0.19084,                0.13552,                0.06748,                 2.8625,                 2.5901,                 1.6947,              0.0098268,              0.0098268,              0.0098268
                     10,                  2.673,                 2.4834,                 1.6898,                0.37982,                0.18511,                0.14992,                0.06808,                 2.9906,                 2.6059,                 1.7171,               0.009802,               0.009802,               0.009802
                     11,                 2.6595,                 2.4328,                 1.6663,                0.23071,                0.21646,                0.15254,                0.06611,                 2.8075,                 2.4877,                 1.6954,              0.0097773,              0.0097773,              0.0097773
                     12,                 2.6533,                 2.3809,                 1.6662,                0.39057,                0.18629,                0.15614,                0.07289,                 2.8308,                 2.4661,                  1.651,              0.0097525,              0.0097525,              0.0097525
                     13,                 2.6134,                  2.283,                 1.6302,                0.24092,                0.22567,                0.17631,                0.08191,                 2.7291,                 2.4398,                 1.6512,              0.0097278,              0.0097278,              0.0097278
                     14,                 2.5813,                 2.2791,                 1.6222,                0.18775,                0.24745,                0.18155,                0.08386,                 2.7136,                 2.4542,                 1.6554,               0.009703,               0.009703,               0.009703
                     15,                 2.5465,                 2.2093,                 1.6039,                0.17757,                0.24113,                0.19373,                0.08907,                 2.6742,                 2.3947,                 1.6076,              0.0096783,              0.0096783,              0.0096783
                     16,                 2.5451,                 2.1502,                 1.5972,                0.22008,                0.27965,                0.21127,                0.08843,                 2.6808,                 2.2705,                 1.6111,              0.0096535,              0.0096535,              0.0096535
                     17,                 2.5238,                  2.101,                 1.5837,                0.25267,                0.31134,                0.23662,                0.10022,                 2.7145,                 2.1685,                 1.6053,              0.0096288,              0.0096288,              0.0096288
                     18,                 2.4828,                 2.0695,                 1.5701,                  0.275,                0.29954,                 0.2347,                0.10614,                 2.6539,                 2.1248,                 1.5959,               0.009604,               0.009604,               0.009604
                     19,                 2.4609,                 2.0057,                 1.5589,                0.26989,                0.30058,                0.24409,                0.11544,                 2.6214,                 2.0093,                 1.5644,              0.0095793,              0.0095793,              0.0095793
