                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8472,                 6.0125,                  4.146,                0.41868,                   0.02,                 0.0106,                0.00338,                 3.7589,                 6.0469,                 3.8761,              0.0033173,              0.0033173,              0.0033173
                      2,                 3.5224,                 4.8594,                 3.2903,                0.84567,                0.07083,                0.03616,                0.01417,                  3.532,                 4.8597,                 3.0513,              0.0066342,              0.0066342,              0.0066342
                      3,                 3.2991,                 4.2592,                  2.762,                0.84263,                   0.16,                0.04824,                0.02175,                 3.0486,                 7.1676,                 2.5864,              0.0099346,              0.0099346,              0.0099346
                      4,                 3.0402,                 3.7303,                 2.5326,                0.88209,                0.13333,                0.08935,                0.04399,                 2.9218,                 3.2964,                 2.4045,              0.0099258,              0.0099258,              0.0099258
                      5,                 2.9107,                 3.4414,                 2.3861,                0.46876,                0.16172,                0.08436,                0.03741,                 2.9094,                 3.1828,                 2.3324,              0.0099258,              0.0099258,              0.0099258
                      6,                 2.7861,                 3.2125,                 2.2769,                0.38024,                0.20965,                0.14443,                0.06321,                  2.766,                 3.0139,                 2.1967,               0.009901,               0.009901,               0.009901
                      7,                  2.729,                 3.0502,                 2.2016,                0.16359,                0.21159,                  0.143,                0.06529,                 2.7121,                 2.8124,                  2.192,              0.0098763,              0.0098763,              0.0098763
                      8,                 2.6954,                 2.9168,                 2.1734,                0.20624,                0.24469,                0.14059,                0.06455,                 2.7088,                 2.6915,                 2.1252,              0.0098515,              0.0098515,              0.0098515
                      9,                  2.652,                 2.7894,                 2.1547,                0.25957,                 0.2723,                0.19901,                 0.0925,                 2.6138,                 2.6232,                 2.0965,              0.0098268,              0.0098268,              0.0098268
                     10,                  2.586,                 2.7004,                 2.1179,                 0.2332,                0.31941,                0.20207,                0.08239,                 2.5991,                 2.6065,                 2.0895,               0.009802,               0.009802,               0.009802
                     11,                 2.5569,                 2.6067,                 2.0791,                0.24841,                0.33332,                0.20487,                0.08495,                  2.628,                 2.5269,                 2.0888,              0.0097773,              0.0097773,              0.0097773
                     12,                 2.5525,                 2.5076,                 2.0739,                0.27111,                0.30539,                0.22534,                 0.0978,                 2.7007,                 2.5631,                 2.0936,              0.0097525,              0.0097525,              0.0097525
                     13,                 2.5023,                 2.4106,                 2.0362,                0.30484,                0.35048,                0.24467,                0.09795,                 2.5377,                 2.5099,                 2.0197,              0.0097278,              0.0097278,              0.0097278
                     14,                 2.4894,                 2.3684,                 2.0276,                0.32365,                 0.3902,                0.29969,                 0.1241,                 2.4979,                 2.1962,                 2.0073,               0.009703,               0.009703,               0.009703
                     15,                 2.4422,                 2.2726,                 1.9802,                0.32314,                 0.3689,                0.30413,                0.12297,                 2.4797,                  2.183,                 1.9867,              0.0096783,              0.0096783,              0.0096783
