                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9196,                  8.032,                 4.1145,                0.61548,                0.02833,                0.01057,                0.00255,                 3.8583,                 10.776,                 3.7346,              0.0033173,              0.0033173,              0.0033173
                      2,                 3.5263,                 5.5795,                 2.9731,                0.44233,                  0.065,                0.02765,                0.00795,                 3.8878,                 6.1603,                 3.0484,              0.0066342,              0.0066342,              0.0066342
                      3,                 3.1286,                 4.0659,                 2.3325,                0.86601,                0.13167,                0.08157,                0.03262,                 3.3223,                  9.959,                 2.3058,              0.0099346,              0.0099346,              0.0099346
                      4,                 3.0852,                 3.2219,                 2.0535,                0.87759,                0.15833,                0.09879,                 0.0433,                  3.152,                 7.9728,                 1.9435,              0.0099258,              0.0099258,              0.0099258
                      5,                 2.9578,                 2.8103,                 1.8812,                0.47166,                0.16333,                0.09152,                0.03738,                 3.2769,                 2.9053,                 1.8998,              0.0099258,              0.0099258,              0.0099258
                      6,                 2.8025,                 2.5914,                 1.7644,                 0.8833,                0.13083,                0.11328,                0.05125,                 2.9929,                  3.217,                 1.8193,               0.009901,               0.009901,               0.009901
                      7,                 2.7413,                  2.541,                 1.7269,                0.54231,                0.17985,                0.11956,                0.05167,                 2.9091,                 2.6745,                 1.7375,              0.0098763,              0.0098763,              0.0098763
                      8,                 2.7251,                 2.4482,                 1.6979,                0.51502,                0.18167,                0.13306,                0.05799,                 3.0118,                 2.5848,                 1.7356,              0.0098515,              0.0098515,              0.0098515
                      9,                 2.7019,                 2.4101,                 1.6925,                  0.351,                 0.2371,                0.16365,                0.07607,                 2.7609,                 2.4167,                 1.6379,              0.0098268,              0.0098268,              0.0098268
                     10,                 2.6016,                 2.3145,                 1.6589,                0.35338,                0.22279,                0.15268,                0.06846,                 2.9332,                 2.5561,                 1.6984,               0.009802,               0.009802,               0.009802
                     11,                 2.6115,                 2.2885,                 1.6379,                0.17285,                0.24049,                0.18611,                0.08617,                 2.7677,                 2.3464,                 1.6445,              0.0097773,              0.0097773,              0.0097773
                     12,                 2.5656,                  2.228,                 1.6265,                0.69047,                  0.206,                0.18596,                0.08289,                 2.6941,                 2.5217,                 1.6154,              0.0097525,              0.0097525,              0.0097525
                     13,                  2.558,                 2.1554,                 1.6046,                0.28244,                0.26798,                0.20675,                0.09138,                 2.7048,                 2.2537,                 1.6017,              0.0097278,              0.0097278,              0.0097278
                     14,                 2.5417,                 2.1597,                 1.6034,                0.29193,                0.32658,                0.24227,                0.10348,                  2.618,                 2.4167,                 1.5916,               0.009703,               0.009703,               0.009703
                     15,                 2.4873,                 2.0731,                 1.5724,                0.45373,                0.28613,                0.23332,                0.09768,                 2.6357,                 2.2044,                 1.5841,              0.0096783,              0.0096783,              0.0096783
                     16,                 2.4815,                 2.0409,                 1.5686,                0.32423,                0.33476,                0.27895,                0.11771,                 2.5566,                 2.0774,                 1.5461,              0.0096535,              0.0096535,              0.0096535
                     17,                 2.4511,                 1.9853,                 1.5532,                0.32762,                  0.329,                0.25613,                0.11038,                 2.5639,                 2.0165,                 1.5639,              0.0096288,              0.0096288,              0.0096288
                     18,                 2.4254,                 1.9448,                 1.5379,                 0.3387,                0.32875,                0.27204,                0.11735,                 2.5501,                 2.0737,                 1.5348,               0.009604,               0.009604,               0.009604
                     19,                 2.4142,                 1.9247,                 1.5363,                0.35696,                0.32794,                0.28674,                0.12721,                 2.5256,                 1.9369,                 1.5323,              0.0095793,              0.0095793,              0.0095793
                     20,                 2.4063,                 1.8961,                  1.534,                0.34877,                0.35547,                0.30959,                0.13252,                  2.527,                 1.8693,                 1.5371,              0.0095545,              0.0095545,              0.0095545
                     21,                 2.3953,                  1.873,                 1.5052,                0.35109,                0.37229,                0.31318,                0.13188,                 2.4992,                 2.1552,                   1.52,              0.0095298,              0.0095298,              0.0095298
                     22,                 2.3755,                 1.8448,                 1.5151,                0.36281,                0.39216,                0.32352,                0.13471,                 2.4508,                 2.0562,                 1.4825,               0.009505,               0.009505,               0.009505
                     23,                 2.3596,                 1.7882,                  1.505,                0.37724,                0.35474,                0.30552,                0.13712,                 2.5317,                 1.9895,                 1.5204,              0.0094803,              0.0094803,              0.0094803
                     24,                 2.3515,                 1.7881,                 1.4784,                0.35882,                 0.3749,                0.31835,                0.14099,                 2.4589,                 1.8786,                 1.4938,              0.0094555,              0.0094555,              0.0094555
                     25,                 2.3175,                 1.7568,                 1.4731,                 0.4428,                0.39085,                0.35913,                0.15187,                 2.4175,                  1.726,                 1.4659,              0.0094307,              0.0094307,              0.0094307
                     26,                 2.3084,                 1.7059,                 1.4635,                0.36288,                0.42039,                 0.3598,                0.15856,                 2.3993,                 1.7705,                 1.4625,               0.009406,               0.009406,               0.009406
                     27,                 2.3122,                 1.7023,                 1.4776,                0.47689,                0.40656,                0.37366,                0.15716,                 2.3962,                 1.6884,                 1.4611,              0.0093813,              0.0093813,              0.0093813
                     28,                 2.2845,                 1.6645,                 1.4544,                0.48813,                0.40793,                0.37726,                0.16721,                 2.4053,                 1.6865,                 1.4811,              0.0093565,              0.0093565,              0.0093565
                     29,                  2.245,                 1.6484,                 1.4374,                0.44955,                0.43022,                0.38591,                0.16705,                 2.4221,                  1.632,                 1.4804,              0.0093317,              0.0093317,              0.0093317
                     30,                 2.2294,                 1.6056,                 1.4391,                0.43755,                0.41667,                0.38725,                0.17548,                 2.3179,                 1.6809,                 1.4348,               0.009307,               0.009307,               0.009307
                     31,                 2.2466,                  1.628,                 1.4342,                0.45735,                 0.4255,                0.39681,                0.16509,                 2.4037,                 1.7224,                 1.4795,              0.0092823,              0.0092823,              0.0092823
                     32,                 2.2313,                 1.5769,                 1.4397,                0.43951,                0.44828,                0.40311,                0.17992,                 2.3249,                  1.575,                 1.4305,              0.0092575,              0.0092575,              0.0092575
                     33,                 2.2375,                 1.5918,                 1.4356,                0.48707,                0.42034,                0.40366,                0.18355,                  2.303,                 1.6066,                 1.4243,              0.0092327,              0.0092327,              0.0092327
                     34,                 2.2041,                  1.593,                 1.4363,                 0.5091,                0.43886,                0.43068,                0.18516,                 2.3312,                 1.5258,                 1.4268,               0.009208,               0.009208,               0.009208
                     35,                 2.1852,                 1.5405,                 1.4176,                 0.5191,                0.42978,                0.43928,                0.19762,                 2.2386,                 1.5726,                 1.3962,              0.0091833,              0.0091833,              0.0091833
                     36,                 2.1672,                 1.5152,                 1.4159,                0.53137,                0.42901,                 0.4336,                 0.1917,                 2.3266,                 1.5519,                 1.4357,              0.0091585,              0.0091585,              0.0091585
                     37,                 2.1632,                  1.508,                 1.4032,                0.53383,                0.45636,                0.45093,                0.20203,                 2.2865,                 1.4905,                 1.4106,              0.0091337,              0.0091337,              0.0091337
                     38,                 2.1453,                  1.474,                 1.3888,                0.55312,                0.47277,                0.46844,                0.20701,                 2.2784,                 1.4278,                 1.4163,               0.009109,               0.009109,               0.009109
                     39,                 2.1397,                 1.4833,                 1.3885,                0.52309,                0.46069,                0.45696,                0.20768,                 2.1931,                 1.4561,                 1.3696,              0.0090843,              0.0090843,              0.0090843
                     40,                 2.1446,                 1.4726,                 1.4093,                  0.522,                0.47509,                 0.4672,                0.21455,                 2.1849,                  1.444,                 1.3596,              0.0090595,              0.0090595,              0.0090595
                     41,                 2.1356,                 1.4553,                 1.3841,                  0.571,                0.47191,                0.48566,                0.21839,                 2.1739,                 1.3898,                 1.3496,              0.0090347,              0.0090347,              0.0090347
                     42,                 2.1179,                 1.4245,                 1.3858,                0.49998,                0.49637,                0.48031,                0.21174,                 2.1857,                 1.5317,                 1.3724,                0.00901,                0.00901,                0.00901
                     43,                  2.099,                 1.4224,                 1.3842,                0.58126,                  0.487,                0.49988,                0.22418,                 2.1934,                 1.3918,                 1.3721,              0.0089853,              0.0089853,              0.0089853
                     44,                 2.0721,                 1.3813,                 1.3705,                 0.5866,                0.47702,                0.47188,                0.21402,                 2.1861,                 1.3707,                 1.3721,              0.0089605,              0.0089605,              0.0089605
                     45,                 2.0962,                 1.4016,                 1.3708,                0.54027,                0.47202,                0.47468,                 0.2181,                 2.1677,                 1.4457,                 1.3552,              0.0089358,              0.0089358,              0.0089358
                     46,                 2.0784,                 1.3972,                 1.3558,                 0.5741,                0.49062,                0.50855,                0.23969,                 2.0955,                 1.3216,                 1.3362,               0.008911,               0.008911,               0.008911
                     47,                 2.0646,                 1.3642,                 1.3662,                0.57262,                0.48902,                0.49652,                0.22939,                 2.0967,                 1.3232,                 1.3351,              0.0088863,              0.0088863,              0.0088863
                     48,                 2.0249,                 1.3187,                 1.3444,                0.59071,                0.49776,                0.51016,                0.23977,                  2.117,                 1.3263,                  1.349,              0.0088615,              0.0088615,              0.0088615
                     49,                 2.0535,                 1.3288,                  1.352,                0.61017,                0.51094,                0.53357,                0.25016,                 2.0656,                 1.2829,                 1.3252,              0.0088368,              0.0088368,              0.0088368
                     50,                 2.0428,                 1.3272,                 1.3364,                0.58061,                0.52582,                0.51824,                0.24641,                  2.076,                 1.2577,                  1.333,               0.008812,               0.008812,               0.008812
                     51,                 2.0327,                 1.3084,                 1.3459,                0.58306,                0.49656,                0.50548,                0.23596,                  2.076,                 1.3282,                 1.3315,              0.0087872,              0.0087872,              0.0087872
                     52,                  2.026,                 1.3234,                 1.3451,                0.59534,                0.53903,                0.53658,                0.24791,                 2.0378,                 1.2431,                 1.3139,              0.0087625,              0.0087625,              0.0087625
                     53,                 2.0086,                 1.2836,                 1.3305,                0.62199,                0.50421,                0.52767,                0.24961,                 2.0846,                 1.3204,                 1.3271,              0.0087378,              0.0087378,              0.0087378
                     54,                  2.026,                 1.3151,                 1.3358,                0.63612,                0.50782,                0.52518,                0.24966,                  2.063,                 1.2595,                 1.3274,               0.008713,               0.008713,               0.008713
                     55,                 1.9919,                 1.2804,                 1.3372,                0.60395,                 0.5197,                0.53818,                0.24964,                  2.052,                 1.3151,                 1.3201,              0.0086882,              0.0086882,              0.0086882
                     56,                 2.0003,                 1.2549,                 1.3227,                0.61593,                0.53683,                0.54541,                0.25982,                 2.0082,                 1.2238,                 1.2998,              0.0086635,              0.0086635,              0.0086635
