                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8275,                 6.1866,                 4.1516,                 0.0136,                 0.0325,                0.00705,                0.00179,                 3.8506,                 5.6443,                 4.0361,              0.0033173,              0.0033173,              0.0033173
                      2,                 3.5447,                 5.0814,                 3.5084,                0.66181,                0.09667,                0.05501,                0.02122,                 3.6017,                 4.4441,                 3.1357,              0.0066342,              0.0066342,              0.0066342
                      3,                 3.3793,                 4.5698,                 2.9375,                0.83725,                  0.125,                0.03972,                0.01637,                 3.2802,                 6.2707,                 2.7289,              0.0099346,              0.0099346,              0.0099346
                      4,                 3.1458,                 3.9587,                 2.6421,                0.87551,                 0.1275,                0.08229,                0.03432,                 3.1315,                 3.5771,                 2.5713,              0.0099258,              0.0099258,              0.0099258
                      5,                 3.0382,                 3.5803,                 2.5015,                0.72415,                0.13732,                0.11399,                 0.0521,                 2.9423,                 3.1852,                 2.4374,              0.0099258,              0.0099258,              0.0099258
                      6,                 2.8997,                 3.3455,                 2.3966,                0.35127,                0.17242,                 0.1327,                 0.0602,                 2.8912,                 3.1814,                 2.3336,               0.009901,               0.009901,               0.009901
                      7,                 2.8302,                 3.2219,                 2.3059,                 0.4972,                0.16959,                0.11068,                0.04772,                 2.7848,                 2.9952,                 2.2852,              0.0098763,              0.0098763,              0.0098763
                      8,                 2.7868,                 3.0965,                 2.2643,                0.32069,                0.22696,                0.13169,                0.05586,                 2.8357,                 3.4463,                 2.2706,              0.0098515,              0.0098515,              0.0098515
                      9,                 2.7493,                 2.9914,                 2.2381,                0.87695,                0.16155,                0.17418,                0.08022,                 2.7135,                 2.7941,                 2.2397,              0.0098268,              0.0098268,              0.0098268
                     10,                 2.6782,                 2.9031,                 2.2012,                0.17959,                0.22338,                0.16864,                0.07441,                 2.6433,                 2.6907,                 2.1642,               0.009802,               0.009802,               0.009802
                     11,                 2.6574,                 2.8142,                 2.1739,                0.49818,                0.19617,                0.16721,                0.07233,                 2.6905,                 2.8293,                 2.1986,              0.0097773,              0.0097773,              0.0097773
                     12,                 2.6287,                 2.7736,                 2.1665,                0.20716,                0.26928,                 0.1444,                0.06043,                 2.6832,                 2.7397,                 2.1458,              0.0097525,              0.0097525,              0.0097525
                     13,                 2.6048,                 2.6723,                  2.138,                0.22424,                0.30405,                0.22352,                0.09695,                  2.611,                 2.5107,                 2.1298,              0.0097278,              0.0097278,              0.0097278
                     14,                 2.5821,                 2.6441,                 2.1353,                0.68745,                0.21642,                0.23809,                0.10671,                 2.5756,                 2.8555,                 2.1145,               0.009703,               0.009703,               0.009703
                     15,                 2.5569,                 2.5586,                 2.0891,                0.28383,                0.26405,                0.21136,                0.09378,                 2.6412,                 2.5487,                 2.1396,              0.0096783,              0.0096783,              0.0096783
                     16,                 2.5455,                 2.5186,                  2.106,                0.20303,                0.34261,                0.21445,                0.09395,                  2.595,                 2.6066,                 2.1357,              0.0096535,              0.0096535,              0.0096535
                     17,                 2.5236,                 2.4742,                 2.0697,                0.33272,                 0.3133,                0.23643,                0.09704,                  2.582,                 2.4364,                 2.0801,              0.0096288,              0.0096288,              0.0096288
                     18,                 2.5049,                 2.4377,                 2.0564,                0.35758,                0.31901,                0.27371,                 0.1194,                 2.5582,                 2.3373,                 2.0853,               0.009604,               0.009604,               0.009604
                     19,                  2.488,                 2.3815,                 2.0476,                0.31601,                0.37984,                0.30423,                0.13138,                 2.4918,                 2.3036,                  2.064,              0.0095793,              0.0095793,              0.0095793
                     20,                 2.4697,                 2.3464,                 2.0346,                 0.2548,                0.35483,                0.24665,                0.10291,                 2.5398,                 2.4121,                 2.0568,              0.0095545,              0.0095545,              0.0095545
                     21,                 2.4567,                 2.3143,                 1.9838,                0.30973,                0.37927,                0.30195,                0.12383,                 2.4907,                 2.2493,                 2.0084,              0.0095298,              0.0095298,              0.0095298
                     22,                 2.4522,                 2.3012,                 2.0237,                 0.3234,                0.39022,                0.31488,                0.13484,                 2.4369,                 2.3327,                 2.0113,               0.009505,               0.009505,               0.009505
                     23,                 2.4166,                 2.2474,                 1.9933,                0.41258,                0.38365,                0.32166,                0.13247,                 2.4557,                 2.1497,                 2.0118,              0.0094803,              0.0094803,              0.0094803
                     24,                 2.4038,                 2.2235,                 1.9671,                0.35064,                0.39235,                0.32196,                0.14027,                 2.4137,                 2.0588,                 1.9921,              0.0094555,              0.0094555,              0.0094555
                     25,                  2.395,                 2.1871,                 1.9775,                0.34192,                0.36031,                0.29888,                0.13189,                 2.4492,                 2.2257,                 2.0102,              0.0094307,              0.0094307,              0.0094307
                     26,                 2.3777,                 2.1337,                 1.9417,                0.38832,                0.40244,                0.34996,                0.14738,                 2.4466,                 2.0397,                  1.966,               0.009406,               0.009406,               0.009406
                     27,                 2.3732,                 2.1284,                 1.9492,                0.41262,                0.40921,                0.36381,                0.15326,                 2.3785,                 2.0071,                 1.9337,              0.0093813,              0.0093813,              0.0093813
                     28,                 2.3426,                 2.0782,                  1.932,                0.41921,                0.42159,                 0.3686,                0.16045,                 2.3531,                 1.9533,                 1.9341,              0.0093565,              0.0093565,              0.0093565
                     29,                  2.326,                 2.0584,                 1.9051,                0.35061,                0.44768,                0.38292,                0.15959,                 2.3637,                 2.0047,                 1.9437,              0.0093317,              0.0093317,              0.0093317
                     30,                 2.2931,                 2.0129,                 1.9085,                0.39941,                0.44546,                0.39632,                0.17374,                 2.3058,                 1.9082,                 1.9063,               0.009307,               0.009307,               0.009307
                     31,                 2.3157,                 2.0123,                 1.9022,                0.44889,                0.39723,                0.38327,                0.17018,                 2.3392,                 1.9802,                 1.9133,              0.0092823,              0.0092823,              0.0092823
                     32,                 2.3072,                 1.9767,                 1.8963,                0.37703,                0.45146,                0.40549,                0.17799,                 2.3139,                 1.8132,                 1.8897,              0.0092575,              0.0092575,              0.0092575
                     33,                   2.29,                 1.9587,                 1.8817,                 0.3977,                0.46425,                 0.4066,                0.17518,                 2.3262,                 1.9203,                 1.9215,              0.0092327,              0.0092327,              0.0092327
                     34,                  2.271,                 1.9633,                 1.8993,                0.40654,                0.46891,                0.41603,                0.17991,                 2.2956,                  2.054,                 1.9287,               0.009208,               0.009208,               0.009208
                     35,                 2.2578,                  1.922,                 1.8741,                0.43454,                0.45637,                0.42144,                0.18278,                 2.2769,                 1.8164,                 1.8979,              0.0091833,              0.0091833,              0.0091833
                     36,                 2.2483,                 1.8918,                 1.8761,                0.45426,                0.46391,                 0.4318,                0.19284,                 2.2509,                 1.7887,                 1.8709,              0.0091585,              0.0091585,              0.0091585
                     37,                 2.2313,                 1.8675,                 1.8491,                0.47022,                  0.468,                0.44222,                0.18908,                 2.2666,                 1.7749,                  1.877,              0.0091337,              0.0091337,              0.0091337
                     38,                 2.2294,                 1.8466,                 1.8361,                0.46394,                0.48008,                0.45021,                0.19541,                 2.2103,                 1.7577,                  1.845,               0.009109,               0.009109,               0.009109
                     39,                 2.2321,                  1.859,                 1.8383,                0.45575,                0.47583,                0.43086,                0.18977,                 2.2222,                 1.7689,                 1.8467,              0.0090843,              0.0090843,              0.0090843
                     40,                 2.2275,                 1.8394,                 1.8606,                0.50018,                0.47839,                0.45884,                0.20984,                 2.1635,                 1.7256,                 1.8203,              0.0090595,              0.0090595,              0.0090595
                     41,                 2.2042,                 1.8221,                 1.8374,                0.47778,                0.49546,                0.46364,                0.20611,                 2.1865,                 1.7098,                 1.8236,              0.0090347,              0.0090347,              0.0090347
                     42,                 2.1931,                 1.7731,                 1.8267,                0.51767,                0.49158,                0.47962,                0.21181,                 2.2077,                 1.6689,                 1.8376,                0.00901,                0.00901,                0.00901
                     43,                 2.1793,                 1.7895,                 1.8283,                0.51083,                0.48663,                0.49362,                0.21276,                 2.1909,                 1.6842,                 1.8205,              0.0089853,              0.0089853,              0.0089853
                     44,                 2.1535,                 1.7405,                 1.8143,                0.47004,                0.50964,                0.49243,                0.21941,                  2.164,                 1.6852,                 1.8071,              0.0089605,              0.0089605,              0.0089605
                     45,                 2.1676,                 1.7494,                 1.7996,                0.55464,                0.50915,                0.50284,                0.22358,                 2.1401,                 1.6318,                 1.8066,              0.0089358,              0.0089358,              0.0089358
                     46,                 2.1465,                 1.7468,                 1.7902,                0.50074,                 0.5062,                0.49261,                0.21838,                 2.1371,                 1.6363,                 1.7916,               0.008911,               0.008911,               0.008911
                     47,                 2.1387,                 1.7254,                 1.7908,                0.54559,                0.50437,                    0.5,                0.21799,                 2.1221,                 1.6519,                 1.7705,              0.0088863,              0.0088863,              0.0088863
                     48,                 2.1254,                 1.6921,                 1.7785,                0.51772,                0.52133,                0.50455,                0.22462,                 2.1678,                 1.6228,                 1.7899,              0.0088615,              0.0088615,              0.0088615
                     49,                 2.1365,                 1.6901,                 1.7733,                0.51334,                0.54258,                0.52576,                0.24117,                 2.0568,                 1.5615,                 1.7408,              0.0088368,              0.0088368,              0.0088368
                     50,                  2.122,                 1.6801,                 1.7668,                0.55966,                0.50636,                0.52076,                0.23651,                 2.1091,                 1.5905,                 1.7756,               0.008812,               0.008812,               0.008812
                     51,                 2.1223,                 1.6569,                 1.7705,                 0.5294,                0.54478,                0.53185,                0.24022,                 2.1108,                 1.5501,                 1.7616,              0.0087872,              0.0087872,              0.0087872
                     52,                 2.0921,                 1.6599,                 1.7606,                 0.5992,                 0.5039,                0.54265,                0.25475,                  2.043,                 1.5216,                 1.7378,              0.0087625,              0.0087625,              0.0087625
                     53,                 2.0966,                 1.6396,                 1.7589,                0.54461,                0.51201,                0.50833,                0.23077,                 2.1323,                 1.6524,                 1.7677,              0.0087378,              0.0087378,              0.0087378
                     54,                 2.1018,                 1.6563,                 1.7455,                0.54593,                0.56129,                0.55615,                0.25272,                 2.0688,                 1.5377,                 1.7395,               0.008713,               0.008713,               0.008713
                     55,                 2.0815,                 1.6341,                 1.7537,                0.59672,                0.55722,                0.57314,                0.26483,                 2.0272,                 1.5228,                 1.7341,              0.0086882,              0.0086882,              0.0086882
                     56,                 2.0817,                 1.6129,                 1.7351,                0.58082,                0.54926,                0.57045,                0.26749,                 2.0319,                  1.482,                 1.7108,              0.0086635,              0.0086635,              0.0086635
                     57,                 2.0559,                 1.5789,                  1.724,                0.56451,                0.58185,                0.56806,                0.25938,                 2.0369,                  1.551,                 1.7002,              0.0086388,              0.0086388,              0.0086388
                     58,                 2.0715,                 1.5953,                 1.7318,                0.59504,                0.54168,                0.56488,                0.26365,                 2.0295,                 1.5074,                 1.7087,               0.008614,               0.008614,               0.008614
                     59,                 2.0649,                 1.5844,                 1.7114,                0.60063,                0.57694,                0.58178,                0.26647,                 2.0021,                 1.4556,                 1.6841,              0.0085893,              0.0085893,              0.0085893
                     60,                 2.0686,                  1.611,                 1.7269,                0.56484,                0.55011,                0.57236,                0.27161,                  2.021,                 1.4685,                 1.6999,              0.0085645,              0.0085645,              0.0085645
                     61,                 2.0185,                 1.5239,                 1.7047,                0.58924,                0.56404,                0.59034,                 0.2803,                 1.9684,                 1.4374,                 1.6768,              0.0085398,              0.0085398,              0.0085398
                     62,                  2.036,                 1.5354,                 1.7128,                0.61153,                0.58088,                0.60516,                0.28086,                 1.9608,                 1.4213,                 1.6911,               0.008515,               0.008515,               0.008515
                     63,                 2.0252,                 1.5319,                  1.705,                0.61651,                0.58375,                0.60748,                0.28428,                 1.9943,                 1.4168,                 1.7011,              0.0084903,              0.0084903,              0.0084903
                     64,                 2.0549,                 1.5608,                 1.7097,                0.61374,                0.58887,                0.60062,                0.28395,                  1.969,                 1.4262,                 1.6846,              0.0084655,              0.0084655,              0.0084655
                     65,                  2.029,                  1.527,                 1.6891,                 0.6043,                0.59625,                0.60823,                0.28713,                 1.9886,                 1.4176,                 1.6953,              0.0084408,              0.0084408,              0.0084408
                     66,                 2.0016,                  1.507,                 1.6921,                0.62068,                0.57428,                0.58732,                0.27566,                 2.0012,                 1.4463,                 1.7213,               0.008416,               0.008416,               0.008416
                     67,                 2.0114,                  1.518,                 1.6911,                0.57559,                 0.6125,                0.59225,                0.28092,                 1.9677,                 1.4606,                 1.6805,              0.0083913,              0.0083913,              0.0083913
                     68,                 1.9922,                 1.4752,                 1.6796,                0.65718,                0.59689,                0.62233,                0.29633,                  1.952,                 1.3745,                 1.6625,              0.0083665,              0.0083665,              0.0083665
                     69,                 2.0176,                 1.5037,                 1.6751,                0.59728,                0.60612,                  0.616,                0.29721,                 1.9194,                 1.4023,                 1.6601,              0.0083418,              0.0083418,              0.0083418
                     70,                 1.9885,                 1.5019,                  1.685,                0.65023,                0.59448,                0.62861,                0.29836,                 1.9403,                 1.3661,                 1.6712,               0.008317,               0.008317,               0.008317
