                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7875,                 6.2621,                 4.2027,                0.80076,                 0.0025,                0.00034,                  9e-05,                 3.9463,                 14.649,                 4.3683,              0.0033173,              0.0033173,              0.0033173
                      2,                 3.4669,                 5.0673,                 3.5555,                  0.227,                0.06333,                0.01971,                0.00641,                 3.6318,                 6.9896,                 3.2467,              0.0066342,              0.0066342,              0.0066342
                      3,                 3.3016,                 4.5066,                 2.9261,                0.83965,                  0.125,                 0.0417,                0.01884,                 3.3005,                  5.151,                 2.6467,              0.0099346,              0.0099346,              0.0099346
                      4,                 3.1956,                 4.0504,                 2.6816,                0.88353,                 0.1175,                0.07823,                0.03852,                 3.0072,                 3.7771,                 2.5789,              0.0099258,              0.0099258,              0.0099258
                      5,                 3.0517,                 3.7058,                 2.5174,                 0.2835,                0.05169,                0.04493,                0.01572,                 3.3487,                 4.7069,                 2.5853,              0.0099258,              0.0099258,              0.0099258
                      6,                 2.9063,                 3.4105,                 2.3792,                0.28439,                0.18242,                0.08492,                 0.0394,                 2.8997,                 3.3431,                  2.319,               0.009901,               0.009901,               0.009901
                      7,                 2.8293,                 3.2359,                 2.2844,                0.69146,                0.15583,                0.12313,                0.05565,                  2.745,                 2.9612,                 2.2193,              0.0098763,              0.0098763,              0.0098763
                      8,                 2.7856,                 3.0931,                 2.2315,                 0.1875,                 0.1974,                0.11906,                0.05279,                 2.7595,                 2.9499,                 2.1661,              0.0098515,              0.0098515,              0.0098515
                      9,                 2.7455,                 2.9984,                 2.2235,                0.31334,                0.18978,                0.11367,                0.04897,                 2.7521,                 2.9601,                 2.1927,              0.0098268,              0.0098268,              0.0098268
                     10,                 2.6783,                 2.8903,                 2.1861,                0.34052,                0.23154,                0.14257,                0.06343,                 2.6616,                 2.7187,                 2.1365,               0.009802,               0.009802,               0.009802
                     11,                 2.6704,                  2.836,                 2.1606,                0.34823,                0.18532,                 0.1604,                0.06697,                 2.6638,                 2.7258,                 2.1071,              0.0097773,              0.0097773,              0.0097773
                     12,                 2.6514,                 2.7619,                  2.158,                0.15429,                0.29369,                0.13802,                0.05577,                 2.6416,                 2.8925,                 2.1034,              0.0097525,              0.0097525,              0.0097525
                     13,                 2.6085,                 2.6827,                 2.1164,                 0.2393,                0.26492,                0.19506,                0.08548,                  2.621,                 2.6768,                 2.1033,              0.0097278,              0.0097278,              0.0097278
                     14,                 2.5908,                 2.6528,                 2.1149,                0.19859,                0.35483,                0.18027,                0.07661,                 2.5486,                 2.8655,                 2.0747,               0.009703,               0.009703,               0.009703
                     15,                 2.5537,                 2.5557,                  2.066,                0.28886,                0.30031,                0.21587,                0.09141,                 2.6087,                 2.4679,                 2.0821,              0.0096783,              0.0096783,              0.0096783
                     16,                 2.5452,                 2.5272,                 2.0793,                0.24541,                0.33427,                0.23349,                0.09747,                 2.5303,                 2.4769,                 2.0223,              0.0096535,              0.0096535,              0.0096535
                     17,                  2.532,                 2.4585,                 2.0409,                0.28466,                 0.3313,                0.25728,                0.11092,                 2.5267,                 2.3599,                 1.9965,              0.0096288,              0.0096288,              0.0096288
                     18,                 2.5223,                 2.4315,                 2.0308,                0.32465,                0.37115,                0.27054,                0.11188,                 2.4973,                 2.4172,                 1.9812,               0.009604,               0.009604,               0.009604
                     19,                 2.4847,                   2.38,                 2.0051,                0.31551,                0.37319,                0.27312,                0.11926,                 2.4859,                 2.2939,                 1.9663,              0.0095793,              0.0095793,              0.0095793
                     20,                 2.4649,                 2.3535,                 1.9861,                0.40178,                0.38914,                0.30897,                0.13027,                 2.4841,                 2.2387,                 1.9786,              0.0095545,              0.0095545,              0.0095545
                     21,                 2.4637,                 2.3254,                 1.9639,                0.32646,                0.36015,                0.28516,                 0.1265,                 2.4644,                 2.2074,                 1.9327,              0.0095298,              0.0095298,              0.0095298
                     22,                 2.4347,                 2.2743,                 1.9775,                0.29489,                0.40444,                0.29702,                0.12724,                 2.4082,                  2.197,                 1.9383,               0.009505,               0.009505,               0.009505
                     23,                 2.4218,                 2.2127,                 1.9479,                 0.3862,                0.41156,                0.34719,                0.14445,                 2.4301,                 2.1035,                 1.9281,              0.0094803,              0.0094803,              0.0094803
                     24,                 2.3944,                  2.198,                 1.9321,                0.41926,                0.40549,                0.35697,                0.15141,                   2.38,                 2.0446,                 1.9013,              0.0094555,              0.0094555,              0.0094555
                     25,                 2.3806,                 2.1638,                 1.9289,                0.37984,                0.44327,                0.35831,                0.14842,                 2.4316,                 2.0811,                 1.9051,              0.0094307,              0.0094307,              0.0094307
                     26,                 2.3714,                 2.1098,                 1.9073,                0.37451,                0.44956,                0.38593,                0.16886,                 2.3539,                 1.9782,                 1.8848,               0.009406,               0.009406,               0.009406
                     27,                  2.369,                 2.0843,                 1.9015,                 0.4363,                0.45339,                0.37929,                0.15561,                 2.3679,                 2.0147,                 1.8482,              0.0093813,              0.0093813,              0.0093813
                     28,                 2.3483,                 2.0456,                 1.8849,                0.37861,                0.45779,                0.37938,                0.16541,                 2.3003,                   2.02,                 1.8484,              0.0093565,              0.0093565,              0.0093565
                     29,                 2.3197,                 2.0332,                 1.8666,                0.45966,                0.44697,                   0.41,                0.17109,                 2.3507,                 1.8803,                 1.8663,              0.0093317,              0.0093317,              0.0093317
                     30,                 2.2936,                 1.9796,                 1.8566,                0.36125,                0.46755,                0.39706,                0.17566,                 2.3194,                 1.9917,                 1.8182,               0.009307,               0.009307,               0.009307
                     31,                 2.2978,                 1.9738,                 1.8499,                0.42314,                0.47187,                0.40815,                0.17548,                 2.3687,                 1.9035,                   1.84,              0.0092823,              0.0092823,              0.0092823
                     32,                 2.2857,                 1.9287,                 1.8489,                 0.4435,                0.46079,                0.42663,                0.18421,                 2.2903,                 1.8391,                 1.8169,              0.0092575,              0.0092575,              0.0092575
                     33,                 2.2877,                 1.9374,                 1.8368,                  0.433,                0.47322,                0.42155,                0.18219,                  2.237,                 1.8186,                 1.8003,              0.0092327,              0.0092327,              0.0092327
                     34,                  2.272,                 1.9184,                 1.8484,                0.43457,                  0.496,                0.42753,                0.18644,                 2.2686,                 1.9509,                 1.8263,               0.009208,               0.009208,               0.009208
                     35,                  2.247,                 1.8812,                 1.8221,                0.43743,                0.46799,                0.43097,                0.19206,                 2.2241,                 1.8412,                  1.768,              0.0091833,              0.0091833,              0.0091833
                     36,                 2.2331,                 1.8657,                 1.8161,                0.47512,                0.43546,                0.42971,                0.17812,                 2.3175,                 1.8472,                 1.8098,              0.0091585,              0.0091585,              0.0091585
                     37,                 2.2242,                 1.8455,                 1.8009,                0.50877,                 0.5024,                0.48133,                0.21405,                 2.2287,                 1.7109,                 1.7734,              0.0091337,              0.0091337,              0.0091337
                     38,                  2.233,                  1.812,                 1.7848,                0.54276,                0.47301,                0.47077,                0.21025,                 2.2062,                 1.7284,                 1.7445,               0.009109,               0.009109,               0.009109
                     39,                 2.2147,                 1.8296,                 1.7822,                0.48406,                0.52294,                0.48673,                0.21016,                 2.1952,                 1.6998,                 1.7506,              0.0090843,              0.0090843,              0.0090843
                     40,                  2.205,                 1.8007,                  1.787,                 0.5156,                0.50361,                0.50629,                0.22576,                 2.2014,                 1.7131,                  1.735,              0.0090595,              0.0090595,              0.0090595
                     41,                 2.1959,                 1.7754,                 1.7676,                0.53105,                0.51073,                0.49618,                0.21925,                 2.1669,                 1.7399,                 1.7128,              0.0090347,              0.0090347,              0.0090347
                     42,                 2.1917,                 1.7511,                 1.7673,                0.50075,                0.54518,                0.49269,                0.22234,                  2.163,                 1.6534,                 1.7304,                0.00901,                0.00901,                0.00901
                     43,                 2.1845,                 1.7446,                 1.7765,                0.54257,                0.52931,                0.52573,                0.23567,                 2.1553,                  1.598,                 1.7221,              0.0089853,              0.0089853,              0.0089853
                     44,                 2.1537,                 1.7095,                 1.7633,                0.52504,                0.52834,                0.51722,                0.23264,                 2.1162,                 1.6275,                 1.6816,              0.0089605,              0.0089605,              0.0089605
                     45,                 2.1629,                 1.7153,                 1.7494,                0.52256,                 0.5291,                0.50992,                0.23241,                 2.1052,                 1.6074,                 1.7032,              0.0089358,              0.0089358,              0.0089358
                     46,                 2.1444,                 1.6915,                 1.7447,                0.55308,                0.55628,                0.53785,                0.24132,                 2.1145,                 1.5927,                 1.6901,               0.008911,               0.008911,               0.008911
                     47,                 2.1329,                 1.6795,                 1.7371,                0.53236,                 0.5236,                0.47845,                0.21751,                 2.1385,                 1.7621,                 1.6917,              0.0088863,              0.0088863,              0.0088863
                     48,                  2.125,                 1.6459,                 1.7292,                0.56355,                0.56536,                0.55623,                0.23425,                 2.1561,                 1.5691,                  1.708,              0.0088615,              0.0088615,              0.0088615
                     49,                 2.1271,                 1.6402,                 1.7139,                0.60472,                0.53683,                0.55169,                0.25037,                 2.0887,                 1.5747,                 1.6569,              0.0088368,              0.0088368,              0.0088368
                     50,                 2.1171,                 1.6446,                 1.7064,                0.60034,                0.54751,                0.55779,                0.25299,                 2.0699,                 1.5499,                 1.6595,               0.008812,               0.008812,               0.008812
                     51,                 2.1008,                 1.6253,                 1.6986,                0.59789,                  0.569,                0.57702,                0.26651,                 2.0682,                 1.5115,                 1.6577,              0.0087872,              0.0087872,              0.0087872
                     52,                 2.0873,                 1.6349,                 1.7002,                0.59912,                0.55925,                0.56288,                0.25642,                 2.0563,                 1.5181,                 1.6301,              0.0087625,              0.0087625,              0.0087625
                     53,                 2.0839,                 1.6025,                 1.7005,                 0.5831,                0.57293,                0.56089,                0.25799,                 2.0728,                 1.5167,                 1.6645,              0.0087378,              0.0087378,              0.0087378
                     54,                 2.0949,                  1.612,                 1.6903,                0.57641,                0.58236,                0.56124,                0.25873,                 2.0505,                 1.5263,                 1.6446,               0.008713,               0.008713,               0.008713
                     55,                 2.0656,                 1.5999,                 1.6917,                0.58096,                0.57192,                0.59423,                0.27471,                 2.0222,                 1.4821,                 1.6234,              0.0086882,              0.0086882,              0.0086882
                     56,                 2.0717,                 1.5842,                 1.6764,                0.59572,                0.57942,                0.56813,                0.26896,                 1.9807,                 1.4902,                 1.6079,              0.0086635,              0.0086635,              0.0086635
                     57,                 2.0411,                 1.5414,                 1.6646,                0.62167,                0.56875,                0.58677,                0.27343,                 2.0103,                 1.4579,                 1.5923,              0.0086388,              0.0086388,              0.0086388
                     58,                 2.0535,                 1.5597,                  1.668,                  0.623,                0.59403,                0.59483,                0.27682,                 2.0065,                  1.454,                 1.6054,               0.008614,               0.008614,               0.008614
                     59,                 2.0625,                 1.5525,                 1.6572,                0.62448,                0.56784,                0.59173,                0.28041,                 1.9993,                 1.4514,                 1.6082,              0.0085893,              0.0085893,              0.0085893
                     60,                 2.0692,                   1.57,                 1.6742,                0.64525,                0.56013,                0.60215,                0.28355,                 1.9901,                 1.5288,                  1.586,              0.0085645,              0.0085645,              0.0085645
                     61,                 1.9999,                 1.4853,                 1.6301,                0.63365,                0.60196,                0.60575,                0.28662,                 1.9666,                 1.4485,                 1.5717,              0.0085398,              0.0085398,              0.0085398
                     62,                 2.0246,                 1.4856,                 1.6463,                0.63976,                0.59411,                0.61428,                0.29342,                 1.9683,                 1.4279,                 1.5923,               0.008515,               0.008515,               0.008515
                     63,                 2.0365,                 1.5143,                 1.6557,                0.63145,                 0.6149,                0.62346,                0.29543,                 1.9552,                 1.3747,                 1.5727,              0.0084903,              0.0084903,              0.0084903
