                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8099,                 6.1202,                 4.1315,                0.43771,                0.03667,                0.02416,                0.00776,                 3.6187,                 5.4713,                 3.7889,              0.0033173,              0.0033173,              0.0033173
                      2,                 3.4569,                 4.9509,                 3.4092,                 0.8616,                0.09333,                0.06057,                0.01993,                 3.5761,                  7.772,                 3.1856,              0.0066342,              0.0066342,              0.0066342
                      3,                 3.3146,                 4.5023,                 2.9041,                0.86825,                 0.0875,                0.06229,                0.02346,                 3.4373,                 5.0134,                 3.1351,              0.0099346,              0.0099346,              0.0099346
                      4,                  3.135,                 3.9775,                 2.6459,                  0.868,                   0.12,                0.07358,                0.03444,                   3.07,                 3.8221,                 2.5106,              0.0099258,              0.0099258,              0.0099258
                      5,                 3.0173,                 3.6317,                 2.4946,                0.85931,                0.15583,                0.09078,                0.04407,                 3.0076,                 3.5247,                 2.4055,              0.0099258,              0.0099258,              0.0099258
                      6,                  2.923,                 3.3779,                 2.3923,                 0.3037,                0.15118,                0.09383,                 0.0413,                 2.9052,                 3.2969,                 2.3084,               0.009901,               0.009901,               0.009901
                      7,                 2.8363,                 3.2192,                  2.284,                0.29187,                0.17329,                0.10467,                0.04924,                 2.8523,                   3.29,                 2.2807,              0.0098763,              0.0098763,              0.0098763
                      8,                 2.8098,                 3.1298,                 2.2483,                0.30373,                0.20142,                0.12825,                0.05707,                  2.729,                 3.1035,                 2.2041,              0.0098515,              0.0098515,              0.0098515
                      9,                 2.7448,                 3.0159,                 2.2263,                0.33565,                0.22047,                 0.1393,                 0.0619,                 2.7359,                 2.8675,                 2.1774,              0.0098268,              0.0098268,              0.0098268
                     10,                  2.686,                 2.9388,                 2.2022,                 0.1567,                0.20518,                0.13229,                0.05908,                 2.7715,                 2.9786,                 2.1797,               0.009802,               0.009802,               0.009802
                     11,                 2.6709,                 2.8575,                 2.1656,                0.70972,                0.18179,                0.14082,                0.06506,                 2.6496,                 2.8219,                 2.1259,              0.0097773,              0.0097773,              0.0097773
                     12,                 2.6377,                 2.8008,                 2.1422,                0.59839,                0.19741,                0.15163,                0.06716,                  2.599,                 2.7074,                    2.1,              0.0097525,              0.0097525,              0.0097525
                     13,                  2.611,                  2.706,                 2.1038,                0.22173,                0.27247,                0.18525,                0.07939,                 2.6212,                 2.6714,                 2.0709,              0.0097278,              0.0097278,              0.0097278
                     14,                 2.5731,                 2.6843,                  2.099,                0.21726,                0.29782,                 0.2027,                0.09092,                 2.5495,                 2.5169,                 2.0402,               0.009703,               0.009703,               0.009703
                     15,                 2.5509,                 2.5989,                 2.0591,                0.26355,                0.29524,                0.22117,                0.09486,                 2.5855,                 2.4393,                 2.0772,              0.0096783,              0.0096783,              0.0096783
                     16,                 2.5492,                 2.5528,                 2.0678,                0.21972,                0.32773,                0.22247,                 0.0974,                 2.5406,                 2.6488,                 2.0417,              0.0096535,              0.0096535,              0.0096535
                     17,                 2.5168,                 2.4702,                 2.0319,                0.33475,                0.32428,                0.26184,                0.10989,                 2.5262,                 2.3484,                 2.0147,              0.0096288,              0.0096288,              0.0096288
                     18,                 2.5003,                 2.4334,                 2.0231,                0.31218,                0.33699,                0.25799,                 0.1107,                  2.524,                 2.3338,                 2.0081,               0.009604,               0.009604,               0.009604
                     19,                 2.4848,                 2.3717,                 2.0051,                0.42108,                 0.3067,                0.27777,                0.12055,                 2.5532,                 2.3668,                 2.0472,              0.0095793,              0.0095793,              0.0095793
                     20,                 2.4684,                 2.3556,                 1.9904,                0.30879,                0.33901,                0.25094,                0.11058,                 2.5206,                 2.3701,                 2.0248,              0.0095545,              0.0095545,              0.0095545
                     21,                 2.4549,                 2.2981,                 1.9578,                0.35346,                0.37823,                0.29032,                  0.125,                 2.4378,                 2.2015,                 1.9598,              0.0095298,              0.0095298,              0.0095298
                     22,                 2.4447,                 2.2575,                 1.9736,                0.32016,                0.39316,                0.30157,                0.13028,                 2.4519,                 2.1865,                  1.952,               0.009505,               0.009505,               0.009505
