                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8813,                 6.0953,                 4.1935,                0.41759,                   0.03,                0.01086,                0.00355,                 3.7644,                 5.9382,                 3.9849,              0.0033173,              0.0033173,              0.0033173
                      2,                 3.4964,                 4.9894,                 3.4883,                0.67021,                0.10083,                0.06602,                0.02817,                 3.3617,                 5.1008,                 2.8608,              0.0066342,              0.0066342,              0.0066342
                      3,                 3.2508,                  4.487,                 2.8586,                0.85857,                0.15917,                0.06875,                0.03028,                 3.1469,                 6.2434,                 2.5936,              0.0099346,              0.0099346,              0.0099346
                      4,                 3.0915,                 3.9077,                  2.611,                0.47983,                0.10833,                0.09243,                0.04436,                 3.0783,                  3.769,                 2.4813,              0.0099258,              0.0099258,              0.0099258
                      5,                 2.9938,                 3.5991,                  2.472,                  0.274,                0.18796,                0.07062,                0.03022,                 2.9172,                 3.2856,                 2.3933,              0.0099258,              0.0099258,              0.0099258
                      6,                 2.8795,                 3.3737,                 2.3757,                0.30606,                0.18026,                0.09534,                0.04311,                 2.9284,                 3.6772,                 2.3882,               0.009901,               0.009901,               0.009901
                      7,                 2.8132,                 3.2192,                 2.3045,                0.36559,                0.16539,                0.10468,                 0.0485,                 2.7621,                 3.0217,                 2.2891,              0.0098763,              0.0098763,              0.0098763
                      8,                  2.757,                 3.0894,                 2.2614,                0.89322,                0.14417,                0.13218,                0.06177,                 2.7338,                  2.955,                 2.2424,              0.0098515,              0.0098515,              0.0098515
                      9,                 2.7215,                 2.9857,                 2.2488,                0.21302,                0.22886,                0.17151,                0.07944,                 2.6363,                 2.6855,                 2.1898,              0.0098268,              0.0098268,              0.0098268
                     10,                 2.6669,                 2.8897,                 2.2014,                 0.5312,                0.18531,                0.14317,                 0.0636,                 2.7035,                 2.7263,                 2.1894,               0.009802,               0.009802,               0.009802
                     11,                  2.635,                 2.7998,                 2.1807,                0.89653,                0.16083,                0.15507,                0.06602,                 2.5953,                 2.7701,                 2.1319,              0.0097773,              0.0097773,              0.0097773
                     12,                 2.6229,                 2.7226,                 2.1714,                0.20985,                0.22574,                0.17153,                0.07737,                 2.6012,                 2.5971,                 2.1243,              0.0097525,              0.0097525,              0.0097525
                     13,                 2.5954,                 2.6195,                 2.1433,                0.20758,                  0.256,                0.19267,                0.08378,                 2.5886,                 2.5306,                 2.1361,              0.0097278,              0.0097278,              0.0097278
                     14,                 2.5519,                 2.5747,                 2.1265,                0.21826,                  0.322,                0.23549,                0.10106,                 2.5178,                 2.3732,                 2.0884,               0.009703,               0.009703,               0.009703
                     15,                 2.5305,                 2.4876,                 2.0944,                0.31428,                0.32413,                0.24594,                0.10728,                 2.5754,                 2.3759,                 2.1024,              0.0096783,              0.0096783,              0.0096783
                     16,                 2.5368,                  2.453,                 2.0953,                0.28403,                0.36191,                0.26646,                0.11037,                 2.4825,                 2.2965,                 2.0754,              0.0096535,              0.0096535,              0.0096535
                     17,                 2.5121,                 2.3821,                 2.0732,                0.27086,                0.38876,                0.22668,                 0.0866,                 2.5734,                 2.3784,                 2.1274,              0.0096288,              0.0096288,              0.0096288
                     18,                 2.4956,                 2.3528,                 2.0614,                 0.2543,                  0.374,                0.26649,                0.11076,                 2.4952,                  2.329,                 2.0783,               0.009604,               0.009604,               0.009604
