                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8457,                 6.1867,                 4.1837,                0.00084,                0.08365,                0.00064,                 0.0002,                 3.6769,                 6.0676,                  4.237,              0.0033173,              0.0033173,              0.0033173
                      2,                 3.5051,                 4.9595,                 3.4807,                0.86168,                0.11417,                0.05791,                0.02201,                 3.3683,                 5.8273,                 3.0075,              0.0066342,              0.0066342,              0.0066342
                      3,                 3.3401,                 4.3805,                   2.88,                0.87631,                0.13417,                0.07753,                0.03514,                   3.23,                 4.1931,                 2.6922,              0.0099346,              0.0099346,              0.0099346
                      4,                 3.1185,                 3.8451,                 2.6298,                0.72787,                0.15234,                0.12144,                0.05526,                 3.0399,                 4.0717,                 2.5163,              0.0099258,              0.0099258,              0.0099258
                      5,                 3.0197,                 3.4869,                 2.5058,                0.88595,                0.13252,                0.10101,                0.04499,                 2.9161,                 3.2821,                 2.4341,              0.0099258,              0.0099258,              0.0099258
                      6,                 2.9145,                 3.2335,                 2.3975,                0.32289,                0.23304,                0.11382,                0.05234,                 2.8806,                 3.2776,                 2.3438,               0.009901,               0.009901,               0.009901
                      7,                 2.8258,                 3.0859,                 2.3192,                0.90802,                0.15083,                0.14486,                0.06734,                 2.7711,                 2.8763,                 2.2877,              0.0098763,              0.0098763,              0.0098763
                      8,                 2.7725,                 2.9412,                 2.2693,                0.33547,                0.16887,                0.12419,                 0.0553,                 2.8209,                 2.8342,                 2.3122,              0.0098515,              0.0098515,              0.0098515
                      9,                 2.7043,                 2.8382,                 2.2424,                0.35082,                 0.2297,                0.17072,                0.07675,                 2.6785,                 2.6239,                 2.2224,              0.0098268,              0.0098268,              0.0098268
                     10,                 2.6614,                 2.7336,                 2.2145,                0.28791,                0.26046,                0.18555,                0.07668,                  2.686,                 2.5902,                 2.1882,               0.009802,               0.009802,               0.009802
                     11,                 2.6074,                  2.659,                 2.1645,                0.26295,                0.27912,                0.19687,                0.08528,                 2.6233,                 2.5002,                 2.1647,              0.0097773,              0.0097773,              0.0097773
                     12,                 2.5839,                 2.5808,                  2.162,                0.19882,                0.30826,                 0.1913,                0.07808,                 2.5599,                 2.5764,                 2.1302,              0.0097525,              0.0097525,              0.0097525
                     13,                 2.5661,                 2.4713,                 2.1314,                0.28763,                0.33226,                0.26145,                0.10087,                 2.5614,                 2.3776,                 2.1195,              0.0097278,              0.0097278,              0.0097278
                     14,                 2.5286,                 2.4339,                 2.1223,                0.52643,                0.29441,                0.27547,                0.11406,                  2.484,                 2.3593,                 2.0894,               0.009703,               0.009703,               0.009703
                     15,                 2.4884,                 2.3486,                 2.0824,                0.27917,                0.34041,                 0.2876,                0.12171,                 2.4919,                 2.2649,                 2.0788,              0.0096783,              0.0096783,              0.0096783
