                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.732,                 7.7575,                 4.0245,                0.84961,                0.05583,                0.03552,                 0.0108,                 3.6257,                 8.3145,                 3.3752,              0.0033173,              0.0033173,              0.0033173
                      2,                 3.2008,                 4.8423,                 2.7024,                0.87451,                 0.1125,                0.07557,                0.03266,                 3.1231,                 8.9349,                 2.3098,              0.0066342,              0.0066342,              0.0066342
                      3,                  2.966,                 3.7515,                 2.1921,                 0.8857,                0.11371,                0.08887,                0.03937,                 3.2506,                 6.8784,                  2.192,              0.0099346,              0.0099346,              0.0099346
                      4,                 2.9495,                 3.1866,                 1.9651,                 0.9024,                 0.1125,                0.10801,                0.04027,                 3.2056,                 4.6347,                 1.9751,              0.0099258,              0.0099258,              0.0099258
                      5,                 2.9199,                 2.8853,                 1.8521,                0.29024,                0.11929,                0.07598,                0.03373,                 3.3124,                 3.7761,                 1.9219,              0.0099258,              0.0099258,              0.0099258
                      6,                 2.8049,                 2.6446,                 1.7597,                0.74013,                0.18858,                  0.151,                0.06867,                 2.8866,                  2.647,                 1.7416,               0.009901,               0.009901,               0.009901
                      7,                  2.745,                 2.5433,                 1.7139,                0.72755,                0.18534,                0.14206,                0.06387,                 2.8544,                 2.6108,                 1.6964,              0.0098763,              0.0098763,              0.0098763
                      8,                 2.7134,                 2.4334,                 1.6882,                0.81422,                0.19148,                0.18062,                0.08257,                  2.775,                 2.4346,                 1.6676,              0.0098515,              0.0098515,              0.0098515
                      9,                 2.6614,                 2.3351,                 1.6697,                0.24954,                0.25377,                0.18295,                0.08033,                 2.7458,                 2.3429,                 1.6502,              0.0098268,              0.0098268,              0.0098268
                     10,                 2.5798,                 2.2609,                 1.6414,                0.19652,                0.24602,                 0.1892,                0.08101,                 2.7594,                 2.3128,                 1.6266,               0.009802,               0.009802,               0.009802
                     11,                  2.565,                  2.209,                 1.6131,                0.26967,                0.28654,                 0.2119,                0.09479,                 2.7079,                 2.2558,                 1.5995,              0.0097773,              0.0097773,              0.0097773
                     12,                  2.537,                 2.1051,                  1.603,                0.30752,                0.23821,                0.20592,                0.08977,                 2.6556,                 2.2567,                 1.5817,              0.0097525,              0.0097525,              0.0097525
                     13,                  2.491,                 2.0126,                 1.5671,                0.27818,                0.32325,                0.26105,                0.10761,                 2.6258,                 2.0644,                 1.5729,              0.0097278,              0.0097278,              0.0097278
                     14,                 2.4489,                 1.9875,                 1.5508,                0.29933,                0.35621,                0.26393,                0.11379,                 2.5189,                 2.1614,                 1.5336,               0.009703,               0.009703,               0.009703
                     15,                 2.4138,                 1.8985,                 1.5275,                0.22385,                0.35367,                 0.2752,                0.12602,                 2.5404,                 2.1615,                 1.5234,              0.0096783,              0.0096783,              0.0096783
                     16,                 2.4071,                 1.8673,                 1.5246,                0.34488,                0.35961,                0.30619,                0.13274,                 2.5406,                 1.8677,                 1.5424,              0.0096535,              0.0096535,              0.0096535
                     17,                 2.3732,                 1.8138,                 1.5055,                0.39841,                0.35065,                0.31605,                0.13284,                 2.4982,                 1.8203,                 1.5134,              0.0096288,              0.0096288,              0.0096288
                     18,                 2.3531,                 1.7915,                 1.4959,                0.36373,                0.40678,                0.33621,                 0.1451,                  2.449,                 1.8024,                 1.4826,               0.009604,               0.009604,               0.009604
                     19,                 2.3213,                 1.7373,                 1.4788,                0.37192,                 0.4145,                0.33433,                0.14755,                  2.419,                 1.7535,                 1.4841,              0.0095793,              0.0095793,              0.0095793
                     20,                 2.3035,                 1.7019,                 1.4784,                0.42627,                0.42136,                0.36297,                0.15952,                 2.4109,                 1.7405,                 1.4738,              0.0095545,              0.0095545,              0.0095545
                     21,                 2.3032,                 1.6728,                  1.452,                0.42162,                0.40947,                0.36033,                0.15657,                 2.4285,                 1.6568,                 1.4949,              0.0095298,              0.0095298,              0.0095298
                     22,                 2.2791,                 1.6247,                 1.4633,                0.51317,                0.40592,                0.39726,                0.17689,                 2.3315,                 1.6485,                 1.4303,               0.009505,               0.009505,               0.009505
                     23,                 2.2535,                 1.5969,                 1.4449,                0.49102,                0.43286,                0.41868,                0.17705,                 2.3224,                 1.6152,                 1.4435,              0.0094803,              0.0094803,              0.0094803
                     24,                 2.2313,                 1.5547,                 1.4177,                0.44009,                0.43962,                 0.4076,                0.18234,                 2.3033,                 1.5718,                 1.4199,              0.0094555,              0.0094555,              0.0094555
                     25,                 2.1925,                 1.5335,                 1.4108,                0.51093,                0.44332,                0.43358,                0.18982,                  2.273,                 1.4963,                 1.4123,              0.0094307,              0.0094307,              0.0094307
                     26,                 2.1801,                 1.4952,                 1.3968,                0.50039,                0.44795,                0.43494,                0.19047,                 2.2643,                 1.4948,                 1.4219,               0.009406,               0.009406,               0.009406
                     27,                 2.1792,                 1.4828,                  1.408,                 0.5013,                0.46986,                0.44249,                0.18479,                 2.3019,                 1.4527,                 1.4196,              0.0093813,              0.0093813,              0.0093813
                     28,                 2.1679,                 1.4421,                 1.3945,                0.55667,                0.45551,                0.45371,                0.20198,                 2.2819,                 1.4142,                 1.4122,              0.0093565,              0.0093565,              0.0093565
                     29,                 2.1228,                 1.4163,                 1.3765,                0.57749,                0.44074,                 0.4299,                0.19779,                 2.2659,                 1.4708,                 1.4248,              0.0093317,              0.0093317,              0.0093317
                     30,                  2.099,                 1.3864,                  1.375,                 0.5548,                0.48195,                0.46808,                 0.2072,                 2.1907,                 1.4177,                 1.3787,               0.009307,               0.009307,               0.009307
                     31,                 2.1118,                 1.4079,                 1.3697,                0.62787,                0.46277,                0.49201,                0.22933,                 2.1471,                 1.3073,                 1.3642,              0.0092823,              0.0092823,              0.0092823
                     32,                 2.1005,                 1.3601,                 1.3686,                0.55678,                0.48333,                0.49278,                0.21793,                 2.1578,                  1.377,                 1.3664,              0.0092575,              0.0092575,              0.0092575
                     33,                 2.0796,                 1.3443,                 1.3494,                0.61726,                0.50792,                0.50016,                 0.2331,                 2.1283,                  1.307,                 1.3643,              0.0092327,              0.0092327,              0.0092327
                     34,                 2.0688,                 1.3386,                 1.3696,                 0.5937,                0.47759,                 0.4858,                0.21625,                 2.2041,                 1.3908,                  1.378,               0.009208,               0.009208,               0.009208
                     35,                 2.0546,                 1.3142,                 1.3539,                0.57284,                0.47206,                0.50099,                 0.2303,                 2.1335,                 1.3904,                 1.3484,              0.0091833,              0.0091833,              0.0091833
                     36,                 2.0325,                 1.2887,                 1.3468,                0.60669,                0.50704,                0.51624,                0.22999,                 2.1285,                 1.2941,                 1.3545,              0.0091585,              0.0091585,              0.0091585
                     37,                 2.0115,                 1.2685,                  1.333,                0.62955,                0.51993,                0.53889,                0.24634,                 2.1295,                 1.2639,                 1.3266,              0.0091337,              0.0091337,              0.0091337
                     38,                 2.0039,                  1.248,                 1.3192,                0.63752,                0.49728,                0.51747,                0.23448,                 2.1268,                 1.2935,                 1.3579,               0.009109,               0.009109,               0.009109
                     39,                 2.0065,                 1.2632,                 1.3175,                0.64068,                0.51205,                0.54507,                0.24623,                 2.1415,                 1.2842,                 1.3367,              0.0090843,              0.0090843,              0.0090843
                     40,                  1.991,                 1.2203,                 1.3233,                0.56776,                0.48221,                0.49565,                 0.2179,                 2.1503,                 1.3604,                 1.3651,              0.0090595,              0.0090595,              0.0090595
                     41,                 1.9968,                 1.2271,                 1.3142,                0.62694,                0.53465,                 0.5548,                 0.2594,                 2.0297,                 1.1863,                  1.308,              0.0090347,              0.0090347,              0.0090347
                     42,                 1.9841,                 1.2028,                 1.3156,                 0.6407,                0.54124,                0.56072,                0.26222,                 2.0148,                 1.1978,                 1.3134,                0.00901,                0.00901,                0.00901
                     43,                 1.9421,                 1.1905,                  1.302,                0.67241,                0.53288,                0.57781,                0.27978,                 1.9888,                  1.175,                  1.276,              0.0089853,              0.0089853,              0.0089853
                     44,                 1.9206,                 1.1625,                 1.2955,                0.64345,                0.55578,                0.57505,                0.26355,                  2.015,                 1.1641,                  1.294,              0.0089605,              0.0089605,              0.0089605
                     45,                 1.9348,                 1.1884,                 1.2896,                0.67963,                 0.5371,                0.57453,                0.26737,                 2.0468,                 1.2031,                 1.3091,              0.0089358,              0.0089358,              0.0089358
                     46,                 1.9335,                 1.1842,                 1.2855,                0.68884,                0.54424,                0.59078,                0.28907,                 1.9365,                 1.1388,                 1.2626,               0.008911,               0.008911,               0.008911
                     47,                 1.9123,                 1.1444,                 1.2921,                0.69028,                0.55375,                0.59414,                0.27134,                 2.0111,                 1.1369,                 1.2785,              0.0088863,              0.0088863,              0.0088863
