                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6985,                 6.2749,                 4.1482,                0.60991,                 0.0325,                0.00495,                0.00133,                 3.7043,                 6.1048,                 3.9336,              0.0033173,              0.0033173,              0.0033173
                      2,                 3.4788,                 5.1679,                 3.4992,                0.63061,                 0.0625,                0.02352,                 0.0077,                 3.5795,                 10.144,                  3.112,              0.0066342,              0.0066342,              0.0066342
                      3,                 3.3232,                 4.5202,                 2.8428,                0.86674,                0.12896,                0.09387,                0.04255,                 3.3135,                 10.977,                 2.6895,              0.0099346,              0.0099346,              0.0099346
                      4,                 3.1041,                 3.9301,                 2.5795,                0.93168,                0.12583,                 0.1299,                0.05841,                 3.0272,                 3.7085,                 2.4034,              0.0099258,              0.0099258,              0.0099258
                      5,                 3.0122,                 3.5319,                 2.4251,                 0.8796,                 0.1325,                 0.0913,                0.03657,                 3.0034,                  3.414,                 2.3858,              0.0099258,              0.0099258,              0.0099258
                      6,                 2.8721,                 3.3064,                 2.3036,                0.53339,                0.18125,                0.14129,                0.05905,                 2.8258,                 3.4359,                  2.198,               0.009901,               0.009901,               0.009901
                      7,                 2.8094,                 3.1823,                 2.2316,                0.12614,                0.21019,                0.13511,                0.05779,                  2.797,                 2.9922,                 2.2116,              0.0098763,              0.0098763,              0.0098763
                      8,                 2.7648,                 3.0658,                  2.173,                0.81656,                0.14297,                0.15192,                 0.0682,                 2.7323,                 2.9173,                 2.1479,              0.0098515,              0.0098515,              0.0098515
                      9,                 2.7083,                 2.9373,                 2.1527,                0.20456,                0.24254,                0.14847,                0.06382,                  2.677,                 2.7916,                 2.0815,              0.0098268,              0.0098268,              0.0098268
                     10,                 2.6515,                 2.8635,                 2.0982,                0.44917,                0.22032,                0.19183,                0.09011,                 2.6421,                 2.7494,                 2.0184,               0.009802,               0.009802,               0.009802
                     11,                 2.6301,                 2.7631,                 2.0739,                 0.4536,                0.22336,                0.21337,                0.09349,                 2.6069,                 2.5878,                 1.9895,              0.0097773,              0.0097773,              0.0097773
                     12,                 2.6133,                  2.713,                 2.0692,                0.20728,                0.29798,                0.17544,                0.07398,                 2.6318,                 2.6721,                 1.9738,              0.0097525,              0.0097525,              0.0097525
                     13,                 2.5777,                 2.6105,                 2.0195,                0.31135,                0.29385,                0.22374,                0.09583,                 2.6015,                 2.4911,                 1.9876,              0.0097278,              0.0097278,              0.0097278
                     14,                  2.549,                 2.5688,                 2.0168,                0.21831,                0.35545,                0.23967,                0.10515,                  2.497,                 2.4605,                  1.936,               0.009703,               0.009703,               0.009703
                     15,                 2.5253,                 2.4875,                 1.9706,                0.30942,                0.31754,                0.24772,                0.10401,                 2.5104,                 2.3734,                 1.9486,              0.0096783,              0.0096783,              0.0096783
                     16,                  2.506,                 2.4637,                 1.9645,                 0.2655,                0.35404,                0.27964,                 0.1217,                 2.4929,                 2.3461,                 1.8854,              0.0096535,              0.0096535,              0.0096535
                     17,                 2.4901,                 2.3966,                 1.9329,                0.33866,                0.32477,                0.27882,                0.12246,                 2.5181,                 2.3418,                 1.9014,              0.0096288,              0.0096288,              0.0096288
                     18,                 2.4662,                 2.3698,                 1.9183,                0.32191,                0.30489,                0.26726,                0.11565,                 2.4723,                 2.2403,                 1.8515,               0.009604,               0.009604,               0.009604
                     19,                 2.4378,                 2.3215,                 1.8974,                0.34019,                0.36879,                0.31223,                0.13414,                 2.4583,                 2.1381,                 1.8359,              0.0095793,              0.0095793,              0.0095793
                     20,                 2.4413,                 2.2984,                 1.8968,                0.26599,                0.39056,                0.29772,                0.12452,                 2.4387,                  2.256,                 1.8689,              0.0095545,              0.0095545,              0.0095545
                     21,                 2.4247,                 2.2587,                 1.8625,                0.34697,                0.36972,                 0.3043,                 0.1325,                 2.4384,                 2.1966,                 1.8452,              0.0095298,              0.0095298,              0.0095298
                     22,                   2.41,                 2.2224,                 1.8784,                0.31521,                0.41502,                0.33814,                0.13913,                 2.4107,                  2.119,                 1.7888,               0.009505,               0.009505,               0.009505
                     23,                 2.3893,                 2.1702,                 1.8416,                0.37702,                0.39915,                0.35927,                0.15718,                 2.3805,                 2.0364,                 1.8167,              0.0094803,              0.0094803,              0.0094803
                     24,                 2.3677,                 2.1565,                 1.8162,                0.38078,                0.38038,                0.34122,                0.14448,                 2.3896,                 2.1355,                 1.7868,              0.0094555,              0.0094555,              0.0094555
                     25,                  2.342,                 2.1038,                 1.8131,                0.39537,                0.41708,                0.36717,                0.15242,                 2.3808,                 2.0726,                 1.8047,              0.0094307,              0.0094307,              0.0094307
                     26,                 2.3471,                 2.0736,                  1.807,                0.40541,                0.40136,                0.37429,                0.16026,                 2.3689,                 1.9831,                 1.7713,               0.009406,               0.009406,               0.009406
                     27,                 2.3253,                 2.0619,                 1.7943,                0.44631,                 0.4315,                0.40515,                0.16779,                 2.3036,                 1.8905,                 1.7274,              0.0093813,              0.0093813,              0.0093813
                     28,                 2.3124,                 2.0173,                 1.7831,                0.35641,                 0.4566,                0.42272,                0.18672,                 2.2562,                 2.0928,                 1.7139,              0.0093565,              0.0093565,              0.0093565
                     29,                 2.2856,                  2.006,                 1.7681,                0.42417,                0.46334,                0.42135,                0.18049,                 2.2769,                  1.847,                  1.726,              0.0093317,              0.0093317,              0.0093317
                     30,                 2.2624,                 1.9552,                 1.7541,                0.45407,                 0.4496,                0.42911,                0.18835,                 2.2715,                 1.8145,                 1.7145,               0.009307,               0.009307,               0.009307
                     31,                 2.2765,                 1.9607,                 1.7494,                0.45936,                0.47256,                0.43409,                0.19079,                 2.2842,                 1.8524,                 1.6908,              0.0092823,              0.0092823,              0.0092823
                     32,                 2.2597,                  1.939,                 1.7514,                0.45279,                0.45033,                0.43763,                0.18399,                 2.2618,                 1.8365,                 1.6946,              0.0092575,              0.0092575,              0.0092575
                     33,                 2.2558,                 1.9086,                 1.7295,                0.47881,                0.46859,                0.45411,                0.20339,                 2.2195,                 1.7962,                 1.6864,              0.0092327,              0.0092327,              0.0092327
                     34,                 2.2398,                 1.9114,                 1.7453,                0.47896,                 0.4654,                0.45323,                 0.1993,                 2.2334,                 1.8539,                 1.6872,               0.009208,               0.009208,               0.009208
                     35,                  2.217,                 1.8538,                 1.7026,                 0.4572,                0.45953,                0.46087,                0.20118,                 2.2195,                 1.8686,                 1.6636,              0.0091833,              0.0091833,              0.0091833
                     36,                 2.2061,                 1.8354,                 1.7152,                0.51663,                0.47505,                0.47379,                 0.2009,                 2.2569,                 1.7998,                 1.6945,              0.0091585,              0.0091585,              0.0091585
                     37,                 2.1859,                 1.8122,                 1.6914,                0.52532,                0.50398,                0.49328,                0.22261,                 2.1896,                  1.723,                 1.6388,              0.0091337,              0.0091337,              0.0091337
                     38,                 2.1953,                  1.796,                 1.6807,                0.54372,                0.49252,                0.49418,                0.22089,                 2.1837,                 1.6747,                 1.6547,               0.009109,               0.009109,               0.009109
                     39,                 2.1915,                 1.8304,                 1.6775,                0.52477,                0.49948,                0.49293,                0.22121,                 2.1945,                  1.684,                 1.6324,              0.0090843,              0.0090843,              0.0090843
                     40,                 2.1747,                 1.7713,                 1.6824,                0.51639,                0.49943,                0.51413,                0.22697,                 2.1606,                 1.6971,                 1.6203,              0.0090595,              0.0090595,              0.0090595
                     41,                 2.1706,                  1.767,                 1.6713,                0.53602,                0.50754,                0.50902,                0.23638,                 2.1335,                 1.6343,                 1.6212,              0.0090347,              0.0090347,              0.0090347
                     42,                 2.1508,                 1.7457,                 1.6591,                0.56849,                0.51028,                0.51857,                0.23408,                   2.14,                 1.6233,                 1.6028,                0.00901,                0.00901,                0.00901
                     43,                 2.1446,                 1.7349,                 1.6618,                0.57608,                0.49664,                0.52398,                0.24196,                 2.1384,                 1.6118,                 1.5879,              0.0089853,              0.0089853,              0.0089853
                     44,                 2.1185,                 1.7027,                 1.6481,                  0.517,                0.51504,                0.53657,                0.24524,                 2.1056,                 1.5877,                 1.5725,              0.0089605,              0.0089605,              0.0089605
                     45,                 2.1264,                 1.7172,                 1.6383,                0.58329,                 0.5334,                 0.5432,                0.24248,                 2.1007,                 1.5556,                 1.5777,              0.0089358,              0.0089358,              0.0089358
                     46,                 2.1125,                 1.6989,                 1.6306,                0.58022,                0.54071,                0.55218,                0.24826,                 2.0956,                 1.5623,                 1.5702,               0.008911,               0.008911,               0.008911
                     47,                 2.1034,                 1.6631,                 1.6296,                0.56836,                0.52111,                0.54479,                0.24428,                 2.0732,                  1.571,                  1.574,              0.0088863,              0.0088863,              0.0088863
                     48,                 2.0962,                 1.6384,                 1.6198,                0.57803,                0.49989,                0.53136,                 0.2259,                 2.1419,                 1.6231,                 1.5924,              0.0088615,              0.0088615,              0.0088615
                     49,                 2.0972,                 1.6333,                 1.6126,                0.59147,                0.53114,                0.57208,                0.25913,                 2.0606,                 1.4928,                 1.5555,              0.0088368,              0.0088368,              0.0088368
                     50,                 2.0837,                 1.6248,                 1.5941,                0.59641,                0.55077,                 0.5665,                0.26569,                 2.0408,                 1.5498,                 1.5444,               0.008812,               0.008812,               0.008812
                     51,                 2.0678,                  1.601,                 1.5903,                0.56739,                0.54933,                0.56331,                0.26291,                 2.0707,                 1.5288,                 1.5479,              0.0087872,              0.0087872,              0.0087872
