                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7304,                 6.2157,                 4.1453,                0.40488,                0.02417,                0.00217,                0.00067,                 3.7731,                 21.511,                 4.1915,              0.0033173,              0.0033173,              0.0033173
                      2,                 3.4967,                 5.0844,                  3.452,                0.84685,                0.05917,                0.04028,                 0.0135,                 3.4236,                 4.6837,                 3.1841,              0.0066342,              0.0066342,              0.0066342
                      3,                 3.3407,                 4.4832,                 2.8725,                0.83315,                0.15083,                0.03454,                0.01579,                 3.3135,                 12.255,                 2.6138,              0.0099346,              0.0099346,              0.0099346
                      4,                 3.0957,                 3.9285,                 2.6063,                0.87506,                   0.12,                0.08746,                0.03282,                 3.0217,                 4.4217,                  2.501,              0.0099258,              0.0099258,              0.0099258
                      5,                 3.0083,                 3.5894,                  2.476,                0.48279,                0.13539,                0.08895,                 0.0384,                 3.1206,                 3.7084,                 2.4486,              0.0099258,              0.0099258,              0.0099258
                      6,                 2.9051,                 3.3449,                 2.3677,                 0.3184,                0.16837,                0.11774,                0.05558,                 2.9929,                 3.6645,                 2.2804,               0.009901,               0.009901,               0.009901
                      7,                 2.8314,                 3.2136,                 2.2796,                 0.3319,                0.19703,                0.12448,                0.05631,                 2.8247,                 3.0267,                 2.2349,              0.0098763,              0.0098763,              0.0098763
                      8,                 2.7907,                 3.0795,                 2.2311,                0.10629,                 0.2288,                0.11915,                0.05041,                 2.7626,                 2.8348,                 2.2153,              0.0098515,              0.0098515,              0.0098515
                      9,                 2.7201,                 2.9916,                  2.197,                0.35046,                0.22995,                0.15511,                0.06855,                  2.674,                 2.7789,                 2.1337,              0.0098268,              0.0098268,              0.0098268
                     10,                 2.6569,                 2.8587,                 2.1645,                0.23999,                0.19892,                0.14002,                0.06351,                 2.7009,                 2.9472,                 2.1604,               0.009802,               0.009802,               0.009802
                     11,                 2.6327,                 2.7838,                 2.1386,                0.49253,                0.18335,                 0.1639,                0.07221,                 2.6668,                 2.7003,                 2.0814,              0.0097773,              0.0097773,              0.0097773
                     12,                 2.6217,                 2.7267,                 2.1339,                 0.2155,                0.26645,                 0.1782,                0.07942,                 2.6025,                 2.5571,                 2.0433,              0.0097525,              0.0097525,              0.0097525
                     13,                 2.5817,                 2.6441,                 2.0932,                0.22787,                 0.3223,                0.20729,                0.08875,                 2.5494,                 2.5775,                 2.0673,              0.0097278,              0.0097278,              0.0097278
                     14,                 2.5473,                 2.6061,                 2.0853,                0.27947,                0.27456,                0.20944,                0.09679,                 2.5344,                 2.4728,                 2.0291,               0.009703,               0.009703,               0.009703
                     15,                 2.5234,                 2.5276,                 2.0419,                0.23418,                0.25042,                0.18595,                0.08197,                 2.7222,                 2.7235,                 2.1092,              0.0096783,              0.0096783,              0.0096783
                     16,                 2.5167,                 2.4979,                 2.0511,                 0.3061,                0.32537,                0.24422,                0.10812,                 2.5168,                 2.3442,                 1.9924,              0.0096535,              0.0096535,              0.0096535
                     17,                 2.4906,                 2.4342,                  2.016,                0.29064,                0.34609,                0.25904,                0.11121,                 2.4752,                 2.3411,                 1.9792,              0.0096288,              0.0096288,              0.0096288
                     18,                 2.4632,                 2.3967,                 1.9949,                0.31815,                0.36931,                0.26177,                0.11098,                 2.4524,                 2.2487,                 1.9713,               0.009604,               0.009604,               0.009604
                     19,                  2.462,                 2.3537,                 1.9946,                0.33566,                0.33486,                0.26878,                0.12012,                 2.4539,                 2.2429,                 1.9794,              0.0095793,              0.0095793,              0.0095793
                     20,                 2.4488,                 2.3119,                 1.9889,                0.27298,                0.39325,                0.30187,                0.12976,                 2.4021,                 2.3466,                 1.9799,              0.0095545,              0.0095545,              0.0095545
                     21,                 2.4344,                 2.3127,                 1.9598,                 0.3557,                0.37147,                0.29909,                0.12413,                 2.4437,                 2.1663,                 1.9318,              0.0095298,              0.0095298,              0.0095298
                     22,                 2.4161,                 2.2527,                 1.9654,                0.38462,                0.36546,                0.32423,                0.14394,                 2.3951,                 2.0984,                 1.9405,               0.009505,               0.009505,               0.009505
                     23,                 2.3924,                 2.2015,                 1.9236,                0.38319,                 0.3866,                 0.3147,                0.13365,                 2.4036,                 2.1265,                 1.8956,              0.0094803,              0.0094803,              0.0094803
                     24,                  2.375,                 2.1755,                 1.9189,                0.37401,                0.39627,                 0.3513,                0.15264,                 2.3658,                  2.164,                 1.8862,              0.0094555,              0.0094555,              0.0094555
                     25,                 2.3491,                 2.1422,                 1.9081,                 0.3984,                0.39422,                0.34755,                0.13943,                 2.3845,                 2.0366,                 1.9347,              0.0094307,              0.0094307,              0.0094307
                     26,                   2.35,                  2.103,                 1.8925,                0.34961,                0.42967,                0.34804,                0.15465,                 2.3485,                 2.0014,                 1.8887,               0.009406,               0.009406,               0.009406
                     27,                 2.3466,                 2.0736,                 1.8988,                 0.3874,                0.43035,                0.36246,                0.15623,                 2.3092,                 1.9925,                 1.8661,              0.0093813,              0.0093813,              0.0093813
                     28,                 2.3147,                 2.0408,                 1.8665,                0.38443,                0.41156,                0.34528,                0.15391,                 2.4054,                 2.0918,                 1.8724,              0.0093565,              0.0093565,              0.0093565
                     29,                 2.3011,                 2.0265,                 1.8554,                0.38144,                0.43807,                0.37749,                0.16184,                 2.3332,                 1.9188,                 1.8796,              0.0093317,              0.0093317,              0.0093317
                     30,                 2.2745,                 1.9787,                 1.8497,                0.40554,                0.41664,                0.39322,                0.16848,                 2.2734,                 1.9383,                  1.833,               0.009307,               0.009307,               0.009307
                     31,                 2.2963,                 1.9909,                 1.8525,                0.41912,                0.45994,                 0.3718,                0.16535,                 2.2811,                 1.9067,                 1.8291,              0.0092823,              0.0092823,              0.0092823
                     32,                 2.2792,                 1.9531,                 1.8444,                0.36968,                0.49183,                   0.41,                0.18324,                 2.2529,                 1.8563,                 1.8079,              0.0092575,              0.0092575,              0.0092575
                     33,                 2.2716,                 1.9338,                 1.8317,                0.42657,                0.45766,                0.41596,                  0.181,                 2.2375,                 1.8664,                 1.8325,              0.0092327,              0.0092327,              0.0092327
                     34,                 2.2385,                 1.9209,                 1.8359,                0.45114,                0.45687,                0.42495,                0.18327,                 2.2612,                 1.9045,                 1.8026,               0.009208,               0.009208,               0.009208
                     35,                 2.2275,                 1.8895,                 1.8098,                0.39319,                0.45875,                0.42359,                0.19304,                 2.2018,                  1.938,                 1.7831,              0.0091833,              0.0091833,              0.0091833
                     36,                 2.2102,                 1.8603,                 1.8072,                0.47226,                0.49422,                0.45987,                0.19829,                 2.2212,                 1.7432,                 1.7846,              0.0091585,              0.0091585,              0.0091585
                     37,                  2.214,                 1.8383,                 1.7975,                0.44227,                0.49482,                0.42984,                0.19313,                  2.238,                 1.8586,                  1.775,              0.0091337,              0.0091337,              0.0091337
                     38,                 2.2171,                 1.8245,                 1.7759,                0.49847,                 0.4998,                0.47331,                0.21319,                 2.1846,                  1.704,                 1.7339,               0.009109,               0.009109,               0.009109
                     39,                 2.2012,                 1.8358,                  1.772,                0.50004,                0.45086,                0.46072,                0.21264,                 2.1733,                 1.7051,                 1.7348,              0.0090843,              0.0090843,              0.0090843
                     40,                 2.1849,                 1.8014,                 1.7644,                0.47155,                0.47502,                0.45377,                0.20331,                 2.1946,                  1.768,                 1.7424,              0.0090595,              0.0090595,              0.0090595
                     41,                 2.1769,                 1.7869,                 1.7624,                0.50701,                0.51129,                0.47889,                0.21522,                 2.1457,                 1.6545,                   1.72,              0.0090347,              0.0090347,              0.0090347
                     42,                 2.1713,                 1.7557,                 1.7558,                0.53402,                0.50142,                0.47407,                0.21119,                 2.2085,                 1.6982,                 1.7653,                0.00901,                0.00901,                0.00901
                     43,                 2.1632,                 1.7684,                 1.7523,                0.55134,                0.48478,                0.48267,                  0.215,                 2.1857,                 1.6954,                 1.7234,              0.0089853,              0.0089853,              0.0089853
                     44,                 2.1396,                  1.728,                 1.7461,                0.51842,                0.49933,                0.49952,                0.22675,                 2.1237,                 1.6925,                 1.6943,              0.0089605,              0.0089605,              0.0089605
                     45,                 2.1407,                 1.7326,                 1.7348,                0.54366,                0.50536,                0.50129,                0.22813,                  2.117,                 1.6427,                 1.7133,              0.0089358,              0.0089358,              0.0089358
