                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7475,                 6.3695,                 4.1516,                  1e-05,                0.00083,                  1e-05,                      0,                 3.7406,                 6.9601,                 4.0336,              0.0033173,              0.0033173,              0.0033173
                      2,                 3.5806,                 5.6732,                 3.6925,                0.00113,                0.09085,                0.00087,                0.00024,                  3.969,                    inf,                 4.3738,              0.0066342,              0.0066342,              0.0066342
                      3,                 3.4067,                 4.7292,                 3.0035,                0.45376,                0.13204,                0.05676,                0.02325,                  3.314,                  7.362,                 2.6521,              0.0099346,              0.0099346,              0.0099346
                      4,                 3.1565,                 4.0209,                 2.6229,                0.47398,                0.12407,                0.07817,                0.03444,                 3.0932,                 3.9797,                 2.4108,              0.0099258,              0.0099258,              0.0099258
                      5,                 3.0703,                 3.6189,                 2.4586,                 0.4926,                0.13134,                0.08083,                0.03734,                 3.0234,                 3.7102,                 2.4226,              0.0099258,              0.0099258,              0.0099258
                      6,                 2.9175,                 3.3458,                 2.3327,                0.91449,                0.14058,                0.13013,                0.05613,                 2.8691,                 3.5694,                 2.2553,               0.009901,               0.009901,               0.009901
                      7,                  2.839,                 3.1808,                 2.2516,                0.30967,                0.20506,                0.09997,                0.04433,                 2.8629,                  3.114,                 2.2668,              0.0098763,              0.0098763,              0.0098763
                      8,                 2.7945,                 3.0461,                 2.2067,                0.16994,                0.22286,                0.15872,                 0.0693,                  2.737,                  2.853,                 2.1679,              0.0098515,              0.0098515,              0.0098515
                      9,                 2.7303,                  2.953,                 2.1914,                0.37889,                0.21877,                0.16664,                0.07757,                 2.6836,                 2.9248,                 2.1137,              0.0098268,              0.0098268,              0.0098268
                     10,                 2.6783,                 2.8455,                 2.1518,                 0.2774,                0.23022,                 0.1861,                0.07934,                  2.672,                 2.7094,                 2.0735,               0.009802,               0.009802,               0.009802
                     11,                 2.6507,                  2.793,                 2.1173,                 0.3163,                0.28153,                0.22169,                0.09307,                 2.6282,                 2.6319,                 2.0596,              0.0097773,              0.0097773,              0.0097773
                     12,                 2.6248,                 2.7031,                 2.1197,                0.40641,                0.27407,                 0.2023,                0.08659,                 2.6536,                 2.6251,                 2.0634,              0.0097525,              0.0097525,              0.0097525
                     13,                 2.5992,                 2.6275,                 2.0763,                0.34454,                 0.2961,                0.24023,                  0.104,                 2.5875,                 2.5953,                 2.0279,              0.0097278,              0.0097278,              0.0097278
                     14,                 2.5493,                 2.5951,                 2.0666,                0.28386,                0.34296,                0.22717,                0.09416,                  2.546,                 2.5618,                 1.9837,               0.009703,               0.009703,               0.009703
                     15,                 2.5354,                  2.513,                 2.0231,                0.37725,                0.31982,                0.25007,                0.10371,                 2.5817,                 2.4639,                 1.9962,              0.0096783,              0.0096783,              0.0096783
                     16,                 2.5181,                 2.5015,                 2.0187,                0.38831,                0.27364,                0.27029,                0.11706,                 2.5281,                 2.3735,                 1.9286,              0.0096535,              0.0096535,              0.0096535
                     17,                 2.5023,                 2.4378,                 1.9964,                0.37002,                0.32875,                0.28338,                 0.1222,                 2.4981,                 2.3133,                  1.942,              0.0096288,              0.0096288,              0.0096288
                     18,                 2.4851,                 2.4187,                 1.9818,                0.34395,                 0.3507,                0.29124,                0.12111,                 2.4735,                 2.3762,                 1.9128,               0.009604,               0.009604,               0.009604
                     19,                 2.4562,                 2.3694,                 1.9483,                0.31288,                0.38066,                0.28932,                 0.1199,                 2.4996,                 2.3088,                 1.9158,              0.0095793,              0.0095793,              0.0095793
                     20,                 2.4713,                 2.3456,                 1.9623,                0.35024,                 0.3797,                0.31772,                0.13177,                 2.4528,                 2.3501,                 1.9141,              0.0095545,              0.0095545,              0.0095545
                     21,                 2.4374,                 2.3356,                 1.9147,                0.37013,                0.37074,                0.33282,                0.13785,                 2.3886,                 2.1736,                 1.8774,              0.0095298,              0.0095298,              0.0095298
                     22,                 2.4358,                 2.2798,                 1.9377,                0.43197,                0.37618,                 0.3532,                0.14783,                 2.4237,                 2.1525,                 1.8667,               0.009505,               0.009505,               0.009505
                     23,                 2.4085,                 2.2531,                 1.9159,                0.37298,                0.38151,                0.32328,                0.13704,                 2.4125,                  2.232,                 1.8774,              0.0094803,              0.0094803,              0.0094803
                     24,                 2.3971,                 2.2155,                  1.888,                0.43985,                0.36596,                0.36059,                0.15765,                 2.3199,                 2.2155,                 1.8206,              0.0094555,              0.0094555,              0.0094555
                     25,                 2.3633,                  2.188,                 1.8759,                0.43153,                0.40556,                0.36404,                0.15326,                 2.3925,                 2.1043,                 1.8454,              0.0094307,              0.0094307,              0.0094307
                     26,                 2.3664,                 2.1426,                 1.8692,                0.46447,                0.41669,                0.38041,                0.16069,                  2.372,                 1.9748,                 1.8027,               0.009406,               0.009406,               0.009406
                     27,                 2.3652,                 2.1168,                  1.858,                0.43395,                0.39397,                0.37959,                 0.1634,                 2.3589,                 2.0602,                 1.8206,              0.0093813,              0.0093813,              0.0093813
                     28,                 2.3459,                 2.0761,                 1.8427,                0.47411,                 0.4087,                0.37992,                0.16523,                 2.3162,                 1.9552,                 1.7933,              0.0093565,              0.0093565,              0.0093565
                     29,                 2.3265,                 2.0596,                  1.824,                0.39051,                0.43792,                0.39648,                0.16683,                 2.3615,                  1.996,                   1.82,              0.0093317,              0.0093317,              0.0093317
                     30,                 2.2966,                 2.0075,                 1.8152,                0.47214,                0.44709,                 0.4226,                 0.1834,                 2.2965,                 1.8491,                  1.781,               0.009307,               0.009307,               0.009307
                     31,                 2.3201,                  2.014,                 1.8186,                0.44729,                0.46114,                0.40731,                0.18094,                 2.3248,                 1.8413,                 1.7749,              0.0092823,              0.0092823,              0.0092823
                     32,                 2.3024,                 1.9835,                 1.8104,                0.43046,                0.43738,                0.41991,                0.18379,                 2.2915,                 1.8959,                 1.7568,              0.0092575,              0.0092575,              0.0092575
                     33,                 2.2933,                 1.9641,                 1.7903,                0.42904,                  0.448,                 0.4295,                0.18472,                 2.2764,                 1.8895,                 1.7653,              0.0092327,              0.0092327,              0.0092327
                     34,                 2.2818,                 1.9518,                 1.8025,                0.45785,                0.45628,                0.41537,                0.17987,                  2.292,                 1.8787,                  1.752,               0.009208,               0.009208,               0.009208
                     35,                 2.2558,                 1.9168,                 1.7656,                 0.4101,                0.46856,                0.44343,                 0.1981,                 2.2326,                 1.8849,                 1.7202,              0.0091833,              0.0091833,              0.0091833
                     36,                 2.2525,                 1.8956,                 1.7802,                0.48969,                 0.4578,                0.44067,                0.17598,                 2.3485,                  1.797,                   1.78,              0.0091585,              0.0091585,              0.0091585
                     37,                 2.2426,                 1.8701,                 1.7614,                0.50863,                 0.4622,                 0.4467,                0.19997,                 2.2506,                 1.7264,                 1.7187,              0.0091337,              0.0091337,              0.0091337
                     38,                 2.2407,                 1.8459,                 1.7431,                0.53465,                0.48833,                 0.4754,                0.20406,                 2.2258,                 1.7146,                 1.7122,               0.009109,               0.009109,               0.009109
                     39,                  2.248,                 1.8658,                 1.7486,                0.53988,                0.48548,                0.48049,                0.21174,                 2.1913,                 1.6913,                 1.6906,              0.0090843,              0.0090843,              0.0090843
                     40,                 2.2208,                 1.8123,                 1.7411,                0.53999,                0.47724,                0.47857,                0.22056,                 2.1495,                 1.6978,                 1.6625,              0.0090595,              0.0090595,              0.0090595
                     41,                  2.215,                 1.8247,                 1.7346,                0.51422,                0.49186,                 0.4778,                0.21039,                 2.1995,                 1.6855,                 1.6868,              0.0090347,              0.0090347,              0.0090347
