                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8041,                 6.3259,                 4.1717,                0.00035,                0.01633,                0.00019,                  4e-05,                 3.9322,                 6.5482,                 3.9307,              0.0033173,              0.0033173,              0.0033173
                      2,                 3.6365,                 5.3664,                 3.5733,                0.85425,                0.09833,                0.05399,                0.02047,                 3.5477,                 5.1551,                 3.2881,              0.0066342,              0.0066342,              0.0066342
                      3,                 3.3892,                 4.6495,                 2.9838,                0.84116,                 0.0825,                0.03989,                0.01413,                 3.3633,                  7.374,                 2.8495,              0.0099346,              0.0099346,              0.0099346
                      4,                 3.1977,                 3.9783,                 2.6373,                0.87388,                 0.1325,                0.08755,                 0.0389,                 3.1298,                 4.4765,                 2.4698,              0.0099258,              0.0099258,              0.0099258
                      5,                 3.0801,                 3.6031,                 2.4782,                0.68812,                0.14907,                0.09917,                0.04473,                 3.0914,                 3.3714,                 2.3547,              0.0099258,              0.0099258,              0.0099258
                      6,                 2.9508,                 3.3447,                 2.3495,                0.51887,                0.15671,                0.12347,                0.05766,                 2.9805,                 3.4209,                  2.324,               0.009901,               0.009901,               0.009901
                      7,                  2.876,                 3.1828,                 2.2748,                0.91959,                0.15417,                0.13685,                0.06046,                 2.7918,                 3.0323,                 2.2037,              0.0098763,              0.0098763,              0.0098763
                      8,                  2.828,                 3.0676,                 2.2258,                 0.3685,                0.20273,                0.14187,                0.05981,                 2.7735,                 3.0072,                   2.17,              0.0098515,              0.0098515,              0.0098515
                      9,                  2.769,                 2.9679,                 2.2021,                0.70947,                0.19145,                0.17523,                0.08286,                 2.7155,                 2.8264,                  2.107,              0.0098268,              0.0098268,              0.0098268
                     10,                 2.7314,                 2.8869,                 2.1754,                0.45555,                0.22491,                0.17287,                0.07667,                 2.6963,                 2.7975,                 2.0966,               0.009802,               0.009802,               0.009802
                     11,                  2.684,                 2.8443,                 2.1323,                   0.35,                0.25414,                0.20733,                0.08973,                 2.6894,                 2.6977,                 2.0496,              0.0097773,              0.0097773,              0.0097773
                     12,                 2.6591,                 2.7666,                 2.1136,                0.44372,                0.28322,                0.16635,                0.07234,                 2.7017,                 2.7118,                 2.0508,              0.0097525,              0.0097525,              0.0097525
                     13,                 2.6219,                 2.6773,                  2.075,                0.29451,                0.24577,                0.21578,                0.09602,                 2.7125,                 2.6595,                  2.065,              0.0097278,              0.0097278,              0.0097278
                     14,                  2.591,                 2.6777,                 2.0803,                 0.1963,                0.30973,                 0.1989,                0.08064,                 2.6278,                 2.7853,                 2.0227,               0.009703,               0.009703,               0.009703
                     15,                 2.5648,                 2.5753,                 2.0288,                0.26591,                0.29069,                0.21211,                0.09122,                 2.6435,                 2.5031,                 2.0296,              0.0096783,              0.0096783,              0.0096783
                     16,                 2.5496,                 2.5385,                 2.0343,                0.21791,                0.28253,                0.23476,                0.10833,                 2.5561,                 2.5335,                 1.9761,              0.0096535,              0.0096535,              0.0096535
                     17,                 2.5241,                 2.4926,                 1.9998,                0.31404,                0.31067,                0.25872,                0.10676,                 2.5585,                 2.4013,                 1.9311,              0.0096288,              0.0096288,              0.0096288
