                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8257,                 6.3789,                 4.1548,                  7e-05,                0.00563,                  4e-05,                  1e-05,                 3.5025,                 6.0245,                 3.8829,              0.0033173,              0.0033173,              0.0033173
                      2,                 3.4794,                 5.2532,                 3.5309,                0.85156,                0.07207,                 0.0401,                0.01656,                 3.4187,                  6.631,                  3.217,              0.0066342,              0.0066342,              0.0066342
                      3,                 3.3186,                 4.5543,                 2.9064,                0.89876,                0.12083,                0.08757,                0.03491,                 3.2724,                 4.0746,                 2.6105,              0.0099346,              0.0099346,              0.0099346
                      4,                 3.1803,                 3.9823,                 2.5944,                0.90753,                 0.1375,                0.11529,                0.05053,                 3.2027,                 4.6833,                 2.4411,              0.0099258,              0.0099258,              0.0099258
                      5,                 3.0669,                 3.6133,                 2.4299,                 0.5045,                0.15304,                0.10529,                0.04642,                 3.0821,                 3.3093,                 2.3519,              0.0099258,              0.0099258,              0.0099258
                      6,                 2.9062,                 3.3601,                 2.3042,                0.91546,                0.14667,                0.12566,                0.05681,                 2.9207,                 3.2489,                 2.1999,               0.009901,               0.009901,               0.009901
                      7,                  2.853,                 3.2178,                 2.2367,                0.90127,                0.15983,                0.12645,                0.05596,                 2.8693,                 3.1401,                 2.2423,              0.0098763,              0.0098763,              0.0098763
                      8,                 2.7927,                 3.0888,                 2.1653,                0.34758,                0.19671,                0.13785,                  0.063,                 2.9003,                 3.1491,                 2.1399,              0.0098515,              0.0098515,              0.0098515
                      9,                   2.73,                 2.9853,                 2.1299,                0.60806,                0.20438,                0.18378,                0.08209,                 2.6746,                 2.8147,                 2.0373,              0.0098268,              0.0098268,              0.0098268
                     10,                 2.6793,                  2.883,                 2.0859,                0.41411,                0.23201,                0.17538,                0.07728,                 2.6877,                 2.8128,                 2.0191,               0.009802,               0.009802,               0.009802
