                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7492,                  6.344,                 4.1677,                0.00013,                0.01031,                  7e-05,                  2e-05,                 3.7858,                 6.7882,                 4.0571,              0.0033173,              0.0033173,              0.0033173
                      2,                 3.5483,                 5.5323,                 3.6667,                0.22252,                0.04333,                 0.0127,                0.00331,                 3.8413,                 15.384,                 3.7802,              0.0066342,              0.0066342,              0.0066342
                      3,                 3.3434,                 4.7618,                 2.9306,                0.81615,                  0.165,                0.05618,                0.02384,                 3.3376,                 22.923,                 2.7742,              0.0099346,              0.0099346,              0.0099346
                      4,                 3.1077,                 3.9978,                 2.6216,                 0.8774,                0.13206,                0.10058,                0.04423,                 2.9804,                 5.6096,                 2.4013,              0.0099258,              0.0099258,              0.0099258
                      5,                 3.0359,                 3.6237,                 2.4481,                0.71272,                0.15766,                  0.115,                 0.0507,                 2.9369,                  3.258,                 2.3245,              0.0099258,              0.0099258,              0.0099258
                      6,                 2.9075,                 3.3855,                 2.3373,                0.91131,                0.14417,                0.12678,                0.05756,                 2.9042,                 4.1371,                 2.2419,               0.009901,               0.009901,               0.009901
                      7,                 2.8632,                 3.2657,                 2.2571,                0.90496,                0.14667,                0.13292,                0.05794,                 2.8872,                 3.0613,                 2.2466,              0.0098763,              0.0098763,              0.0098763
                      8,                 2.8485,                 3.1493,                 2.2113,                0.68191,                0.14447,                0.13065,                0.06235,                 2.8011,                 3.0102,                 2.1806,              0.0098515,              0.0098515,              0.0098515
                      9,                 2.7647,                 3.0385,                 2.1996,                0.16101,                0.21302,                0.14583,                0.06324,                 2.7293,                 2.8104,                 2.1445,              0.0098268,              0.0098268,              0.0098268
                     10,                  2.728,                 2.9461,                 2.1546,                0.17045,                0.20737,                0.14706,                 0.0677,                 2.7235,                 2.7924,                 2.0829,               0.009802,               0.009802,               0.009802
                     11,                 2.6773,                 2.8516,                  2.111,                0.77411,                0.18293,                0.18267,                0.07547,                 2.7054,                 2.8823,                 2.0487,              0.0097773,              0.0097773,              0.0097773
                     12,                 2.6728,                 2.8049,                 2.1136,                0.21776,                0.23789,                0.17024,                0.07334,                 2.6735,                 2.8129,                  2.081,              0.0097525,              0.0097525,              0.0097525
                     13,                 2.6175,                 2.7125,                 2.0539,                  0.352,                0.24068,                0.20237,                0.08482,                 2.6417,                 2.6408,                 2.0439,              0.0097278,              0.0097278,              0.0097278
                     14,                 2.5764,                 2.6986,                 2.0421,                0.37933,                0.21177,                0.22803,                0.10072,                 2.6082,                 2.6141,                 1.9995,               0.009703,               0.009703,               0.009703
                     15,                  2.573,                 2.6061,                 2.0135,                0.25057,                0.31565,                0.20722,                0.08732,                 2.6109,                 2.6035,                 2.0413,              0.0096783,              0.0096783,              0.0096783
                     16,                 2.5428,                  2.575,                  2.003,                0.19877,                0.30925,                0.22614,                0.10165,                 2.5473,                 2.5559,                 1.9442,              0.0096535,              0.0096535,              0.0096535
