                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.7397,                 7.9169,                 4.1301,                0.01469,                0.02083,                0.00888,                0.00256,                 3.6601,                 9.7255,                 3.4191,              0.0033173,              0.0033173,              0.0033173
                      2,                  3.444,                 5.4142,                 2.8875,                0.60929,                0.02547,                0.00433,                0.00091,                 4.3211,                 6.1793,                 3.2533,              0.0066342,              0.0066342,              0.0066342
                      3,                 3.0189,                 3.8926,                 2.2549,                0.66192,                0.12083,                0.07244,                0.03141,                 3.4735,                 9.9897,                 2.2131,              0.0099346,              0.0099346,              0.0099346
                      4,                 3.0245,                 3.1774,                 2.0082,                0.89673,                0.12083,                0.11331,                0.04662,                 3.1946,                 3.2205,                 1.9583,              0.0099258,              0.0099258,              0.0099258
                      5,                 2.9703,                 2.8447,                 1.8898,                 0.8915,                0.13667,                0.10868,                0.05275,                 3.0259,                 2.9368,                 1.8027,              0.0099258,              0.0099258,              0.0099258
                      6,                 2.8127,                 2.6169,                 1.7714,                0.30202,                0.18714,                0.11449,                0.04914,                 2.9987,                 2.7023,                 1.7554,               0.009901,               0.009901,               0.009901
                      7,                 2.7655,                 2.5491,                 1.7253,                0.55122,                0.18849,                0.13168,                0.05926,                 3.0553,                 2.8283,                  1.804,              0.0098763,              0.0098763,              0.0098763
                      8,                 2.7292,                 2.4485,                 1.6958,                 0.1372,                0.24431,                0.14857,                0.06853,                 2.8835,                 2.6754,                 1.6862,              0.0098515,              0.0098515,              0.0098515
                      9,                 2.6852,                 2.3728,                 1.6858,                0.21782,                0.23474,                0.15667,                0.07244,                 2.7804,                 2.4421,                 1.6625,              0.0098268,              0.0098268,              0.0098268
                     10,                 2.6191,                 2.2991,                 1.6595,                0.18223,                0.25009,                0.17618,                0.07386,                 2.8758,                 2.5044,                  1.703,               0.009802,               0.009802,               0.009802
                     11,                 2.5947,                  2.263,                 1.6282,                 0.2272,                0.27044,                0.16368,                0.07291,                 2.6986,                 2.2993,                 1.6182,              0.0097773,              0.0097773,              0.0097773
                     12,                 2.5714,                 2.1918,                 1.6244,                0.28688,                0.25991,                0.16716,                0.06975,                 2.7436,                 2.2706,                 1.5873,              0.0097525,              0.0097525,              0.0097525
                     13,                  2.546,                  2.118,                 1.5941,                 0.2369,                0.29291,                0.20672,                0.09162,                  2.626,                 2.1749,                 1.5717,              0.0097278,              0.0097278,              0.0097278
                     14,                 2.5124,                 2.1048,                 1.5881,                0.32014,                0.29362,                0.24745,                0.10946,                 2.5685,                 2.1542,                 1.5739,               0.009703,               0.009703,               0.009703
                     15,                 2.4825,                 2.0274,                 1.5619,                0.29848,                0.33007,                0.24054,                0.10455,                  2.569,                 2.0318,                 1.5612,              0.0096783,              0.0096783,              0.0096783
                     16,                 2.4604,                 1.9845,                 1.5567,                0.29206,                0.34654,                0.26254,                0.11746,                 2.4942,                 2.0248,                 1.5303,              0.0096535,              0.0096535,              0.0096535
                     17,                 2.4344,                 1.9313,                  1.542,                0.32272,                0.34502,                  0.263,                0.09893,                 2.6703,                 2.1715,                 1.5981,              0.0096288,              0.0096288,              0.0096288
                     18,                 2.4141,                 1.8875,                 1.5339,                0.28977,                0.35022,                0.28317,                0.12712,                 2.5364,                 2.0854,                 1.5402,               0.009604,               0.009604,               0.009604
                     19,                 2.3963,                 1.8608,                 1.5174,                0.30632,                0.32582,                 0.2651,                0.12218,                 2.5462,                  1.956,                 1.5623,              0.0095793,              0.0095793,              0.0095793
                     20,                 2.3894,                  1.833,                 1.5201,                0.40157,                0.32537,                0.31069,                0.13756,                 2.4346,                 1.8385,                 1.5033,              0.0095545,              0.0095545,              0.0095545
                     21,                 2.3678,                 1.7959,                 1.4876,                0.33673,                0.36059,                0.31539,                0.13959,                 2.4746,                 1.8405,                 1.5031,              0.0095298,              0.0095298,              0.0095298
                     22,                 2.3498,                 1.7619,                 1.5028,                0.39591,                0.36818,                0.32597,                0.14819,                 2.4062,                  1.796,                 1.4828,               0.009505,               0.009505,               0.009505
                     23,                 2.3192,                 1.7194,                 1.4823,                0.42354,                0.40116,                 0.3469,                0.15789,                 2.3761,                 1.6964,                 1.4524,              0.0094803,              0.0094803,              0.0094803
                     24,                 2.3193,                 1.7147,                 1.4565,                0.45977,                0.38473,                0.37723,                0.16965,                 2.3312,                 1.7038,                 1.4456,              0.0094555,              0.0094555,              0.0094555
                     25,                 2.2743,                 1.6524,                 1.4548,                0.47065,                0.37739,                0.35987,                0.16095,                 2.3936,                 1.6015,                 1.4703,              0.0094307,              0.0094307,              0.0094307
                     26,                 2.2646,                 1.6185,                 1.4461,                0.39185,                0.40235,                0.36096,                0.16376,                 2.3975,                 1.7464,                 1.4653,               0.009406,               0.009406,               0.009406
                     27,                 2.2715,                 1.6158,                 1.4591,                0.43908,                0.39406,                0.37436,                0.16263,                 2.3606,                 1.6292,                 1.4484,              0.0093813,              0.0093813,              0.0093813
                     28,                 2.2474,                 1.5745,                   1.44,                0.45394,                0.43551,                0.39246,                0.17789,                 2.3106,                 1.5716,                 1.4309,              0.0093565,              0.0093565,              0.0093565
                     29,                 2.1976,                 1.5638,                 1.4176,                0.41799,                0.42868,                0.38943,                0.17067,                 2.3016,                 1.5521,                 1.4466,              0.0093317,              0.0093317,              0.0093317
                     30,                 2.1859,                 1.5269,                  1.417,                0.47894,                0.44886,                0.41738,                 0.1837,                 2.2614,                 1.5159,                 1.4274,               0.009307,               0.009307,               0.009307
                     31,                 2.2034,                 1.5345,                 1.4148,                0.45198,                0.43602,                0.37886,                0.16969,                 2.3098,                 1.5029,                 1.4466,              0.0092823,              0.0092823,              0.0092823
                     32,                 2.2029,                 1.5032,                 1.4234,                0.46191,                0.43926,                0.41398,                 0.1836,                 2.2698,                 1.4673,                 1.4079,              0.0092575,              0.0092575,              0.0092575
                     33,                 2.1835,                 1.4844,                 1.4091,                0.49366,                0.46213,                0.42111,                0.19186,                 2.2151,                 1.4193,                 1.3981,              0.0092327,              0.0092327,              0.0092327
                     34,                  2.154,                 1.4849,                 1.4109,                0.52043,                0.44774,                0.43679,                0.19594,                 2.2289,                 1.4353,                  1.393,               0.009208,               0.009208,               0.009208
                     35,                 2.1421,                 1.4624,                 1.3947,                0.48937,                0.46807,                 0.4404,                0.19466,                 2.2164,                 1.5624,                 1.3963,              0.0091833,              0.0091833,              0.0091833
                     36,                 2.1229,                 1.4358,                 1.3962,                0.50183,                0.46595,                0.44996,                0.20998,                 2.1834,                 1.3892,                  1.383,              0.0091585,              0.0091585,              0.0091585
                     37,                 2.0999,                 1.4078,                 1.3751,                0.50565,                0.45735,                0.45847,                0.21186,                 2.1993,                  1.386,                 1.3794,              0.0091337,              0.0091337,              0.0091337
                     38,                 2.0915,                 1.3913,                 1.3637,                0.53623,                0.45564,                0.45723,                0.21268,                 2.1523,                 1.3338,                 1.3802,               0.009109,               0.009109,               0.009109
                     39,                 2.1019,                 1.3962,                 1.3709,                0.54849,                0.45051,                0.46081,                0.20096,                 2.2122,                 1.4797,                 1.3684,              0.0090843,              0.0090843,              0.0090843
                     40,                 2.0864,                 1.3804,                 1.3752,                0.54453,                  0.498,                0.49603,                0.23322,                 2.0861,                 1.3319,                 1.3295,              0.0090595,              0.0090595,              0.0090595
                     41,                 2.0912,                 1.3642,                 1.3616,                0.55756,                0.49985,                0.49402,                0.23134,                 2.1143,                 1.3448,                 1.3444,              0.0090347,              0.0090347,              0.0090347
                     42,                 2.0696,                 1.3461,                 1.3609,                0.54075,                 0.4899,                0.49105,                0.22272,                 2.1065,                 1.3463,                 1.3477,                0.00901,                0.00901,                0.00901
                     43,                  2.051,                 1.3287,                 1.3548,                0.61676,                0.48636,                0.51585,                0.23623,                 2.1066,                 1.2987,                 1.3336,              0.0089853,              0.0089853,              0.0089853
                     44,                 2.0088,                 1.3006,                 1.3408,                0.61241,                0.49855,                0.51885,                0.24251,                 2.1016,                 1.2757,                 1.3323,              0.0089605,              0.0089605,              0.0089605
                     45,                 2.0319,                 1.3086,                  1.338,                0.61919,                0.49049,                0.52062,                0.24787,                 2.0503,                 1.2389,                 1.3243,              0.0089358,              0.0089358,              0.0089358
                     46,                 2.0317,                 1.3028,                 1.3361,                0.57997,                0.53037,                0.52754,                  0.248,                 2.0382,                 1.2199,                 1.3173,               0.008911,               0.008911,               0.008911
                     47,                 2.0088,                  1.268,                 1.3429,                0.64568,                0.51037,                0.52982,                0.25004,                 2.0227,                 1.2339,                 1.3128,              0.0088863,              0.0088863,              0.0088863
                     48,                 1.9791,                 1.2481,                 1.3182,                0.62083,                0.50966,                0.53991,                0.25229,                 2.0426,                 1.1858,                 1.3226,              0.0088615,              0.0088615,              0.0088615
                     49,                 1.9793,                 1.2318,                 1.3171,                0.63796,                0.52461,                0.54687,                0.26017,                 2.0067,                 1.1753,                 1.3033,              0.0088368,              0.0088368,              0.0088368
                     50,                 1.9611,                 1.2304,                 1.3035,                0.64886,                0.52723,                0.55838,                 0.2659,                  1.982,                 1.1627,                 1.2992,               0.008812,               0.008812,               0.008812
                     51,                 1.9648,                 1.2148,                 1.3182,                0.61328,                0.54077,                0.54322,                0.25699,                 2.0292,                 1.1433,                 1.3288,              0.0087872,              0.0087872,              0.0087872
                     52,                 1.9434,                  1.219,                  1.309,                0.68758,                0.54944,                0.57404,                0.27539,                 1.9609,                 1.1328,                 1.2796,              0.0087625,              0.0087625,              0.0087625
                     53,                 1.9566,                 1.2097,                 1.3042,                0.64611,                0.51144,                  0.544,                 0.2535,                 2.0062,                 1.2068,                 1.3107,              0.0087378,              0.0087378,              0.0087378
                     54,                 1.9459,                 1.2169,                 1.3027,                0.62853,                0.53958,                0.56614,                0.27281,                 1.9603,                 1.1489,                 1.2815,               0.008713,               0.008713,               0.008713
                     55,                 1.9172,                 1.1975,                  1.303,                0.68392,                0.54451,                0.58825,                0.27606,                 1.9549,                 1.1724,                 1.2862,              0.0086882,              0.0086882,              0.0086882
                     56,                  1.936,                 1.1692,                 1.2913,                0.66922,                0.55716,                 0.5857,                0.28536,                 1.9033,                  1.103,                 1.2693,              0.0086635,              0.0086635,              0.0086635
                     57,                 1.8892,                 1.1477,                 1.2789,                0.65557,                0.56007,                0.58803,                0.29002,                  1.921,                 1.1081,                 1.2679,              0.0086388,              0.0086388,              0.0086388
                     58,                 1.9092,                 1.1633,                 1.2929,                0.65362,                0.56093,                0.58534,                0.28801,                 1.9398,                 1.1419,                 1.2708,               0.008614,               0.008614,               0.008614
                     59,                 1.9042,                  1.149,                 1.2706,                0.71054,                0.58212,                0.61688,                 0.3056,                 1.8826,                 1.0565,                  1.253,              0.0085893,              0.0085893,              0.0085893
                     60,                 1.9141,                 1.1874,                 1.2895,                0.70669,                0.55877,                0.60488,                0.30005,                  1.874,                 1.0889,                   1.25,              0.0085645,              0.0085645,              0.0085645
                     61,                 1.8439,                 1.1044,                 1.2599,                 0.6905,                0.56031,                0.60508,                0.29047,                 1.9128,                 1.0982,                 1.2603,              0.0085398,              0.0085398,              0.0085398
                     62,                  1.872,                 1.1177,                 1.2728,                0.74204,                0.54233,                0.60052,                0.29244,                 1.8829,                 1.0768,                 1.2703,               0.008515,               0.008515,               0.008515
                     63,                 1.8572,                 1.1126,                 1.2679,                0.73077,                0.54733,                0.60229,                0.29528,                 1.8897,                 1.0583,                 1.2605,              0.0084903,              0.0084903,              0.0084903
                     64,                  1.887,                 1.1406,                 1.2639,                 0.7137,                0.57827,                0.61497,                  0.301,                 1.8879,                 1.0511,                 1.2443,              0.0084655,              0.0084655,              0.0084655
