                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0293,                 8.4538,                  4.185,                0.62846,                0.06167,                0.02218,                0.00648,                 3.7771,                 11.504,                 3.5011,              0.0033173,              0.0033173,              0.0033173
                      2,                 3.5577,                 5.6177,                 3.0308,                0.90416,                0.12951,                0.10806,                0.04617,                 3.3423,                 11.575,                 2.5773,              0.0066342,              0.0066342,              0.0066342
                      3,                 2.9962,                 3.9151,                 2.2771,                0.85299,                0.09583,                0.04376,                0.01431,                  3.601,                  7.046,                 2.3669,              0.0099346,              0.0099346,              0.0099346
                      4,                 2.9341,                  3.222,                 2.0045,                0.69923,                   0.12,                0.10602,                0.04317,                 3.3506,                 5.0729,                 2.0284,              0.0099258,              0.0099258,              0.0099258
                      5,                 2.9273,                 2.9339,                  1.872,                0.29949,                0.16119,                0.09951,                0.04621,                 3.1038,                    3.6,                 1.8247,              0.0099258,              0.0099258,              0.0099258
                      6,                 2.8058,                  2.702,                 1.7669,                 0.3135,                0.15729,                0.11768,                0.05644,                 2.9657,                 2.8217,                  1.766,               0.009901,               0.009901,               0.009901
                      7,                 2.7683,                 2.6187,                 1.7426,                0.90227,                   0.14,                0.12931,                0.05832,                  2.893,                 2.8055,                 1.7694,              0.0098763,              0.0098763,              0.0098763
                      8,                 2.7351,                 2.5585,                 1.7115,                0.52513,                  0.175,                 0.1353,                0.06174,                 2.9147,                 2.7094,                 1.7146,              0.0098515,              0.0098515,              0.0098515
                      9,                 2.7011,                  2.479,                 1.6936,                0.68565,                0.19453,                0.16471,                0.07607,                 2.8013,                 2.5695,                 1.6781,              0.0098268,              0.0098268,              0.0098268
                     10,                 2.6512,                 2.4152,                 1.6759,                0.66201,                0.16095,                0.16734,                0.08115,                 2.7537,                 2.4722,                 1.6361,               0.009802,               0.009802,               0.009802
                     11,                 2.6223,                 2.3618,                 1.6439,                 0.1738,                0.24158,                0.16981,                0.07779,                 2.7468,                 2.3878,                 1.6278,              0.0097773,              0.0097773,              0.0097773
                     12,                 2.6016,                 2.2981,                  1.639,                0.44561,                0.22634,                0.18031,                0.08171,                 2.8081,                 2.4071,                 1.6155,              0.0097525,              0.0097525,              0.0097525
                     13,                  2.575,                 2.2046,                 1.6063,                0.42161,                0.24679,                0.19702,                0.08966,                 2.6541,                 2.3631,                 1.5858,              0.0097278,              0.0097278,              0.0097278
                     14,                 2.5391,                 2.2039,                 1.6041,                0.23797,                0.29296,                0.18891,                0.07994,                 2.6122,                 2.4587,                 1.5823,               0.009703,               0.009703,               0.009703
                     15,                 2.5082,                  2.121,                 1.5745,                0.42996,                0.25687,                0.21788,                0.09901,                 2.6377,                 2.2299,                 1.5906,              0.0096783,              0.0096783,              0.0096783
                     16,                 2.4928,                 2.0831,                 1.5682,                 0.2398,                0.30548,                0.24509,                0.10607,                 2.6107,                 2.0869,                 1.5536,              0.0096535,              0.0096535,              0.0096535
                     17,                 2.4736,                 2.0345,                 1.5572,                0.30899,                0.29607,                0.25605,                0.11163,                 2.6026,                 1.9785,                 1.5425,              0.0096288,              0.0096288,              0.0096288
                     18,                 2.4545,                 1.9702,                 1.5517,                0.25858,                0.34898,                0.26525,                0.11843,                 2.5574,                 2.0154,                 1.5293,               0.009604,               0.009604,               0.009604
                     19,                 2.4216,                 1.9402,                 1.5359,                0.30994,                0.34483,                0.27932,                0.12713,                 2.5339,                  1.883,                 1.5375,              0.0095793,              0.0095793,              0.0095793
                     20,                 2.4275,                 1.9023,                 1.5383,                0.33734,                0.32582,                0.28093,                0.12287,                 2.5328,                 1.8653,                 1.5159,              0.0095545,              0.0095545,              0.0095545
                     21,                 2.4015,                  1.875,                 1.5047,                0.35086,                0.35419,                0.29018,                0.12691,                 2.5311,                 1.9155,                 1.5261,              0.0095298,              0.0095298,              0.0095298
                     22,                 2.3808,                 1.8436,                  1.516,                0.33841,                0.36173,                0.30774,                  0.136,                 2.4886,                 1.8268,                 1.4948,               0.009505,               0.009505,               0.009505
                     23,                 2.3647,                 1.7868,                 1.4996,                0.33267,                0.38283,                 0.3146,                0.13868,                 2.4553,                 1.7404,                  1.492,              0.0094803,              0.0094803,              0.0094803
                     24,                 2.3472,                 1.7749,                 1.4724,                0.37678,                0.36574,                0.33179,                0.14831,                 2.3854,                 1.7199,                 1.4568,              0.0094555,              0.0094555,              0.0094555
                     25,                 2.3193,                 1.7418,                 1.4769,                0.37085,                0.34896,                0.31615,                  0.142,                 2.4272,                 1.7686,                  1.488,              0.0094307,              0.0094307,              0.0094307
                     26,                 2.3137,                 1.6898,                 1.4641,                0.32899,                0.39324,                0.33054,                0.14685,                 2.4245,                 1.9137,                 1.4703,               0.009406,               0.009406,               0.009406
                     27,                 2.3087,                 1.6723,                 1.4701,                0.40225,                0.36973,                0.34326,                0.14566,                  2.438,                 1.8048,                 1.4538,              0.0093813,              0.0093813,              0.0093813
                     28,                 2.2915,                 1.6402,                 1.4566,                0.42021,                 0.4006,                0.34201,                0.15356,                 2.4093,                 1.6771,                 1.4655,              0.0093565,              0.0093565,              0.0093565
                     29,                 2.2565,                 1.6323,                   1.44,                0.42975,                0.42056,                0.39265,                0.16485,                 2.3844,                   1.58,                 1.4627,              0.0093317,              0.0093317,              0.0093317
                     30,                 2.2266,                 1.5829,                 1.4401,                0.37984,                0.42556,                0.37157,                0.16662,                  2.327,                 1.5764,                 1.4279,               0.009307,               0.009307,               0.009307
                     31,                 2.2569,                 1.6078,                 1.4393,                0.43142,                0.41349,                0.38277,                0.17445,                 2.3262,                  1.553,                 1.4242,              0.0092823,              0.0092823,              0.0092823
                     32,                 2.2497,                 1.5604,                 1.4445,                0.47555,                0.42364,                0.40079,                0.17824,                 2.2805,                 1.5145,                 1.4192,              0.0092575,              0.0092575,              0.0092575
                     33,                 2.2531,                 1.5675,                 1.4358,                0.44759,                 0.4242,                  0.407,                0.18081,                  2.293,                 1.5233,                 1.4173,              0.0092327,              0.0092327,              0.0092327
                     34,                 2.2279,                  1.561,                 1.4418,                0.45457,                0.39216,                0.37797,                0.17234,                 2.3119,                 1.7343,                 1.4251,               0.009208,               0.009208,               0.009208
                     35,                 2.1983,                 1.5264,                 1.4213,                0.45804,                0.43293,                0.41957,                0.18245,                 2.2604,                 1.6807,                 1.4042,              0.0091833,              0.0091833,              0.0091833
                     36,                 2.1859,                 1.5133,                 1.4225,                0.48124,                0.45528,                0.42354,                0.18314,                 2.2862,                 1.4633,                 1.4234,              0.0091585,              0.0091585,              0.0091585
                     37,                 2.1731,                 1.4883,                 1.4122,                0.49705,                0.46407,                0.44393,                0.19941,                 2.2394,                 1.4014,                 1.3979,              0.0091337,              0.0091337,              0.0091337
                     38,                 2.1625,                 1.4563,                 1.3929,                0.48411,                0.44741,                0.42396,                0.19271,                  2.207,                 1.4176,                  1.393,               0.009109,               0.009109,               0.009109
                     39,                 2.1734,                 1.4835,                 1.4024,                0.46795,                0.44183,                0.42928,                 0.1953,                 2.1999,                 1.4447,                 1.3766,              0.0090843,              0.0090843,              0.0090843
                     40,                 2.1592,                 1.4621,                  1.407,                0.50415,                 0.4544,                0.44241,                0.19921,                 2.2339,                 1.4643,                 1.3874,              0.0090595,              0.0090595,              0.0090595
                     41,                 2.1584,                 1.4506,                 1.3934,                0.53405,                0.45927,                0.46169,                0.21113,                 2.1767,                 1.4115,                 1.3759,              0.0090347,              0.0090347,              0.0090347
                     42,                 2.1355,                 1.4155,                 1.3918,                0.51036,                0.46226,                0.45438,                0.20707,                 2.1995,                 1.3975,                 1.3752,                0.00901,                0.00901,                0.00901
                     43,                 2.1223,                 1.4174,                 1.3931,                0.49784,                0.45428,                0.44454,                0.19744,                  2.233,                 1.4767,                 1.3871,              0.0089853,              0.0089853,              0.0089853
                     44,                 2.0918,                 1.3793,                  1.378,                0.49919,                0.48692,                0.44802,                0.20125,                 2.1992,                 1.3732,                 1.3818,              0.0089605,              0.0089605,              0.0089605
                     45,                 2.1149,                 1.3926,                  1.377,                0.53721,                0.47544,                0.47515,                0.21844,                 2.1355,                 1.2867,                 1.3599,              0.0089358,              0.0089358,              0.0089358
                     46,                  2.107,                  1.385,                 1.3744,                0.51666,                0.49503,                0.48108,                0.22177,                 2.0943,                 1.3376,                 1.3419,               0.008911,               0.008911,               0.008911
                     47,                 2.0858,                 1.3554,                 1.3766,                0.55015,                0.48211,                0.48076,                0.22515,                 2.1381,                 1.3099,                 1.3349,              0.0088863,              0.0088863,              0.0088863
                     48,                 2.0402,                 1.3222,                 1.3488,                0.52942,                0.48147,                0.47214,                0.20656,                 2.1925,                 1.3306,                 1.3897,              0.0088615,              0.0088615,              0.0088615
                     49,                 2.0764,                 1.3204,                 1.3613,                0.55624,                0.50493,                0.50084,                0.22441,                 2.1239,                  1.279,                 1.3529,              0.0088368,              0.0088368,              0.0088368
                     50,                 2.0613,                 1.3303,                 1.3446,                0.62787,                0.48388,                0.50767,                0.23118,                 2.0981,                 1.2709,                 1.3491,               0.008812,               0.008812,               0.008812
                     51,                 2.0586,                 1.3084,                 1.3569,                0.51767,                0.52027,                0.50227,                0.23097,                 2.1132,                 1.2578,                 1.3483,              0.0087872,              0.0087872,              0.0087872
                     52,                 2.0523,                 1.3201,                 1.3543,                0.56404,                 0.5378,                0.51366,                0.23315,                 2.0876,                 1.2696,                 1.3429,              0.0087625,              0.0087625,              0.0087625
                     53,                 2.0468,                 1.2981,                 1.3462,                0.57344,                0.50392,                0.50993,                0.24377,                 2.0667,                 1.2068,                 1.3255,              0.0087378,              0.0087378,              0.0087378
