                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8382,                 6.3773,                 4.1777,                0.00023,                0.00346,                  8e-05,                  2e-05,                 3.7145,                 6.0839,                 4.0632,              0.0033173,              0.0033173,              0.0033173
                      2,                 3.5208,                 5.5239,                 3.6681,                0.61505,                 0.0475,                0.00761,                 0.0019,                 3.7763,                 32.863,                 3.3876,              0.0066342,              0.0066342,              0.0066342
                      3,                  3.341,                 4.6759,                  3.045,                0.85975,                0.13583,                0.05893,                0.02432,                 3.2349,                 4.5906,                 2.7679,              0.0099346,              0.0099346,              0.0099346
                      4,                 3.2038,                 4.0428,                 2.6636,                0.88243,                0.13417,                0.10076,                0.04888,                 3.1704,                 6.2695,                 2.5542,              0.0099258,              0.0099258,              0.0099258
                      5,                 3.0677,                 3.5777,                  2.511,                0.71155,                0.14647,                0.10875,                0.05113,                 3.0399,                 3.7824,                 2.4235,              0.0099258,              0.0099258,              0.0099258
                      6,                 2.9566,                 3.3603,                 2.3937,                0.76312,                 0.1474,                0.08497,                0.03546,                 2.9382,                 3.5679,                 2.3306,               0.009901,               0.009901,               0.009901
                      7,                 2.8729,                 3.2056,                 2.3013,                0.68592,                0.17667,                0.09759,                0.04434,                  2.899,                 3.2317,                  2.352,              0.0098763,              0.0098763,              0.0098763
                      8,                 2.8339,                 3.0989,                 2.2751,                0.54167,                0.16395,                0.11769,                0.05638,                 2.7959,                 2.9647,                 2.2413,              0.0098515,              0.0098515,              0.0098515
                      9,                 2.7769,                 2.9855,                 2.2447,                0.33537,                0.19062,                0.14248,                0.06946,                 2.8038,                 3.2137,                 2.2318,              0.0098268,              0.0098268,              0.0098268
                     10,                 2.7197,                 2.9182,                 2.2078,                0.70252,                0.16523,                0.16729,                 0.0816,                 2.7192,                 2.7896,                 2.1939,               0.009802,               0.009802,               0.009802
                     11,                  2.688,                 2.8465,                 2.1669,                0.76412,                0.15429,                0.18408,                0.08666,                 2.6844,                 2.7984,                 2.1487,              0.0097773,              0.0097773,              0.0097773
                     12,                 2.6675,                 2.7735,                 2.1617,                0.32335,                 0.2075,                0.14031,                0.06429,                 2.6936,                 2.7144,                 2.1536,              0.0097525,              0.0097525,              0.0097525
                     13,                 2.6351,                 2.6884,                 2.1306,                0.24629,                0.27703,                0.20067,                0.08847,                 2.6132,                 2.5926,                 2.1347,              0.0097278,              0.0097278,              0.0097278
