                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8866,                 6.1533,                 4.1735,                 0.8502,                   0.05,                0.03679,                0.01329,                 3.8144,                 5.7142,                 3.8424,              0.0033173,              0.0033173,              0.0033173
                      2,                 3.6148,                 5.0994,                  3.403,                 0.2361,                0.04417,                0.01859,                 0.0064,                 3.6162,                 5.0257,                 3.2268,              0.0066342,              0.0066342,              0.0066342
                      3,                 3.4115,                 4.5488,                 2.8902,                0.84587,                0.10515,                0.04438,                0.01772,                 3.4868,                 4.8426,                 2.7996,              0.0099346,              0.0099346,              0.0099346
                      4,                 3.1818,                 3.9942,                 2.6457,                0.89193,                0.04324,                0.05232,                0.02381,                  3.476,                 4.4624,                 3.2041,              0.0099258,              0.0099258,              0.0099258
                      5,                 3.0609,                 3.6314,                 2.5133,                0.47599,                0.13657,                0.07962,                 0.0361,                 3.0737,                 3.5284,                 2.4772,              0.0099258,              0.0099258,              0.0099258
                      6,                 2.9005,                 3.3594,                 2.4024,                0.92359,                0.14667,                0.13906,                0.06311,                 2.8207,                 3.0689,                 2.3206,               0.009901,               0.009901,               0.009901
                      7,                  2.828,                 3.2374,                 2.3321,                0.31827,                0.15503,                 0.1108,                0.04867,                 2.8759,                 3.2002,                 2.3461,              0.0098763,              0.0098763,              0.0098763
                      8,                 2.8126,                 3.1192,                 2.2909,                0.90725,                0.14744,                0.12292,                0.05742,                 2.8259,                 2.9589,                 2.2744,              0.0098515,              0.0098515,              0.0098515
                      9,                 2.7472,                 3.0086,                 2.2691,                 0.3542,                 0.1843,                0.14764,                 0.0676,                 2.7097,                 2.8205,                 2.2468,              0.0098268,              0.0098268,              0.0098268
                     10,                 2.6933,                 2.8989,                 2.2362,                0.46578,                0.19245,                0.15456,                0.06844,                 2.6967,                 2.7062,                 2.2071,               0.009802,               0.009802,               0.009802
                     11,                 2.6641,                 2.7976,                 2.1955,                 0.2683,                 0.1945,                 0.1638,                0.07088,                 2.7076,                 2.8741,                 2.2322,              0.0097773,              0.0097773,              0.0097773
                     12,                 2.6503,                 2.7487,                   2.19,                  0.226,                0.27621,                0.19099,                0.08061,                 2.7076,                 2.5838,                 2.1921,              0.0097525,              0.0097525,              0.0097525
                     13,                 2.6243,                 2.6325,                 2.1578,                0.24281,                0.28659,                0.21604,                0.09553,                 2.6468,                 2.4895,                 2.1418,              0.0097278,              0.0097278,              0.0097278
                     14,                 2.5885,                  2.602,                 2.1368,                  0.266,                0.32746,                0.24215,                0.10953,                 2.5372,                 2.4512,                 2.1321,               0.009703,               0.009703,               0.009703
                     15,                 2.5578,                 2.5221,                 2.1031,                0.27365,                0.29859,                0.24476,                0.10573,                 2.5757,                 2.3477,                 2.1087,              0.0096783,              0.0096783,              0.0096783
                     16,                 2.5574,                 2.4958,                 2.1039,                 0.2531,                 0.3292,                0.26525,                0.11196,                 2.5185,                 2.3584,                 2.0725,              0.0096535,              0.0096535,              0.0096535
                     17,                  2.528,                 2.4211,                 2.0782,                0.25865,                0.33192,                0.25264,                0.10605,                   2.64,                 2.4089,                 2.1262,              0.0096288,              0.0096288,              0.0096288
                     18,                 2.5109,                 2.4148,                  2.066,                0.32136,                0.34633,                0.29661,                0.12758,                 2.4673,                 2.2244,                 2.0458,               0.009604,               0.009604,               0.009604
                     19,                 2.4834,                 2.3588,                 2.0634,                0.35702,                0.33327,                0.29172,                0.12781,                 2.5396,                  2.297,                 2.0824,              0.0095793,              0.0095793,              0.0095793
                     20,                 2.4913,                 2.3407,                 2.0487,                0.32612,                0.35462,                0.29735,                0.12982,                 2.5376,                 2.4668,                 2.0614,              0.0095545,              0.0095545,              0.0095545
