                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8687,                 5.7787,                 4.2328,                0.64037,                0.01833,                0.01931,                0.00592,                 3.6868,                 5.1189,                 3.9552,              0.0033173,              0.0033173,              0.0033173
                      2,                 3.4749,                 4.7286,                  3.507,                0.61734,                0.09083,                0.01601,                0.00465,                 3.6746,                 19.476,                 3.5361,              0.0066342,              0.0066342,              0.0066342
                      3,                 3.2817,                 4.2843,                 2.9232,                0.69606,                0.12333,                0.09897,                 0.0412,                 3.3873,                 7.5463,                 2.8311,              0.0099346,              0.0099346,              0.0099346
                      4,                 3.1284,                 3.8227,                 2.6663,                0.71088,                  0.125,                0.11758,                0.05505,                 3.1442,                 3.6062,                 2.5663,              0.0099258,              0.0099258,              0.0099258
                      5,                 3.0533,                 3.5207,                 2.5246,                0.91463,                 0.1298,                0.11771,                0.05918,                 3.0045,                 3.2606,                 2.4471,              0.0099258,              0.0099258,              0.0099258
                      6,                 2.9101,                 3.2614,                 2.4176,                0.89632,                   0.15,                0.12693,                0.06091,                 2.8847,                 2.9893,                 2.3596,               0.009901,               0.009901,               0.009901
                      7,                 2.8598,                 3.1536,                 2.3659,                  0.525,                0.15605,                0.12387,                0.05719,                 2.8877,                  2.975,                 2.3533,              0.0098763,              0.0098763,              0.0098763
                      8,                 2.8333,                 3.0446,                 2.3131,                0.91141,                  0.135,                0.14031,                0.07038,                 2.7702,                 2.9818,                 2.2771,              0.0098515,              0.0098515,              0.0098515
                      9,                 2.7787,                  2.959,                  2.281,                0.35423,                 0.1875,                0.15927,                0.07507,                 2.7353,                 2.7617,                 2.2534,              0.0098268,              0.0098268,              0.0098268
                     10,                  2.705,                 2.8999,                 2.2522,                0.33171,                0.20491,                0.15064,                0.06951,                 2.7277,                 2.7132,                 2.2145,               0.009802,               0.009802,               0.009802
                     11,                  2.666,                 2.8185,                  2.214,                0.35765,                0.16854,                0.15066,                0.07073,                  2.669,                 2.7436,                 2.1917,              0.0097773,              0.0097773,              0.0097773
                     12,                 2.6449,                 2.7782,                 2.2071,                0.17716,                0.24141,                0.16294,                0.07656,                 2.6567,                 2.6851,                 2.1614,              0.0097525,              0.0097525,              0.0097525
                     13,                 2.6029,                 2.6816,                  2.159,                 0.2112,                0.26849,                0.20789,                0.09286,                 2.5643,                 2.5178,                 2.1181,              0.0097278,              0.0097278,              0.0097278
                     14,                 2.5627,                 2.6576,                 2.1447,                0.48366,                 0.2186,                0.20234,                0.09355,                 2.6292,                 2.6593,                 2.1329,               0.009703,               0.009703,               0.009703
                     15,                 2.5338,                 2.5444,                 2.1145,                0.23862,                0.29624,                 0.2271,                0.09911,                  2.492,                 2.4345,                 2.0967,              0.0096783,              0.0096783,              0.0096783
                     16,                 2.5233,                 2.5111,                 2.1066,                0.23293,                0.32062,                0.22988,                0.09945,                 2.5426,                 2.4848,                 2.0729,              0.0096535,              0.0096535,              0.0096535
                     17,                 2.4957,                 2.4613,                 2.0778,                0.25001,                0.28188,                 0.2269,                0.09924,                 2.6668,                 2.4476,                 2.1301,              0.0096288,              0.0096288,              0.0096288
                     18,                  2.481,                 2.4156,                 2.0612,                0.33433,                0.31539,                0.27922,                0.12037,                 2.5365,                 2.3629,                 2.0514,               0.009604,               0.009604,               0.009604
