                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.9882,                 33.363,                 3.7718,                      0,                      0,                      0,                      0,                 5.2286,                 15.955,                 3.1609,              0.0033173,              0.0033173,              0.0033173
                      2,                 5.3854,                 16.381,                 3.2627,                 0.8014,                0.03667,                0.00081,                0.00028,                 3.7887,                 36.864,                 3.4225,              0.0066342,              0.0066342,              0.0066342
                      3,                 3.5467,                 5.7268,                 2.1216,                0.84383,                  0.125,                0.05104,                0.01497,                  3.298,                  23.11,                 2.2361,              0.0099346,              0.0099346,              0.0099346
                      4,                 2.7168,                 2.8445,                 1.5928,                0.44251,                0.18167,                 0.0865,                0.03502,                 2.9501,                  50.34,                 1.8042,              0.0099258,              0.0099258,              0.0099258
                      5,                 2.7622,                 2.4134,                 1.4454,                0.90075,                0.12667,                0.10778,                0.03964,                 3.2251,                 4.8627,                 1.5362,              0.0099258,              0.0099258,              0.0099258
                      6,                 2.7954,                  2.366,                 1.3756,                0.90141,                0.13583,                 0.1187,                0.05364,                 3.1267,                 3.1509,                 1.3721,               0.009901,               0.009901,               0.009901
                      7,                 2.7195,                 2.3115,                 1.3271,                0.86689,                0.18006,                 0.0742,                0.03289,                 3.1005,                 2.9293,                 1.3407,              0.0098763,              0.0098763,              0.0098763
                      8,                 2.7388,                 2.2858,                 1.3138,                 0.9067,                0.14833,                0.11762,                0.05285,                 3.0398,                 2.7494,                  1.351,              0.0098515,              0.0098515,              0.0098515
                      9,                  2.712,                 2.2475,                 1.2932,                 0.8932,                0.15926,                0.10533,                0.04918,                 2.9295,                 2.9766,                 1.3081,              0.0098268,              0.0098268,              0.0098268
                     10,                 2.6357,                  2.171,                 1.2786,                0.71417,                 0.1575,                0.13638,                0.06698,                 2.8891,                 2.4033,                 1.2692,               0.009802,               0.009802,               0.009802
                     11,                 2.6444,                 2.1726,                 1.2649,                0.88012,                0.15649,                0.09823,                0.04674,                 2.9012,                 2.8769,                 1.2648,              0.0097773,              0.0097773,              0.0097773
                     12,                 2.6451,                 2.1401,                 1.2683,                0.88185,                0.15586,                 0.0987,                0.04292,                 2.9065,                 2.7104,                 1.2519,              0.0097525,              0.0097525,              0.0097525
                     13,                 2.5965,                  2.066,                 1.2408,                0.91563,                0.14734,                0.14427,                0.06543,                 2.7546,                  2.374,                 1.2216,              0.0097278,              0.0097278,              0.0097278
                     14,                 2.5574,                 2.0348,                 1.2321,                0.16372,                0.24246,                0.15428,                0.06756,                 2.7889,                 2.4006,                 1.2231,               0.009703,               0.009703,               0.009703
                     15,                 2.5437,                 2.0033,                 1.2358,                0.16076,                0.23414,                0.16567,                0.07634,                 2.7468,                 2.2005,                 1.2127,              0.0096783,              0.0096783,              0.0096783
                     16,                 2.5682,                  1.993,                 1.2275,                0.15382,                0.26046,                0.17576,                0.07767,                 2.8144,                   2.47,                 1.2048,              0.0096535,              0.0096535,              0.0096535
                     17,                 2.5471,                 2.0215,                 1.2106,                 0.2174,                0.24044,                0.17712,                 0.0788,                 2.7885,                 2.2052,                 1.1811,              0.0096288,              0.0096288,              0.0096288
                     18,                  2.536,                 2.0155,                   1.19,                0.19233,                0.27784,                0.18364,                0.08145,                 2.6931,                 2.3189,                 1.1796,               0.009604,               0.009604,               0.009604
                     19,                 2.5138,                 1.9634,                 1.1812,                0.24152,                0.22945,                0.18628,                 0.0893,                 2.7549,                 2.2745,                 1.1935,              0.0095793,              0.0095793,              0.0095793
                     20,                 2.5458,                 1.9437,                 1.1832,                0.26162,                0.26563,                0.20995,                0.09161,                 2.7308,                  2.202,                 1.1659,              0.0095545,              0.0095545,              0.0095545
