                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.8902,                 7.8601,                 4.1029,                0.81144,                0.06583,                0.00855,                0.00299,                 4.1917,                 34.622,                 4.4252,              0.0033173,              0.0033173,              0.0033173
                      2,                 3.4436,                 5.0435,                  2.875,                0.87507,                0.12917,                0.07908,                0.02466,                 3.5719,                 11.624,                 2.6601,              0.0066342,              0.0066342,              0.0066342
                      3,                 2.8883,                 3.5826,                 2.2025,                 0.9029,                 0.1275,                0.10981,                0.05072,                 3.2548,                 5.3737,                 2.1799,              0.0099346,              0.0099346,              0.0099346
                      4,                 2.9043,                 3.0866,                 1.9909,                0.88155,                0.11417,                0.10133,                0.04396,                 3.1742,                  4.769,                 1.9337,              0.0099258,              0.0099258,              0.0099258
                      5,                 2.9279,                 2.7719,                  1.887,                0.51561,                 0.1574,                0.10864,                0.04763,                 3.1566,                 3.0096,                 1.9019,              0.0099258,              0.0099258,              0.0099258
                      6,                 2.8109,                 2.5972,                 1.7724,                0.33714,                0.19836,                0.14708,                0.06904,                 3.0209,                 2.7136,                 1.7708,               0.009901,               0.009901,               0.009901
                      7,                 2.7526,                 2.5356,                 1.7304,                0.50285,                0.19623,                0.11687,                0.05156,                 2.8996,                 2.5651,                  1.722,              0.0098763,              0.0098763,              0.0098763
                      8,                 2.7151,                 2.4453,                 1.6864,                 0.7366,                0.20054,                0.13582,                0.05946,                 2.8623,                 2.6505,                  1.696,              0.0098515,              0.0098515,              0.0098515
                      9,                  2.675,                 2.3804,                 1.6826,                0.57091,                0.17008,                0.14497,                0.07002,                 2.8524,                 2.5215,                  1.668,              0.0098268,              0.0098268,              0.0098268
                     10,                 2.5952,                 2.2771,                 1.6446,                0.25239,                0.25641,                0.17919,                0.07964,                 2.8254,                 2.4013,                  1.663,               0.009802,               0.009802,               0.009802
                     11,                  2.586,                 2.2601,                 1.6279,                0.29101,                0.24476,                0.17673,                 0.0838,                 2.7571,                 2.4322,                 1.6302,              0.0097773,              0.0097773,              0.0097773
                     12,                 2.5637,                 2.1984,                 1.6235,                0.42907,                0.23514,                0.17361,                0.08252,                 2.7586,                 2.3427,                  1.601,              0.0097525,              0.0097525,              0.0097525
                     13,                 2.5335,                 2.1154,                 1.5883,                0.29834,                0.25007,                 0.2101,                0.09097,                  2.613,                 2.2702,                 1.5675,              0.0097278,              0.0097278,              0.0097278
                     14,                 2.5119,                 2.1355,                 1.5815,                0.22662,                0.31609,                0.22215,                0.09874,                 2.5875,                 2.3718,                 1.5785,               0.009703,               0.009703,               0.009703
                     15,                 2.4684,                 2.0249,                 1.5593,                0.28992,                0.32254,                0.25099,                0.10833,                 2.6116,                 2.0913,                 1.5686,              0.0096783,              0.0096783,              0.0096783
                     16,                 2.4684,                  2.002,                 1.5562,                0.29651,                0.30991,                0.25132,                0.11268,                 2.5482,                 2.0942,                 1.5316,              0.0096535,              0.0096535,              0.0096535
                     17,                 2.4381,                 1.9633,                 1.5429,                0.34936,                0.33384,                0.27945,                0.12115,                 2.5932,                 1.9605,                 1.5494,              0.0096288,              0.0096288,              0.0096288
                     18,                 2.4101,                 1.9253,                 1.5327,                0.34031,                0.36329,                0.29026,                0.12469,                 2.5246,                 1.9185,                 1.5199,               0.009604,               0.009604,               0.009604
                     19,                 2.3842,                 1.8729,                 1.5239,                0.39382,                0.36316,                0.30766,                0.13514,                 2.5212,                 1.8813,                 1.5346,              0.0095793,              0.0095793,              0.0095793
                     20,                 2.3752,                 1.8638,                 1.5226,                0.37633,                0.35627,                0.29791,                0.12742,                 2.5258,                 1.8977,                 1.5328,              0.0095545,              0.0095545,              0.0095545
                     21,                 2.3733,                 1.8279,                 1.4887,                0.39455,                0.34076,                 0.3028,                0.13878,                 2.4664,                 1.8091,                 1.4944,              0.0095298,              0.0095298,              0.0095298
                     22,                 2.3422,                 1.7863,                  1.501,                0.30622,                0.36484,                0.29692,                0.13458,                  2.454,                 1.9759,                 1.4837,               0.009505,               0.009505,               0.009505
                     23,                 2.3118,                 1.7584,                 1.4802,                0.35481,                0.39379,                0.33277,                 0.1464,                 2.4654,                 1.7538,                 1.4844,              0.0094803,              0.0094803,              0.0094803
                     24,                 2.3171,                 1.7385,                 1.4627,                0.39184,                0.36658,                0.34486,                0.15424,                 2.3411,                 1.6906,                 1.4203,              0.0094555,              0.0094555,              0.0094555
                     25,                  2.266,                 1.6971,                   1.45,                0.44106,                0.39199,                0.36152,                  0.158,                  2.395,                 1.6565,                 1.4552,              0.0094307,              0.0094307,              0.0094307
                     26,                 2.2526,                 1.6528,                 1.4338,                0.41824,                 0.3862,                0.35802,                0.16137,                 2.3786,                 1.7662,                 1.4576,               0.009406,               0.009406,               0.009406
                     27,                 2.2791,                 1.6425,                 1.4562,                0.43729,                0.41541,                0.36891,                0.16371,                 2.3303,                 1.6192,                 1.4112,              0.0093813,              0.0093813,              0.0093813
                     28,                 2.2428,                 1.6168,                  1.436,                0.41352,                0.42859,                0.38114,                0.17091,                 2.3741,                 1.6052,                 1.4393,              0.0093565,              0.0093565,              0.0093565
                     29,                  2.205,                 1.5959,                 1.4165,                0.50508,                0.40647,                0.39796,                0.17889,                 2.2936,                 1.5599,                 1.4238,              0.0093317,              0.0093317,              0.0093317
                     30,                 2.1846,                 1.5618,                 1.4159,                 0.4424,                0.43541,                 0.3931,                0.18111,                 2.2928,                 1.5275,                 1.4132,               0.009307,               0.009307,               0.009307
                     31,                 2.2183,                 1.5652,                 1.4212,                0.46458,                0.43516,                0.40551,                0.18285,                 2.2988,                 1.5263,                 1.4275,              0.0092823,              0.0092823,              0.0092823
                     32,                 2.1953,                  1.524,                 1.4189,                0.41925,                0.41554,                0.37783,                0.17187,                 2.2912,                 1.6093,                 1.4269,              0.0092575,              0.0092575,              0.0092575
                     33,                 2.1948,                 1.5198,                 1.4138,                0.50456,                0.45893,                0.44857,                0.19967,                 2.2287,                 1.5408,                 1.3872,              0.0092327,              0.0092327,              0.0092327
                     34,                 2.1547,                 1.5254,                 1.4096,                0.46296,                0.45221,                0.42458,                0.19548,                 2.2254,                 1.5386,                 1.3824,               0.009208,               0.009208,               0.009208
                     35,                 2.1429,                 1.4816,                 1.3962,                0.46138,                0.48009,                0.44146,                0.20292,                 2.1805,                 1.4737,                   1.37,              0.0091833,              0.0091833,              0.0091833
                     36,                 2.1287,                   1.45,                  1.397,                0.46295,                0.43263,                0.40039,                0.17687,                 2.2896,                 1.5519,                  1.411,              0.0091585,              0.0091585,              0.0091585
                     37,                 2.1099,                 1.4479,                 1.3842,                 0.4901,                0.47171,                0.44094,                 0.2001,                  2.189,                  1.441,                 1.3774,              0.0091337,              0.0091337,              0.0091337
                     38,                 2.1334,                  1.417,                 1.3839,                0.51185,                0.47006,                0.46034,                0.21613,                 2.1603,                 1.4003,                 1.3614,               0.009109,               0.009109,               0.009109
                     39,                 2.1076,                 1.4214,                 1.3718,                0.53551,                0.46446,                0.47531,                0.21591,                 2.1439,                 1.3495,                 1.3498,              0.0090843,              0.0090843,              0.0090843
                     40,                 2.0964,                 1.3933,                 1.3862,                0.52996,                0.47431,                0.47268,                0.21802,                 2.1291,                 1.4117,                 1.3462,              0.0090595,              0.0090595,              0.0090595
                     41,                  2.091,                 1.3853,                 1.3638,                0.57017,                 0.4861,                0.49419,                0.22821,                 2.1185,                 1.3434,                 1.3401,              0.0090347,              0.0090347,              0.0090347
                     42,                 2.0813,                 1.3643,                 1.3675,                0.55245,                0.46969,                0.47543,                0.21027,                 2.1725,                 1.3699,                 1.3671,                0.00901,                0.00901,                0.00901
                     43,                 2.0702,                 1.3635,                 1.3695,                0.59853,                0.47616,                0.49265,                0.22526,                 2.1678,                  1.335,                  1.351,              0.0089853,              0.0089853,              0.0089853
                     44,                 2.0192,                 1.3368,                 1.3457,                0.56836,                0.50471,                0.50742,                0.23257,                 2.1175,                 1.3152,                 1.3473,              0.0089605,              0.0089605,              0.0089605
                     45,                 2.0456,                 1.3352,                 1.3462,                0.59909,                0.46844,                0.50624,                0.23772,                 2.0672,                 1.2801,                 1.3404,              0.0089358,              0.0089358,              0.0089358
