                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.929,                  6.481,                 4.2537,                  8e-05,                0.00554,                  4e-05,                  1e-05,                 3.7573,                 6.6352,                 4.1537,              0.0033173,              0.0033173,              0.0033173
                      2,                 3.6437,                 5.6013,                 3.8112,                0.85841,                0.11333,                0.05696,                0.01887,                 3.5274,                 7.5326,                 3.2629,              0.0066342,              0.0066342,              0.0066342
                      3,                 3.5686,                 5.0431,                 3.1758,                0.24702,                0.01921,                0.01715,                 0.0057,                 3.7973,                 4.8261,                 3.1355,              0.0099346,              0.0099346,              0.0099346
                      4,                 3.3681,                 4.4637,                 2.8112,                0.00265,                0.10733,                0.00363,                0.00097,                 3.6496,                 5.1467,                 3.2012,              0.0099258,              0.0099258,              0.0099258
                      5,                  3.206,                 3.9756,                 2.5918,                0.47545,                0.11001,                0.07662,                0.02808,                 3.2521,                 3.6536,                 2.4561,              0.0099258,              0.0099258,              0.0099258
                      6,                 3.0239,                 3.5949,                 2.4063,                 0.5289,                0.14917,                0.12161,                0.05638,                 2.9824,                 3.4315,                  2.245,               0.009901,               0.009901,               0.009901
                      7,                 2.9435,                 3.3808,                 2.3049,                0.53011,                0.16609,                0.13777,                0.05488,                 2.8962,                 3.1447,                 2.2407,              0.0098763,              0.0098763,              0.0098763
                      8,                 2.8823,                 3.2633,                 2.2355,                0.51494,                0.17075,                0.12709,                0.05803,                 2.8119,                 3.4381,                 2.1618,              0.0098515,              0.0098515,              0.0098515
                      9,                 2.8056,                 3.1269,                 2.1917,                 0.5505,                0.18922,                0.15821,                0.07647,                 2.7714,                 2.9798,                 2.1113,              0.0098268,              0.0098268,              0.0098268
                     10,                  2.734,                 3.0093,                 2.1367,                0.75903,                0.17539,                0.15414,                0.07397,                 2.7852,                  3.023,                 2.0651,               0.009802,               0.009802,               0.009802
                     11,                 2.6987,                 2.9112,                 2.1045,                0.72462,                0.14849,                 0.1671,                0.07515,                 2.7184,                  2.913,                 2.0451,              0.0097773,              0.0097773,              0.0097773
                     12,                 2.6655,                 2.8444,                 2.0811,                0.43316,                0.20518,                0.18246,                0.07638,                 2.7353,                 2.8926,                 2.0196,              0.0097525,              0.0097525,              0.0097525
                     13,                 2.6354,                 2.7393,                 2.0324,                0.28347,                0.23541,                0.19637,                0.09045,                 2.6714,                 2.7029,                 1.9667,              0.0097278,              0.0097278,              0.0097278
                     14,                 2.5966,                 2.7142,                 2.0278,                 0.2367,                0.27875,                0.21555,                0.09575,                  2.599,                 2.6739,                 1.9519,               0.009703,               0.009703,               0.009703
                     15,                 2.5772,                 2.6215,                 1.9819,                0.24154,                0.27391,                0.18849,                0.08626,                 2.6368,                 2.5716,                 1.9491,              0.0096783,              0.0096783,              0.0096783
                     16,                 2.5596,                 2.5796,                 1.9766,                0.18038,                0.28635,                0.21283,                0.10116,                 2.5664,                 2.5406,                 1.9148,              0.0096535,              0.0096535,              0.0096535
                     17,                 2.5396,                  2.498,                 1.9467,                0.35361,                0.27723,                 0.2398,                0.09361,                 2.6351,                 2.4724,                 1.9276,              0.0096288,              0.0096288,              0.0096288
                     18,                 2.5248,                 2.4724,                 1.9225,                 0.3047,                0.30253,                 0.2494,                0.11134,                 2.5458,                 2.4567,                 1.8656,               0.009604,               0.009604,               0.009604
                     19,                 2.4888,                 2.4266,                 1.8981,                0.32579,                0.32908,                0.26574,                0.12281,                 2.5053,                 2.2174,                 1.8634,              0.0095793,              0.0095793,              0.0095793
                     20,                 2.4918,                 2.3866,                 1.9025,                 0.3017,                0.33252,                0.27025,                0.11879,                 2.5169,                 2.2944,                 1.8384,              0.0095545,              0.0095545,              0.0095545
