                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.7748,                 7.5485,                 4.0054,                0.06884,                0.02493,                0.02655,                0.00888,                 3.5023,                 9.2255,                 3.2363,              0.0033173,              0.0033173,              0.0033173
                      2,                 3.3422,                 4.8135,                 2.7714,                0.83029,                0.06583,                0.02725,                 0.0104,                 3.1651,                 5.9845,                 2.8556,              0.0066342,              0.0066342,              0.0066342
                      3,                 3.0507,                 3.6463,                 2.2168,                0.90116,                0.12917,                0.09556,                0.04519,                 3.3046,                 3.9333,                 2.2897,              0.0099346,              0.0099346,              0.0099346
                      4,                  2.993,                 3.0736,                 1.9739,                0.91272,                0.13129,                0.10625,                0.04239,                  3.219,                  4.502,                 2.1124,              0.0099258,              0.0099258,              0.0099258
                      5,                 2.9045,                 2.7323,                 1.8352,                0.89478,                0.14667,                0.11632,                 0.0521,                 3.0266,                  2.701,                 1.7924,              0.0099258,              0.0099258,              0.0099258
                      6,                 2.7762,                   2.52,                 1.7383,                0.52711,                0.14817,                0.12985,                0.06387,                 3.1377,                 3.1567,                 1.8465,               0.009901,               0.009901,               0.009901
                      7,                 2.7297,                 2.4481,                 1.7032,                0.92116,                0.14216,                 0.1514,                0.06854,                 2.9159,                  2.855,                 1.7264,              0.0098763,              0.0098763,              0.0098763
                      8,                 2.7014,                 2.3657,                 1.6779,                0.89386,                0.13917,                0.13829,                0.06441,                 2.8478,                   2.66,                 1.6798,              0.0098515,              0.0098515,              0.0098515
                      9,                 2.6452,                 2.2986,                 1.6602,                0.40221,                0.24514,                0.17649,                0.08273,                 2.7439,                  2.287,                 1.6103,              0.0098268,              0.0098268,              0.0098268
                     10,                  2.586,                 2.2058,                 1.6324,                0.22099,                0.24004,                0.16969,                0.07089,                 2.7978,                 2.3578,                 1.6406,               0.009802,               0.009802,               0.009802
                     11,                  2.551,                 2.1473,                  1.599,                0.23107,                0.26388,                0.21495,                0.08864,                 2.7571,                 2.2013,                  1.617,              0.0097773,              0.0097773,              0.0097773
                     12,                 2.5228,                 2.0691,                 1.5939,                0.19561,                0.26766,                0.19711,                0.09132,                 2.7246,                 2.6314,                 1.5877,              0.0097525,              0.0097525,              0.0097525
                     13,                 2.4889,                 1.9727,                 1.5606,                0.29735,                0.30139,                0.25749,                0.11066,                  2.721,                 2.0063,                 1.6021,              0.0097278,              0.0097278,              0.0097278
                     14,                 2.4661,                 1.9401,                 1.5486,                 0.3325,                0.31575,                0.28921,                0.12916,                 2.5029,                 1.8952,                 1.5285,               0.009703,               0.009703,               0.009703
                     15,                 2.4273,                 1.8627,                 1.5255,                0.28604,                0.35967,                0.28252,                0.12196,                 2.5431,                 1.8684,                 1.4987,              0.0096783,              0.0096783,              0.0096783
                     16,                 2.4088,                  1.834,                 1.5186,                0.30936,                0.36419,                0.30816,                0.13328,                 2.4912,                 1.9852,                 1.5064,              0.0096535,              0.0096535,              0.0096535
                     17,                 2.3733,                 1.7907,                 1.5026,                0.35095,                0.37916,                0.31854,                0.12762,                 2.5452,                  1.802,                 1.5407,              0.0096288,              0.0096288,              0.0096288
                     18,                 2.3402,                  1.758,                 1.4911,                 0.3286,                0.41986,                0.34245,                0.15086,                 2.3956,                 1.7738,                 1.4659,               0.009604,               0.009604,               0.009604
                     19,                 2.3173,                 1.7073,                 1.4803,                 0.3758,                0.40386,                0.33536,                0.15198,                 2.4323,                 1.6967,                  1.491,              0.0095793,              0.0095793,              0.0095793
                     20,                 2.3167,                 1.6722,                 1.4807,                0.41256,                0.42545,                0.37258,                0.15925,                 2.4079,                 1.5965,                 1.4717,              0.0095545,              0.0095545,              0.0095545
                     21,                 2.2989,                 1.6647,                 1.4472,                0.41077,                0.39338,                0.34773,                0.15375,                 2.4059,                 1.6738,                 1.4798,              0.0095298,              0.0095298,              0.0095298
                     22,                 2.2677,                 1.6285,                 1.4548,                0.40393,                0.39933,                 0.3735,                0.16987,                  2.361,                 1.6565,                 1.4506,               0.009505,               0.009505,               0.009505
                     23,                 2.2468,                 1.5726,                 1.4379,                0.47709,                0.45872,                0.42404,                0.18261,                 2.3172,                 1.5324,                 1.4184,              0.0094803,              0.0094803,              0.0094803
                     24,                 2.2299,                 1.5414,                 1.4126,                0.43223,                0.47152,                0.40958,                0.17875,                 2.2688,                 1.5363,                 1.4037,              0.0094555,              0.0094555,              0.0094555
                     25,                 2.1846,                  1.517,                 1.4059,                0.47908,                0.45617,                0.42509,                0.19274,                  2.281,                 1.5293,                 1.4049,              0.0094307,              0.0094307,              0.0094307
                     26,                 2.1709,                 1.4762,                 1.3909,                0.46519,                0.48736,                0.44137,                0.19195,                 2.3078,                 1.4135,                 1.4185,               0.009406,               0.009406,               0.009406
                     27,                 2.1892,                 1.4476,                 1.4109,                 0.5166,                0.47117,                 0.4477,                0.19611,                  2.247,                 1.4157,                 1.4001,              0.0093813,              0.0093813,              0.0093813
                     28,                 2.1597,                 1.4331,                 1.3917,                0.51343,                0.46894,                0.44509,                0.20164,                 2.2037,                 1.4104,                 1.3818,              0.0093565,              0.0093565,              0.0093565
                     29,                 2.1207,                 1.4111,                 1.3741,                0.55976,                0.47302,                0.47714,                0.21339,                 2.2232,                 1.3517,                 1.3854,              0.0093317,              0.0093317,              0.0093317
                     30,                 2.0796,                 1.3646,                 1.3633,                0.52817,                0.49952,                0.47253,                0.21831,                 2.1636,                 1.3141,                 1.3653,               0.009307,               0.009307,               0.009307
                     31,                 2.1113,                 1.3744,                 1.3663,                0.53307,                0.48102,                0.46794,                0.21503,                 2.1896,                 1.3557,                 1.3861,              0.0092823,              0.0092823,              0.0092823
                     32,                 2.0873,                 1.3398,                 1.3664,                 0.5652,                0.50612,                0.50305,                0.22574,                  2.154,                 1.2817,                 1.3706,              0.0092575,              0.0092575,              0.0092575
                     33,                 2.0797,                 1.3226,                 1.3562,                0.55887,                0.50415,                 0.5033,                0.22868,                 2.1677,                 1.3389,                 1.3688,              0.0092327,              0.0092327,              0.0092327
                     34,                 2.0472,                 1.3299,                  1.357,                0.54159,                0.50832,                0.49877,                0.22601,                 2.1611,                  1.315,                 1.3446,               0.009208,               0.009208,               0.009208
                     35,                 2.0499,                 1.2835,                 1.3513,                0.59992,                0.51755,                0.52444,                  0.238,                 2.1007,                 1.2523,                  1.353,              0.0091833,              0.0091833,              0.0091833
                     36,                  2.025,                 1.2657,                 1.3449,                 0.5748,                0.52031,                0.52082,                0.22981,                 2.1537,                 1.2389,                 1.3603,              0.0091585,              0.0091585,              0.0091585
                     37,                 2.0009,                 1.2489,                 1.3266,                0.59282,                0.51967,                0.52072,                0.24157,                 2.1019,                 1.2239,                 1.3209,              0.0091337,              0.0091337,              0.0091337
                     38,                 1.9971,                 1.2381,                 1.3141,                0.62553,                0.55232,                0.56065,                0.25827,                 2.0269,                 1.1795,                 1.3012,               0.009109,               0.009109,               0.009109
                     39,                 1.9935,                 1.2347,                 1.3136,                0.61068,                0.56283,                0.55081,                0.25239,                 2.0653,                 1.2029,                 1.3059,              0.0090843,              0.0090843,              0.0090843
                     40,                  1.989,                 1.2164,                 1.3289,                0.63142,                0.53592,                0.56782,                0.25889,                 2.0447,                 1.1947,                 1.3066,              0.0090595,              0.0090595,              0.0090595
                     41,                 1.9912,                 1.2096,                 1.3116,                0.60286,                0.53284,                0.55799,                0.26786,                  1.993,                 1.1598,                  1.295,              0.0090347,              0.0090347,              0.0090347
                     42,                 1.9575,                 1.1838,                 1.3077,                0.68001,                0.55302,                0.59364,                0.28085,                 1.9879,                 1.1193,                 1.2853,                0.00901,                0.00901,                0.00901
                     43,                 1.9429,                 1.1775,                 1.2991,                0.63669,                 0.5473,                0.57465,                0.26817,                 1.9986,                 1.1573,                 1.2876,              0.0089853,              0.0089853,              0.0089853
