                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8224,                 5.8731,                 4.2117,                0.84054,                  0.015,                0.00932,                0.00292,                 3.8845,                 5.8848,                 4.0656,              0.0033173,              0.0033173,              0.0033173
                      2,                 3.4741,                  4.805,                 3.4112,                0.80844,                   0.05,                0.00729,                0.00309,                 3.2828,                 56.073,                 3.1016,              0.0066342,              0.0066342,              0.0066342
                      3,                 3.2311,                 4.2971,                 2.8732,                0.87876,                0.12583,                0.09954,                0.04247,                 3.1759,                 7.0974,                 2.7358,              0.0099346,              0.0099346,              0.0099346
                      4,                 3.0485,                 3.8553,                 2.6673,                0.88362,                0.11083,                0.08807,                0.04166,                 3.0524,                 3.5135,                 2.5076,              0.0099258,              0.0099258,              0.0099258
                      5,                 2.9896,                 3.5337,                 2.5168,                0.52172,                0.13641,                0.11391,                0.05554,                 3.0112,                 3.2344,                 2.4648,              0.0099258,              0.0099258,              0.0099258
                      6,                 2.8407,                  3.263,                 2.4089,                0.12948,                0.17904,                0.12363,                0.05648,                 2.8284,                 2.9478,                 2.3677,               0.009901,               0.009901,               0.009901
                      7,                 2.7965,                 3.1394,                 2.3279,                0.34112,                0.22608,                0.13524,                0.06274,                 2.7262,                 3.0098,                 2.2776,              0.0098763,              0.0098763,              0.0098763
                      8,                 2.7453,                   3.01,                 2.2648,                 0.3734,                0.16567,                0.11041,                0.04904,                 2.7131,                  3.088,                 2.2531,              0.0098515,              0.0098515,              0.0098515
                      9,                 2.6954,                   2.89,                 2.2415,                0.92867,                0.15833,                0.19623,                0.08681,                  2.639,                 2.7541,                 2.1876,              0.0098268,              0.0098268,              0.0098268
                     10,                 2.6409,                 2.7957,                 2.2128,                0.18746,                0.32776,                0.16931,                0.07207,                 2.6941,                  2.847,                 2.2117,               0.009802,               0.009802,               0.009802
