                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8014,                 5.8714,                 4.2147,                0.84326,                0.03083,                0.02229,                0.00724,                 3.7612,                 5.1663,                 4.0132,              0.0033173,              0.0033173,              0.0033173
                      2,                 3.4981,                  4.693,                 3.4735,                  0.837,                 0.0675,                0.03198,                0.01344,                 3.3134,                 4.8192,                 2.9598,              0.0066342,              0.0066342,              0.0066342
                      3,                 3.2761,                 4.1687,                 2.8501,                0.00058,                0.00317,                 0.0013,                0.00082,                 4.0644,                 7.0563,                  3.471,              0.0099346,              0.0099346,              0.0099346
                      4,                 3.1079,                 3.6976,                 2.6119,                0.88626,                 0.1425,                0.09657,                0.04333,                 2.9858,                  3.608,                 2.4715,              0.0099258,              0.0099258,              0.0099258
                      5,                 3.0093,                 3.4227,                 2.4623,                0.30958,                0.12334,                0.09673,                0.04506,                 2.9841,                 3.1441,                 2.3831,              0.0099258,              0.0099258,              0.0099258
                      6,                 2.8689,                 3.2456,                 2.3597,                0.33011,                0.08804,                0.08688,                0.04024,                 2.9521,                 3.4424,                  2.458,               0.009901,               0.009901,               0.009901
                      7,                 2.8301,                 3.1111,                 2.2913,                0.19876,                0.18944,                0.09805,                0.04138,                 2.7669,                 2.9572,                 2.2695,              0.0098763,              0.0098763,              0.0098763
                      8,                  2.781,                 2.9972,                 2.2456,                0.14306,                0.26013,                0.12967,                0.05801,                 2.7888,                 2.8849,                 2.2257,              0.0098515,              0.0098515,              0.0098515
                      9,                 2.7233,                 2.8975,                 2.2236,                0.26944,                0.25977,                0.17138,                0.07774,                 2.6757,                 2.8168,                 2.2043,              0.0098268,              0.0098268,              0.0098268
                     10,                 2.6649,                 2.7757,                 2.1876,                0.25937,                0.20465,                  0.173,                0.08143,                 2.6822,                 2.7158,                 2.1595,               0.009802,               0.009802,               0.009802
                     11,                 2.6362,                 2.7174,                 2.1558,                 0.3452,                0.26531,                0.18556,                0.07763,                 2.6021,                 2.6199,                   2.12,              0.0097773,              0.0097773,              0.0097773
                     12,                 2.6065,                 2.6438,                 2.1482,                0.27534,                0.28173,                0.21271,                0.09143,                 2.5777,                 2.5615,                 2.1181,              0.0097525,              0.0097525,              0.0097525
                     13,                 2.5783,                 2.5597,                 2.1208,                0.62736,                0.23206,                0.25227,                0.10461,                 2.5792,                 2.4468,                  2.118,              0.0097278,              0.0097278,              0.0097278
                     14,                 2.5564,                 2.5312,                 2.1077,                0.28388,                0.33428,                0.25569,                0.11517,                 2.5744,                 2.4251,                 2.0989,               0.009703,               0.009703,               0.009703
                     15,                 2.5208,                 2.4496,                 2.0694,                0.34069,                0.33019,                0.29078,                0.12501,                 2.5266,                 2.3067,                 2.0508,              0.0096783,              0.0096783,              0.0096783
