                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9343,                 8.3926,                 4.0821,                      0,                      0,                      0,                      0,                 5.0011,                 10.188,                 3.7774,             0.00036659,             0.00036659,             0.00036659
                      2,                 3.1532,                 5.1902,                 3.0984,                0.88775,                0.11273,                0.09741,                0.04318,                 3.3961,                 4.9707,                 2.7888,              0.0007351,              0.0007351,              0.0007351
                      3,                 2.7651,                  4.033,                  2.367,                 0.8899,                 0.1559,                0.10022,                0.05176,                 3.0909,                 4.8847,                 2.3658,              0.0011018,              0.0011018,              0.0011018
                      4,                 2.6747,                 3.5892,                 2.0997,                0.89452,                0.15818,                0.11363,                0.05787,                 3.0772,                 3.6147,                 2.2176,              0.0011028,              0.0011028,              0.0011028
                      5,                 2.6005,                 3.3219,                 2.0162,                0.86512,                0.17636,                0.07831,                0.04233,                 2.9528,                 3.7983,                 2.0844,              0.0011028,              0.0011028,              0.0011028
                      6,                 2.4389,                  3.182,                 1.8587,                0.90748,                0.13636,                0.11565,                 0.0624,                 2.7435,                 3.0003,                  1.985,                 0.0011,                 0.0011,                 0.0011
                      7,                 2.4442,                 2.9611,                 1.8662,                0.89837,                0.14909,                0.10854,                0.05456,                  2.668,                 3.0279,                 2.0096,              0.0010973,              0.0010973,              0.0010973
                      8,                 2.4346,                 2.9743,                  1.842,                0.88695,                0.16781,                0.13197,                0.06869,                 2.5878,                 2.9402,                 1.9142,              0.0010945,              0.0010945,              0.0010945
                      9,                 2.3657,                 2.7974,                 1.7588,                0.88288,                0.15955,                0.10535,                0.05421,                 2.5728,                 2.9284,                 1.8644,              0.0010918,              0.0010918,              0.0010918
                     10,                 2.3759,                 2.7709,                  1.772,                0.91411,                0.14727,                0.13336,                0.06406,                 2.5556,                 2.7782,                 1.8856,               0.001089,               0.001089,               0.001089
                     11,                 2.3388,                 2.6126,                 1.7373,                0.90582,                0.16364,                0.13792,                0.06516,                 2.5928,                  2.972,                 1.8856,              0.0010863,              0.0010863,              0.0010863
                     12,                 2.3746,                 2.6254,                 1.7331,                0.90795,                0.15273,                0.14998,                0.08073,                  2.492,                 2.7157,                 1.7513,              0.0010835,              0.0010835,              0.0010835
                     13,                 2.2154,                 2.4335,                 1.6534,                0.76971,                0.19194,                0.14206,                0.07247,                 2.5382,                 2.6081,                 1.8457,              0.0010808,              0.0010808,              0.0010808
                     14,                 2.2562,                 2.4298,                 1.6445,                0.70487,                0.17852,                0.12564,                0.06146,                 2.5165,                  2.664,                 1.8829,               0.001078,               0.001078,               0.001078
                     15,                 2.2408,                 2.4755,                 1.6394,                0.72923,                0.21418,                0.15336,                0.07932,                 2.4481,                 2.5674,                  1.814,              0.0010753,              0.0010753,              0.0010753
                     16,                 2.2296,                  2.348,                 1.6279,                0.72436,                0.21196,                0.15072,                0.07979,                 2.4709,                 2.4379,                 1.7766,              0.0010725,              0.0010725,              0.0010725
                     17,                 2.1441,                 2.2014,                 1.5679,                0.52168,                0.21617,                0.15256,                0.08593,                 2.4765,                   2.55,                 1.7415,              0.0010698,              0.0010698,              0.0010698
                     18,                 2.2094,                 2.2682,                 1.6131,                0.52748,                0.23335,                0.15991,                0.08668,                 2.3676,                 2.3829,                 1.7008,               0.001067,               0.001067,               0.001067
                     19,                 2.1228,                 2.1401,                 1.5853,                0.54327,                0.21595,                0.16316,                0.07714,                 2.5312,                 2.3801,                 1.7936,              0.0010643,              0.0010643,              0.0010643
                     20,                 2.1101,                 2.1397,                   1.58,                   0.52,                0.23426,                0.17554,                0.09525,                  2.403,                 2.3301,                 1.6819,              0.0010615,              0.0010615,              0.0010615
                     21,                 2.1731,                  2.142,                 1.5896,                0.71716,                0.23244,                0.17397,                0.09152,                 2.4039,                 2.3033,                 1.6775,              0.0010588,              0.0010588,              0.0010588
                     22,                 2.1144,                 2.1065,                 1.5636,                0.55374,                0.23054,                0.20675,                0.10463,                 2.3317,                 2.1755,                 1.6513,               0.001056,               0.001056,               0.001056
                     23,                 2.0632,                  2.039,                 1.5265,                0.77904,                0.24456,                0.20882,                0.10303,                 2.3413,                  2.191,                 1.6907,              0.0010533,              0.0010533,              0.0010533
                     24,                 2.0808,                 2.0606,                 1.5366,                0.55632,                0.24249,                 0.2073,                0.10081,                 2.3824,                 2.1652,                 1.7369,              0.0010505,              0.0010505,              0.0010505
                     25,                 2.1212,                 2.0974,                 1.5357,                0.56298,                0.25371,                0.21414,                 0.1101,                 2.3164,                 2.2525,                  1.655,              0.0010478,              0.0010478,              0.0010478
                     26,                 2.0707,                 1.9722,                 1.5316,                 0.3985,                0.28379,                0.23656,                0.10723,                 2.2237,                 2.2169,                 1.6305,               0.001045,               0.001045,               0.001045
                     27,                 2.0574,                 1.9846,                 1.5267,                0.78415,                0.23847,                0.24473,                0.11413,                 2.3335,                 2.2311,                 1.6716,              0.0010423,              0.0010423,              0.0010423
                     28,                 2.0639,                 1.9442,                 1.5285,                0.80002,                0.28739,                0.25178,                0.12423,                 2.2326,                 2.0621,                 1.6306,              0.0010395,              0.0010395,              0.0010395
                     29,                 2.0288,                 1.8578,                 1.4993,                0.81759,                  0.269,                0.28242,                0.13218,                 2.2198,                 1.8803,                 1.6274,              0.0010368,              0.0010368,              0.0010368
                     30,                 2.0271,                 1.8983,                 1.4983,                0.64079,                0.28877,                0.26803,                0.13479,                 2.1877,                 1.9653,                 1.6035,               0.001034,               0.001034,               0.001034
                     31,                 2.0431,                 1.9154,                 1.5077,                 0.8355,                0.27541,                0.28345,                0.13168,                 2.2039,                 1.8932,                 1.6158,              0.0010313,              0.0010313,              0.0010313
                     32,                 2.0162,                 1.8088,                 1.4842,                0.66433,                0.29885,                0.28107,                0.11835,                 2.2506,                  1.961,                 1.6492,              0.0010285,              0.0010285,              0.0010285
                     33,                 1.9846,                 1.8246,                 1.4646,                0.49233,                0.32434,                0.28467,                0.13968,                  2.149,                 1.9037,                 1.5554,              0.0010258,              0.0010258,              0.0010258
                     34,                 1.9697,                 1.7795,                 1.4512,                0.54332,                0.30693,                0.27029,                0.12461,                 2.2994,                 1.9583,                 1.6417,               0.001023,               0.001023,               0.001023
                     35,                 1.9392,                 1.7256,                 1.4353,                0.53208,                0.33319,                0.30754,                0.15562,                 2.1782,                 1.9301,                 1.5971,              0.0010203,              0.0010203,              0.0010203
                     36,                 1.9183,                 1.7347,                 1.4417,                0.29429,                0.36629,                0.32967,                0.16362,                 2.0904,                 1.9174,                 1.5518,              0.0010175,              0.0010175,              0.0010175
                     37,                 1.9952,                 1.7847,                 1.4405,                0.51505,                0.33215,                0.33182,                0.16196,                 2.1318,                 1.7873,                 1.5454,              0.0010148,              0.0010148,              0.0010148
