                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.8031,                 7.8685,                 4.1223,                      0,                      0,                      0,                      0,                  4.915,                 13.757,                 3.7321,             0.00036655,             0.00036655,             0.00036655
                      2,                 3.3119,                 5.0434,                 3.1124,                0.86461,                  0.114,                0.07543,                0.02809,                 3.7479,                 6.3457,                 2.9251,             0.00073506,             0.00073506,             0.00073506
                      3,                 2.9139,                 4.3341,                  2.461,                0.65759,                  0.122,                0.05843,                0.02504,                 3.3074,                 4.3383,                 2.4348,              0.0011017,              0.0011017,              0.0011017
                      4,                 2.7267,                 3.6892,                 2.1911,                0.88542,                0.11779,                0.08533,                0.02877,                  3.061,                   5.04,                 2.2664,              0.0011028,              0.0011028,              0.0011028
                      5,                 2.6622,                 3.5534,                 2.1249,                0.89861,                  0.144,                0.11125,                0.04249,                 3.0586,                 3.4348,                 2.2456,              0.0011028,              0.0011028,              0.0011028
                      6,                 2.5272,                 3.1925,                 2.0061,                0.91251,                0.14145,                0.13454,                0.05955,                 2.8102,                 3.2357,                 2.0362,                 0.0011,                 0.0011,                 0.0011
                      7,                 2.4819,                  3.004,                 1.8999,                0.91177,                  0.134,                0.11325,                0.05036,                  2.853,                 3.2373,                 2.0232,              0.0010973,              0.0010973,              0.0010973
                      8,                 2.4657,                 2.9028,                 1.8494,                0.89393,                  0.148,                0.10792,                 0.0495,                 2.7425,                 3.2846,                 1.9302,              0.0010945,              0.0010945,              0.0010945
                      9,                 2.4529,                 2.9194,                 1.8266,                0.73366,                0.16772,                0.12127,                 0.0528,                 2.6652,                 2.9862,                 1.8433,              0.0010918,              0.0010918,              0.0010918
                     10,                 2.3122,                 2.6345,                 1.7494,                 0.8162,                0.18872,                0.12554,                0.05679,                 2.6206,                 2.8178,                 1.8725,               0.001089,               0.001089,               0.001089
                     11,                 2.3523,                  2.719,                 1.7679,                0.91372,                  0.112,                0.13134,                 0.0552,                 2.6066,                 3.3436,                 1.8422,              0.0010863,              0.0010863,              0.0010863
                     12,                 2.3201,                  2.645,                 1.7209,                 0.7257,                0.18928,                0.12173,                0.05559,                 2.5529,                 2.7148,                 1.7964,              0.0010835,              0.0010835,              0.0010835
                     13,                 2.3198,                 2.5307,                  1.701,                 0.9167,                   0.16,                0.15673,                0.07156,                  2.465,                 2.6188,                 1.7503,              0.0010808,              0.0010808,              0.0010808
                     14,                 2.2926,                 2.4994,                 1.6832,                0.70112,                0.20019,                 0.1487,                0.07452,                 2.5075,                 2.6017,                 1.7435,               0.001078,               0.001078,               0.001078
                     15,                 2.1927,                 2.3364,                 1.6398,                0.74143,                0.19515,                0.13638,                0.06436,                 2.3968,                 2.5325,                 1.7284,              0.0010753,              0.0010753,              0.0010753
                     16,                 2.1882,                 2.3251,                 1.6413,                0.73766,                0.21353,                0.16569,                0.08281,                 2.4872,                 2.4103,                 1.7352,              0.0010725,              0.0010725,              0.0010725
                     17,                 2.1961,                  2.328,                 1.6155,                0.92476,                0.15588,                0.16524,                0.07715,                 2.4689,                   2.47,                 1.7095,              0.0010698,              0.0010698,              0.0010698
                     18,                 2.0958,                 2.2293,                 1.5538,                0.73516,                 0.2194,                0.17901,                0.08375,                 2.3971,                 2.4739,                 1.7211,               0.001067,               0.001067,               0.001067
                     19,                 2.1005,                  2.206,                 1.5898,                0.75297,                0.22872,                0.15339,                0.06757,                 2.3709,                 2.4123,                 1.6878,              0.0010643,              0.0010643,              0.0010643
                     20,                 2.0814,                 2.1774,                  1.566,                0.91438,                0.16832,                0.18278,                0.08613,                 2.3277,                 2.6631,                 1.6309,              0.0010615,              0.0010615,              0.0010615
                     21,                 2.0796,                 2.1656,                 1.5391,                0.76574,                0.22409,                0.20446,                 0.0918,                 2.2289,                 2.1604,                 1.5999,              0.0010588,              0.0010588,              0.0010588
                     22,                 2.0939,                  2.107,                 1.5917,                0.78092,                0.24495,                0.20785,                0.09066,                 2.3347,                 2.1729,                 1.6761,               0.001056,               0.001056,               0.001056
                     23,                   2.06,                  2.054,                 1.5257,                0.56125,                0.25157,                0.21286,                0.10148,                 2.2253,                   2.18,                 1.5872,              0.0010533,              0.0010533,              0.0010533
                     24,                 2.1005,                 2.0975,                 1.5665,                0.79026,                0.24546,                0.20262,                0.09777,                 2.2607,                 2.0284,                 1.5847,              0.0010505,              0.0010505,              0.0010505
                     25,                 2.0472,                 2.0025,                 1.5385,                0.79927,                0.25209,                0.22675,                0.09597,                 2.2518,                 2.0821,                 1.5805,              0.0010478,              0.0010478,              0.0010478
