                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.7541,                 10.465,                  3.902,                0.42573,                0.05143,                0.01646,                0.00569,                 3.4638,                 9.4438,                 4.0373,             0.00036836,             0.00036836,             0.00036836
                      2,                 3.2286,                 5.7208,                  2.996,                 0.6597,                 0.1078,                0.05856,                0.01635,                 3.8883,                 13.762,                 2.9769,             0.00073687,             0.00073687,             0.00073687
                      3,                 3.0199,                 5.2656,                 2.5371,                0.66503,                0.01905,                0.05292,                0.02286,                 3.5971,                 6.2197,                 2.6761,              0.0011035,              0.0011035,              0.0011035
                      4,                 2.8515,                 4.6666,                 2.2504,                0.88923,                0.12762,                0.09145,                0.03705,                 3.4525,                 5.1192,                 2.5036,              0.0011028,              0.0011028,              0.0011028
                      5,                 2.7774,                 4.2218,                 2.1459,                0.86169,                0.13333,                 0.0612,                0.02582,                 3.2292,                 4.6904,                 2.3942,              0.0011028,              0.0011028,              0.0011028
                      6,                 2.6463,                 3.6064,                 2.1024,                0.88774,                0.14476,                0.09926,                0.04444,                 3.0837,                 3.7644,                 2.2064,                 0.0011,                 0.0011,                 0.0011
                      7,                 2.6334,                 3.4727,                 2.0146,                0.92502,                0.14667,                0.12428,                0.06387,                 2.9595,                 3.3818,                 2.0465,              0.0010973,              0.0010973,              0.0010973
                      8,                 2.5906,                 3.2962,                 1.9407,                0.91025,                 0.1581,                0.12781,                0.06252,                 2.8497,                 3.3568,                 2.0169,              0.0010945,              0.0010945,              0.0010945
                      9,                 2.6454,                 3.2925,                 1.9331,                0.90956,                0.14307,                0.11242,                 0.0622,                 2.7891,                 3.1274,                  1.956,              0.0010918,              0.0010918,              0.0010918
                     10,                  2.511,                 3.0403,                 1.8823,                0.92449,                0.14447,                0.13202,                0.06332,                 2.7898,                 3.1861,                 1.9083,               0.001089,               0.001089,               0.001089
                     11,                 2.5812,                 3.1986,                  1.887,                0.91521,                0.13457,                0.13306,                0.07154,                 2.7145,                 2.9444,                 1.9423,              0.0010863,              0.0010863,              0.0010863
                     12,                  2.508,                 2.9111,                 1.8571,                0.92834,                0.12952,                0.12883,                0.06242,                 2.7287,                 3.0206,                 1.8901,              0.0010835,              0.0010835,              0.0010835
                     13,                 2.4064,                 2.7275,                 1.7959,                0.90532,                0.12952,                  0.132,                0.06107,                 2.7905,                 3.0119,                   1.96,              0.0010808,              0.0010808,              0.0010808
                     14,                 2.4272,                 2.7562,                 1.8246,                0.90245,                0.16602,                0.13047,                0.06785,                 2.5421,                 2.9361,                 1.8015,               0.001078,               0.001078,               0.001078
                     15,                 2.3288,                 2.7101,                 1.7394,                 0.9236,                0.16762,                0.15674,                0.08481,                 2.5464,                 2.6987,                  1.826,              0.0010753,              0.0010753,              0.0010753
                     16,                 2.3598,                 2.6682,                 1.7546,                0.91968,                0.15238,                0.14493,                0.07856,                  2.517,                  2.776,                 1.7503,              0.0010725,              0.0010725,              0.0010725
                     17,                   2.32,                 2.6048,                 1.7447,                0.91823,                0.17352,                0.14689,                0.07793,                 2.5885,                 2.6522,                 1.7643,              0.0010698,              0.0010698,              0.0010698
                     18,                 2.3179,                 2.4753,                 1.7221,                0.92999,                0.13905,                0.14417,                0.07208,                 2.6694,                 2.8041,                 1.8293,               0.001067,               0.001067,               0.001067
                     19,                 2.3088,                 2.5197,                 1.7033,                0.92599,                0.12971,                0.14555,                 0.0679,                 2.5639,                 2.7146,                 1.7654,              0.0010643,              0.0010643,              0.0010643
                     20,                 2.2467,                 2.4385,                 1.6914,                0.91828,                0.13905,                0.15625,                0.07869,                  2.466,                 2.5608,                 1.7592,              0.0010615,              0.0010615,              0.0010615
                     21,                 2.2625,                 2.4035,                 1.6902,                  0.759,                0.18132,                0.16987,                0.09154,                 2.3898,                 2.5055,                 1.7042,              0.0010588,              0.0010588,              0.0010588
                     22,                 2.3092,                  2.453,                 1.6525,                0.92722,                0.16314,                0.16602,                0.08298,                 2.4753,                 2.5775,                 1.7388,               0.001056,               0.001056,               0.001056
                     23,                 2.2127,                  2.348,                 1.6331,                 0.9321,                 0.1619,                0.17388,                 0.0853,                 2.3644,                 2.5526,                 1.6904,              0.0010533,              0.0010533,              0.0010533
                     24,                 2.1242,                 2.1924,                 1.6051,                0.73623,                0.19766,                0.16966,                0.08574,                 2.4314,                 2.3735,                 1.7246,              0.0010505,              0.0010505,              0.0010505
                     25,                 2.2487,                  2.325,                 1.6885,                0.80401,                0.16608,                  0.162,                 0.0617,                 2.4731,                  2.544,                 1.7494,              0.0010478,              0.0010478,              0.0010478
